Organism_Name,Genome.composition
Scaphoideus titanus bunya-like virus 1,ssRNA(-)
Phaseolus vulgaris severe mosaic virus,ssRNA(+)
Pineapple secovirus A,ssRNA(+)
Coredo virus,ssRNA(-)
Jos virus,ssRNA(-)
Flen virus,ssRNA(-)
Pilchard orthomyxovirus,ssRNA(-)
Penicillium roseopurpureum negative ssRNA virus 1,RNA
Thailand tick thogotovirus,ssRNA(-)
Pepper mild mosaic virus,ssRNA(+)
Caraway yellows virus,ssRNA(+)
Arabidopsis latent virus-1,ssRNA(+)
Bourbon virus,ssRNA(-)
Green Sichuan pepper nepovirus,ssRNA(+)
Penicillium discovirus,RNA
Hadaka virus 1,RNA
Largemouth bass bunyavirus,ssRNA(-)
Lakamha virus,ssRNA(-)
Khurdun virus,ssRNA(-)
Rainbow trout orthomyxovirus-1,ssRNA(-)
Lena virus,ssRNA(-)
Red clover varicosavirus,ssRNA(-)
Rhizoctonia solani dsRNA virus 1,RNA
Salado virus,dsRNA
Grapevine associated cogu-like virus 4,ssRNA(-)
Lilac chlorotic ringspot-associated virus,ssRNA(-)
Grapevine associated cogu-like virus 3,ssRNA(-)
Grapevine associated cogu-like virus 2,ssRNA(-)
Grapevine associated cogu-like virus 1,ssRNA(-)
Emaravirus verbanni,ssRNA(-)
Emaravirus camelliae,ssRNA(-)
European wheat striate mosaic virus,ssRNA(-)
Grapevine Garan dmak virus,RNA
Grapevine Muscat rose virus,RNA
Pear chlorotic leaf spot-associated virus,ssRNA(-)
Tomato fruit blotch virus,ssRNA(+)
Jujube yellow mottle-associated virus,ssRNA(-)
Palo verde broom virus,ssRNA(-)
Perilla mosaic virus,ssRNA(-)
Neuropteran phasma-related virus OKIAV248,ssRNA(-)
Parry's Creek phasivirus 1,ssRNA(-)
Perkerra virus,ssRNA(+/-)
Kiborgoch virus,ssRNA(+/-)
Bogoria virus,ssRNA(+/-)
Embossos virus,ssRNA(+/-)
Blattodean nairo-related virus OKIAV321,ssRNA(-)
Coleopteran phasma-related virus OKIAV235,ssRNA(-)
Coleopteran phenui-related virus OKIAV308,RNA
Hemipteran phasma-related virus OKIAV247,ssRNA(-)
Meram virus,ssRNA(-)
Narangue virus,ssRNA(-)
andere Heimat virus 1,ssRNA(+/-)
SetPatVet virus 1,ssRNA(+/-)
Niukluk phantom virus,ssRNA(-)
Penshurt virus,ssRNA(+/-)
Dar es Salaam virus TZ-189,RNA
Guadeloupe mosquito phasivirus,ssRNA(-)
Kitale virus,ssRNA(+/-)
Sapphire II virus,ssRNA(-)
Carcinus maenas portunibunyavirus 1,ssRNA(-)
Salmon pescarenavirus 1,ssRNA(+/-)
Chinese mitten crab virus 1,ssRNA(-)
Fusarium graminearum gemytripvirus 1,ssDNA
Sedlec virus,ssRNA(-)
Triniti virus,ssRNA(-)
Vinegar Hill virus,ssRNA(-)
Grotenhout virus,ssRNA(-)
Xuan son virus,ssRNA(-)
Zirqa virus,unknown
Bandia virus,ssRNA(-)
Taggert virus,ssRNA(-)
Corfou virus,ssRNA(+/-)
Gan Gan virus,ssRNA(-)
Xinzhou Spider Virus,ssRNA(-)
South Bay virus,ssRNA(-)
Buffalo Creek virus,ssRNA(-)
Mapputta virus,ssRNA(-)
Oyo virus,ssRNA(-)
Crimean-Congo hemorrhagic fever virus 2,ssRNA(-)
dermapteran chu-related virus 142,ssRNA(-)
Subterranean clover stunt virus,ssDNA(+)
Corchorus yellow vein Cuba virus,ssDNA(+/-)
Soldado virus,ssRNA(-)
Punta Salinas virus,ssRNA(-)
Abu Mina virus,ssRNA(-)
Abu Hammad virus,ssRNA(-)
Issyk-Kul virus,ssRNA(-)
Kupe virus,ssRNA(-)
Aspergillus fumigatus tetramycovirus 1,RNA
Bujaru virus,ssRNA(+/-)
Reptilian orthoreovirus,dsRNA
Drosophila melanogaster birnavirus SW-2009a,dsRNA
Rotifer birnavirus strain Palavas,dsRNA
Alxa virus,ssRNA(+/-)
Citrus virus A,ssRNA(+/-)
Lijiang virus,ssRNA(+/-)
Pacific coast tick phlebovirus,ssRNA(+/-)
Picobirnavirus Equ3,dsRNA
Dabieshan tick virus,RNA
Blacklegged tick phlebovirus 1,RNA
American dog tick virus,RNA
Hippeastrum chlorotic spot virus,ssRNA(+/-)
Mosquito X virus,dsRNA
Tico phlebovirus,ssRNA(+/-)
Pena Blanca virus,ssRNA(+/-)
Sandfly fever Naples virus,ssRNA(+/-)
Campana virus,ssRNA(+/-)
Cocle virus,ssRNA(+/-)
Kismaayo virus,ssRNA(+/-)
Hunter Island virus,ssRNA(+/-)
Heartland virus,ssRNA(+/-)
Saint-Floris virus,ssRNA(+/-)
Uriurana virus,ssRNA(+/-)
Rio Claro virus,ssRNA(+/-)
Leticia virus,ssRNA(+/-)
Nile warbler virus,RNA
Salobo virus,ssRNA(+/-)
Arumowot virus,ssRNA(+/-)
Aspergillus spelaeus tetramycovirus 1,RNA
blackberry leaf mottle-associated virus,ssRNA(-)
Colletotrichum camelliae filamentous virus 1,RNA
Pistacia emaravirus,ssRNA(-)
Tai Forest reovirus,dsRNA
Chilibre virus,ssRNA(-)
Mammalian orthoreovirus 3 Dearing,dsRNA
Manzanilla virus,ssRNA(-)
Main Drain virus,ssRNA(-)
Orthobunyavirus thimiriense,ssRNA(-)
Calla lily chlorotic spot virus,ssRNA(+/-)
Botryosphaeria dothidea chrysovirus 1,dsRNA
La Crosse virus,ssRNA(-)
Mammarenavirus choriomeningitidis,ssRNA(+/-)
West African Asystasia virus 1,ssDNA(+/-)
Peach leaf pitting-associated virus,ssRNA(+)
Lishi spider virus 1,ssRNA(-)
Wenzhou crab virus 2,ssRNA(-)
Avian orthoreovirus,dsRNA
Maize rough dwarf virus,dsRNA
Cotton yellow mosaic virus,ssDNA(+/-)
Sida micrantha mosaic virus,ssDNA(+/-)
Cannabis cryptic virus,dsRNA
Tomato mottle leaf curl virus,ssDNA(+/-)
Gentian mosaic virus,ssRNA(+)
Orthohantavirus sinnombreense,ssRNA(-)
Orthohantavirus puumalaense,ssRNA(-)
Clo Mor virus,ssRNA(-)
Pacific coast tick nairovirus,ssRNA(-)
Genomoviridae sp.,ssDNA
Prymnesium kappa virus,dsDNA
Ovine picornavirus,ssRNA(+)
giant squirrel virus,ssRNA(-)
Daphnia iridovirus 1,dsDNA
Methanophagales virus GBV303,dsDNA
Yangshan Harbor Poseidoniales virus,dsDNA
Yangshan Harbor Nitrososphaeria virus,dsDNA
Yangshan Harbor Nitrososphaeria virus,dsDNA
Yangshan Harbor Nitrososphaeria virus,dsDNA
Yangshan Harbor Nitrososphaeria virus,dsDNA
Calfel virus LSF45_cir359,ssDNA(+/-)
Calfel virus LSF31_cyc880,ssDNA(+/-)
Calfel virus LSF31_cyc420,ssDNA(+/-)
Calfel virus LSF17_cyc102,ssDNA(+/-)
Army ant associated cyclovirus 9,ssDNA(+/-)
Army ant associated cyclovirus 8,ssDNA(+/-)
Army ant associated cyclovirus 9,ssDNA(+/-)
Army ant associated cyclovirus 5,ssDNA(+/-)
Army ant associated cyclovirus 4,ssDNA(+/-)
Army ant associated cyclovirus 1,ssDNA(+/-)
Army ant associated cyclovirus 2,ssDNA(+/-)
Army ant associated cyclovirus 6,ssDNA(+/-)
Army ant associated cyclovirus 3,ssDNA(+/-)
Dipodfec virus UA23Rod_1805,ssDNA(+/-)
Dipodfec virus UA04Rod_4537,ssDNA
Dipodfec virus UA04Rod_5913,ssDNA
Artemisia capillaris nucleorhabovirus 1,ssRNA(-)
Mundri virus,ssRNA(-)
Chifec virus UA15_2320,ssDNA(+/-)
Chifec virus UA13_1800,ssDNA(+/-)
Chifec virus UA13_1887,ssDNA(+/-)
Chifec virus UA13_1880,ssDNA(+/-)
Chifec virus UA15_35,ssDNA(+/-)
Chifec virus UA13_1817,ssDNA(+/-)
Chifec virus UA13_1727,ssDNA(+/-)
Avonheates virus SG_479,ssDNA
Avonheates virus SG_154,ssDNA
Avonheates virus SG_146,ssDNA
Avonheates virus SG_120,ssDNA
Avonheates virus SG_61,ssDNA
Avonheates virus SG_28,ssDNA
Avonheates virus SG_19,ssDNA
Avonheates virus SG_924,ssDNA
Avonheates virus SG_4_10,ssDNA
Avonheates virus Gas_1078,ssDNA
Fusarium oxysporum mymonavirus 1,ssRNA(-)
Wufeng Myotis altarium vesiculovirus 1,ssRNA(-)
Wenzhou Myotis laniger tupavirus 1,ssRNA(-)
Wenzhou Rhinolophus pusillus ledantevirus 1,ssRNA(-)
Erysiphe necator associated ourmia-like virus 21,ssRNA(+)
Eumops bonariensis associated circovirus 1,ssDNA(+/-)
Eumops bonariensis associated cyclovirus 1,ssDNA(+/-)
Tadarida brasiliensis associated cyclovirus 1,ssDNA(+/-)
Bat associated cyclovirus 17,ssDNA(+/-)
Chinaberry tree badnavirus 1,dsDNA-RT
Aksy-Durug Melophagus sigmavirus,ssRNA(-)
Erthesina fullo arlivirus 1,ssRNA(-)
Musa ornata-associated banmivirus,ssRNA(+)
Botrytis cinerea botoulivirus 19,ssRNA(+)
Botrytis cinerea botoulivirus 18,ssRNA(+)
Varidnaviria sp.,dsDNA
Xiangshan rhabdo-like virus 1,ssRNA(-)
Xiangshan Nyami-like virus,ssRNA(-)
Parvovirinae sp.,ssDNA(+/-)
Erannis ankeraria nucleopolyhedrovirus,dsDNA
Porcine ephemerovirus 2,ssRNA(-)
Porcine ephemerovirus 1,ssRNA(-)
Hogweed virus 4,ssRNA(+)
Cnidium virus 1,ssRNA(-)
Fusarium asiaticum negative-stranded RNA virus 1,RNA
Apis rhabdovirus 3,ssRNA(-)
Newlavirus,ssDNA(+/-)
Olene mendosa nucleopolyhedrovirus,dsDNA
Tunisian small ruminant pestivirus,RNA
WigFec circovirus 2,ssDNA(+/-)
WigFec circovirus 1,ssDNA(+/-)
Heterobasidion ourmia-like virus 1,ssRNA(+)
Mongoose-associated cyclovirus,ssDNA(+/-)
Mongoose-associated cyclovirus,ssDNA(+/-)
Mongoose-associated circovirus,ssDNA(+/-)
Psittacine parvovirus 1,ssDNA(+/-)
red panda amdoparvovirus,ssDNA(+/-)
robinz virus RP_1170,ssDNA(+/-)
robinz virus RP_736,ssDNA(+/-)
robinz virus RP_620,ssDNA(+/-)
robinz virus RP_584,ssDNA(+/-)
robinz virus RP_526,ssDNA(+/-)
robinz virus RP_493,ssDNA(+/-)
robinz virus RP_259,ssDNA(+/-)
Longquan Niviventer coninga ledantevirus 1,ssRNA(-)
Wufeng Rhinolophus pearsonii tupavirus 1,ssRNA(-)
Fushun ischnura senegalensis lispivirus 1,ssRNA(-)
Sanya nyamivirus 1,ssRNA(-)
Guiyang lispivirus 2,ssRNA(-)
Guiyang lispivirus 1,ssRNA(-)
Hangzhou cletus punctiger lispivirus 1,ssRNA(-)
Frankliniella intonsa rhabdovirus 1,ssRNA(-)
Hangzhou acrida cinerea lispivirus 1,ssRNA(-)
Hangzhou eysarcoris guttigerus lispivirus 1,ssRNA(-)
Hangzhou scotinophara lurida lispivirus 1,ssRNA(-)
Horse parvovirus CSF,ssDNA(+/-)
Scorzonera virus A,ssRNA(+)
Xinjiang mymona-like virus 2,ssRNA(-)
Yunnan mymona-like virus 1,ssRNA(-)
Equine circovirus 1,ssDNA(+/-)
Rhabdoviridae sp.,ssRNA(-)
Arlivirus sp.,ssRNA(-)
Equine protoparvovirus,ssDNA(+/-)
Mejal virus,RNA
Magnaporthe oryzae mononegaambi virus 1,RNA
Wolvfec circovius,ssDNA(+/-)
Metaplexis yellow mottle-associated virus,dsDNA-RT
Grapevine-associated mononega-like virus 3,ssRNA(-)
Trabala vishnou gigantina nucleopolyhedrovirus,dsDNA
Actinidia cytorhabdovirus JS27,ssRNA(-)
Marigold mosaic virus,ssRNA(+)
Camellia virus A,ssRNA(+)
Armillaria mellea ourmia-like virus 2,ssRNA(+)
Armillaria mellea ourmia-like virus 1,ssRNA(+)
Armillaria mellea negative strand RNA virus 1,ssRNA(-)
Duck-associated chapparvovirus 2,ssDNA(+/-)
Duck-associated chapparvovirus 1,ssDNA(+/-)
Duck-associated ambidensovirus 1,ssDNA(+/-)
Agapanthus carlavirus B,ssRNA(+)
Bemisia tabaci arlivirus 2,ssRNA(-)
Bemisia tabaci arlivirus 1,ssRNA(-)
Magnaporthe oryzae botourmiavirus 2,ssRNA(+)
Acanthamoeba castellanii medusavirus,unknown
Pestalotiopsis botourmiavirus 3,ssRNA(+)
Pestalotiopsis botourmiavirus 2,ssRNA(+)
Magnaporthe oryzae botourmiavirus 9,ssRNA(+)
Sodak rhabdovirus 1,ssRNA(-)
Labrador amdoparvovirus 1,ssDNA(+/-)
Bat associated cyclovirus,ssDNA(+/-)
Bat associated cyclovirus,ssDNA(+/-)
Sweetbriar rose curly top-associated virus,ssRNA(+)
Bat associated densovirus,ssDNA(+/-)
Bat associated densovirus,ssDNA(+/-)
Bat associated densovirus,ssDNA(+/-)
Bat associated densovirus,ssDNA(+/-)
Bat associated densovirus,ssDNA(+/-)
Caesalpinia ferrea associated virus,DNA
Pyramimonas orientalis virus,dsDNA
Sonfela circovirus 2,ssDNA(+/-)
Sonfela circovirus 1,ssDNA(+/-)
Chaphamaparvovirus gyb-MR2/2015/HUN,ssDNA(+/-)
Fusarium oxysporum ourmia-like virus,ssRNA(+)
Clivia yellow stripe virus,ssRNA(+)
Clivia carlavirus A,ssRNA(+)
Agapanthus tungrovirus,dsDNA-RT
Broome densovirus 1,ssDNA(+/-)
Rose virus B,ssRNA(+)
Fadolivirus algeromassiliense,dsDNA
Tilapia parvovirus,ssDNA(+/-)
Clinch densovirus 1,ssDNA(+/-)
Chestnut teal chaphamaparvovirus 3,ssDNA(+/-)
Chestnut teal chaphamaparvovirus 2,ssDNA(+/-)
Chestnut teal chaphamaparvovirus 1,ssDNA(+/-)
Pacific black duck chaphamaparvovirus 1,ssDNA(+/-)
Amomum potyvirus A,ssRNA(+)
Rhabdoviridae sp.,ssRNA(-)
Macrophomina phaseolina hypovirus 2,ssRNA(+)
Camellia ringspot associated virus 4,ssRNA(+)
California sea lion parvovirus,ssDNA(+/-)
Magnaporthe oryzae botourmiavirus 7,ssRNA(+)
Magnaporthe oryzae botourmiavirus 6,ssRNA(+)
Aconite virus A,ssRNA(+)
Ambidensovirus sp.,ssDNA(+/-)
Ambidensovirus sp.,ssDNA(+/-)
Thrips tabaci associated dimarhabdovirus 1,RNA
Sorghum almum marafivirus,ssRNA(+)
Kenyan potato cytorhabdovirus,ssRNA(-)
Magnaporthe oryzae botourmiavirus 5,ssRNA(+)
Erysiphe necator associated negative-stranded RNA virus 2,RNA
Erysiphe necator associated negative-stranded RNA virus 23,RNA
Erysiphe necator associated negative-stranded RNA virus 6,RNA
Erysiphe necator associated negative-stranded RNA virus 5,RNA
Grapevine foveavirus A,ssRNA(+)
Elephant endotheliotropic herpesvirus 3A,dsDNA
Bactericera trigonica densovirus,ssDNA(+/-)
Macaca fascicularis chapparvovirus,ssDNA(+/-)
Eqcopivirus EqCoPV_8,ssDNA(+/-)
Werosea cyclovirus,ssDNA(+/-)
Avian adeno-associated virus,ssDNA(+/-)
Avian chapparvovirus,ssDNA(+/-)
Ursus americanus chapparvovirus,ssDNA(+/-)
Werosea circovirus,ssDNA(+/-)
Ambidensovirus_Croatia_17_S17,ssDNA(+/-)
Psittacid alphaherpesvirus 5,dsDNA
Loquat virus A,ssRNA(+)
Phocoena pestivirus,ssRNA(+)
Chrysodeixis includens nucleopolyhedrovirus,dsDNA
Dongyang pangolin virus,ssRNA(+)
Pestivirus sp.,ssRNA(+)
Cactus carlavirus 2,ssRNA(+)
Cactus carlavirus 1,ssRNA(+)
Botryosphaeria dothidea Ourmia-like virus,ssRNA(+)
Penaeus monodon metallodensovirus,ssDNA(+/-)
Naranjilla mild mosaic virus,ssRNA(+)
Solenopsis invicta virus 6,ssRNA(+)
Bat pestivirus BtSk-PestV-1/GX2017,ssRNA(+)
Yerba mate-associated circular DNA virus 1,ssDNA
Desmodus rotundus dependoparvovirus,ssDNA(+/-)
Rodent bocavirus,ssDNA(+/-)
Pileated finch aveparvovirus,ssDNA(+/-)
Opossum tetraparvovirus,ssDNA(+/-)
Rodent tetraparvovirus,ssDNA(+/-)
Naranjilla chlorotic mosaic virus,ssRNA(+)
Thladiantha dubia mosaic virus,ssRNA(+)
Anemone mosaic virus,ssRNA(+)
Chaetoceros tenuissimus DNA virus SS12-43V,DNA
Rodent pestivirus,ssRNA(+)
Rodent pestivirus,ssRNA(+)
Lupine feces-associated densovirus 2,ssDNA(+/-)
