Organism_Name,Genome.composition
ssRNA phage Gephyllon.1_10,ssRNA(+)
ssRNA phage SRR5466729_1,ssRNA(+)
ssRNA phage SRR7687334_1,ssRNA(+)
ssRNA phage SRR7976300_6,ssRNA(+)
ssRNA phage SRR6960799_14,ssRNA(+)
ssRNA phage SRR7976301_7,ssRNA(+)
ssRNA phage SRR5466727_3,ssRNA(+)
ssRNA phage SRR5208570_1,ssRNA(+)
ssRNA phage Gerhypos.3_9,ssRNA(+)
ssRNA phage Gerhypos.3_17,ssRNA(+)
ssRNA phage Gerhypos.1_9,ssRNA(+)
ssRNA phage AIN002,ssRNA(+)
ssRNA phage SRR6960507_7,ssRNA(+)
ssRNA phage SRR7976299_9,ssRNA(+)
ssRNA phage SRR7976299_8,ssRNA(+)
ssRNA phage SRR5466725_13,ssRNA(+)
ssRNA phage Esthiorhiza.4_9,ssRNA(+)
ssRNA phage Gerhypos.1_49,ssRNA(+)
ssRNA phage Gerhypos.4_61,ssRNA(+)
ssRNA phage SRR5466728_3,ssRNA(+)
ssRNA phage Gephyllon.2_12,ssRNA(+)
ssRNA phage SRR6960551_9,ssRNA(+)
ssRNA phage Esthiorhiza.2_36,ssRNA(+)
ssRNA phage Zoerhiza.2_7,ssRNA(+)
ssRNA phage ESE029,ssRNA(+)
ssRNA phage SRR7976299_11,ssRNA(+)
ssRNA phage SRR6960799_23,ssRNA(+)
ssRNA phage SRR6960799_22,ssRNA(+)
ssRNA phage SRR6960799_21,ssRNA(+)
ssRNA phage SRR6049586_1,ssRNA(+)
ssRNA phage SRR6254351_1,ssRNA(+)
ssRNA phage SRR5208572_1,ssRNA(+)
ssRNA phage SRR6960799_15,ssRNA(+)
ssRNA phage SRR6960797_2,ssRNA(+)
ssRNA phage SRR6960551_8,ssRNA(+)
ssRNA phage SRR6960507_5,ssRNA(+)
ssRNA phage SRR6960551_4,ssRNA(+)
ssRNA phage SRR7976310_11,ssRNA(+)
ssRNA phage SRR7976310_8,ssRNA(+)
ssRNA phage SRR5995670_2,ssRNA(+)
ssRNA phage SRR6050738_2,ssRNA(+)
ssRNA phage SRR7976300_3,ssRNA(+)
ssRNA phage SRR7976301_6,ssRNA(+)
ssRNA phage SRR6960551_10,ssRNA(+)
ssRNA phage Esthiorhiza.4_18,ssRNA(+)
ssRNA phage SRR5466725_10,ssRNA(+)
ssRNA phage SRR7976357_8,ssRNA(+)
ssRNA phage SRR6960540_1,ssRNA(+)
ssRNA phage SRR5467091_8,ssRNA(+)
ssRNA phage Esthiorhiza.1_9,ssRNA(+)
ssRNA phage Gerhypos.3_3,ssRNA(+)
ssRNA phage Gerhypos.1_32,ssRNA(+)
ssRNA phage Zoerhiza.1_26,ssRNA(+)
ssRNA phage Esthiorhiza.2_44,ssRNA(+)
ssRNA phage SRR7976325_13,ssRNA(+)
ssRNA phage Gerhypos.4_17,ssRNA(+)
ssRNA phage Esthiorhiza.4_3,ssRNA(+)
ssRNA phage ESE006,ssRNA(+)
ssRNA phage SRR7976300_7,ssRNA(+)
ssRNA phage SRR5466725_8,RNA
ssRNA phage SRR6960509_4,RNA
ssRNA phage SRR6960803_4,RNA
ssRNA phage SRR7976325_5,RNA
ssRNA phage SRR5995670_1,RNA
ssRNA phage Gephyllon.1_2,RNA
ssRNA phage Esthiorhiza.4_4,RNA
ssRNA phage Gephyllon.1_12,RNA
ssRNA phage SRR5466725_1,RNA
ssRNA phage SRR6960549_2,RNA
ssRNA phage SRR7976326_1,RNA
ssRNA phage SRR5466725_2,RNA
ssRNA phage SRR7976356_2,RNA
ssRNA phage Gerhypos.2_41,RNA
ssRNA phage Zoerhiza.2_26,RNA
ssRNA phage SRR6960803_2,RNA
ssRNA phage Gephyllon.2_6,RNA
ssRNA phage Gephyllon.1_7,RNA
ssRNA phage Gerhypos.3_27,RNA
ssRNA phage Zoerhiza.4_7,RNA
ssRNA phage Zoerhiza.1_36,RNA
ssRNA phage Gerhypos.4_59,RNA
ssRNA phage Esthiorhiza.2_15,RNA
ssRNA phage SRR7976310_2,RNA
ssRNA phage SRR6960551_1,RNA
ssRNA phage SRR5467091_1,RNA
ssRNA phage SRR5466725_4,RNA
ssRNA phage SRR7976357_2,RNA
ssRNA phage SRR7976357_1,RNA
ssRNA phage SRR7976325_1,RNA
ssRNA phage SRR6960549_1,RNA
ssRNA phage SRR5466364_1,RNA
ssRNA phage ESE018,RNA
ssRNA phage Zoerhiza.1_27,RNA
ssRNA phage Zoerhiza.3_2,RNA
ssRNA phage Esthiorhiza.4_2,RNA
ssRNA phage Gephyllon.4_3,RNA
ssRNA phage Gephyllon.3_2,RNA
ssRNA phage Esthiorhiza.2_7,RNA
ssRNA phage Zoerhiza.2_8,RNA
ssRNA phage SRR7976356_1,RNA
ssRNA phage SRR7976357_4,RNA
ssRNA phage SRR7976301_1,RNA
ssRNA phage SRR6960803_1,RNA
ssRNA phage Gerhypos.2_9,RNA
ssRNA phage SRR7976299_2,RNA
ssRNA phage SRR7976299_1,RNA
ssRNA phage Gephyllon.2_11,RNA
ssRNA phage Esthiorhiza.3_4,RNA
ssRNA phage Zoerhiza.1_12,RNA
ssRNA phage Zoerhiza.4_15,RNA
ssRNA phage Gerhypos.4_28,RNA
ssRNA phage Gephyllon.1_9,RNA
ssRNA phage SRR7976325_3,RNA
ssRNA phage SRR6960551_2,RNA
ssRNA phage SRR5467091_3,RNA
ssRNA phage SRR5466364_2,RNA
ssRNA phage SRR5467091_2,RNA
ssRNA phage SRR5467139_1,RNA
ssRNA phage SRR7976326_2,RNA
ssRNA phage SRR7976356_3,RNA
ssRNA phage SRR6960803_3,RNA
ssRNA phage SRR5466337_1,RNA
ssRNA phage Zoerhiza.1_9,RNA
ssRNA phage SRR6960509_1,RNA
ssRNA phage SRR7976357_3,RNA
ssRNA phage Zoerhiza.3_1,RNA
ssRNA phage Gerhypos.4_10,RNA
ssRNA phage Gerhypos.1_41,RNA
ssRNA phage Gerhypos.1_5,RNA
ssRNA phage Esthiorhiza.3_13,RNA
ssRNA phage Esthiorhiza.2_46,RNA
ssRNA phage Gerhypos.2_18,RNA
ssRNA phage SRR5466728_2,RNA
ssRNA phage SRR7976310_1,RNA
ssRNA phage SRR6050738_1,RNA
ssRNA phage Zoerhiza.4_1,RNA
ssRNA phage SRR7976356_4,RNA
ssRNA phage SRR5467090_1,RNA
ssRNA phage Gephyllon.3_17,RNA
ssRNA phage Gephyllon.2_10,RNA
ssRNA phage Gerhypos.2_22,RNA
ssRNA phage SRR6960509_2,RNA
ssRNA phage SRR6254353_1,RNA
ssRNA phage Gerhypos.2_38,RNA
ssRNA phage SRR7976301_2,RNA
ssRNA phage Gephyllon.4_5,RNA
ssRNA phage Gerhypos.4_36,RNA
ssRNA phage SRR5466728_1,RNA
ssRNA phage ESE020,RNA
ssRNA phage SRR5466725_3,RNA
ssRNA phage SRR5466365_1,RNA
ssRNA phage SRR7976299_3,RNA
ssRNA phage SRR7976325_2,RNA
ssRNA phage Gerhypos.2_20,RNA
ssRNA phage Gephyllon.2_13,RNA
Spiroplasma phage SVGII3,ssDNA
Vibrio phage VALG_phi8,ssDNA(+)
Vibrio phage VALG_phi6,ssDNA(+)
Vibrio phage VAI1,ssDNA(+)
Ralstonia phage RSBg,ssDNA(+)
Xanthomonas phage phiXv2,ssDNA(+)
Xanthomonas phage phiLF,ssDNA(+)
Pseudomonas phage pf8_ST274-AUS411,ssDNA(+)
Xanthomonas phage phiLf2,ssDNA(+)
Xanthomonas phage Cf2,ssDNA(+)
Erwinia phage PEar6,ssDNA(+)
Vibrio phage VP24-2_Ke,ssDNA(+)
Vibrio phage pre-CTX,ssDNA(+)
Vibrio phage pre-CTX,ssDNA(+)
Salmonella phage STYP1,dsDNA
Pseudomonas phage Epa33,dsDNA
Pseudomonas phage LKA5,dsDNA
Pseudomonas phage phiC725A,dsDNA
Pseudomonas phage vB_PaeP_E220,dsDNA
Pseudomonas phage PA8,dsDNA
Pseudomonas phage vB_Paer_PsCh,dsDNA
Pseudomonas phage vB_Paer_PsIn,dsDNA
Pseudomonas phage vB_Paer_Ps12,dsDNA
Pseudomonas phage phipa10,dsDNA
Pseudomonas phage vB_PA45_GUMS,dsDNA
Pseudomonas phage vB_PaeM_B55,dsDNA
Pseudomonas phage YS35,dsDNA
Pseudomonas phage vB_PaeS_B8,dsDNA
Pseudomonas phage HJ01,dsDNA
Pseudomonas phage vB_PaeM_B31,dsDNA
Pseudomonas phage vB_PaeM_LCK69,dsDNA
Pseudomonas phage 20Sep416,dsDNA
Pseudomonas phage vB_Pae_Kat,dsDNA
Pseudomonas phage PhL_UNISO_PA-DSM_ph0034,dsDNA
Pseudomonas phage vB_PaM_EPA1,dsDNA
Pseudomonas phage Henu5,dsDNA
Pseudomonas phage PaZq-1,dsDNA
Pseudomonas phage pPA-3099-2aT.2,dsDNA
Pseudomonas phage ITTPL,dsDNA
Pseudomonas phage SPA05,dsDNA
Pseudomonas phage PaGz-1,dsDNA
Pseudomonas phage SPA01,dsDNA
Pseudomonas phage EM,dsDNA
Arthrobacter phage Yavru,dsDNA
Arthrobacter phage Whytu,dsDNA
Arthrobacter phage BlueFeather,dsDNA
Arthrobacter phage Idaho,dsDNA
Arthrobacter phage Corgi,dsDNA
Arthrobacter phage Noely,dsDNA
Vibrio virus 2019VC1,dsDNA
Arthrobacter phage Bauer,dsDNA
Arthrobacter phage Elesar,dsDNA
Arthrobacter phage Popper,dsDNA
Arthrobacter phage Zaheer,dsDNA
Arthrobacter phage Cole,dsDNA
Arthrobacter phage Ryan,dsDNA
Arthrobacter phage Nandita,dsDNA
Streptomyces phage Eastland,dsDNA
Streptomyces phage Piccadilly,dsDNA
Streptomyces phage Cumberbatch,dsDNA
Streptomyces phage HFrancette,dsDNA
Streptomyces phage Vondra,dsDNA
Streptomyces phage AxeJC,dsDNA
Streptomyces phage Eklok,dsDNA
Streptomyces phage Ignacio,dsDNA
Clostridium phage CI55P1,dsDNA
Clostridium phage CI461P1,dsDNA
Rhizobium phage RHph_N3_8,dsDNA
Glutamicibacter phage Voltaire,dsDNA
Bifidobacterium phage BD811P2,dsDNA
Curtobacterium phage Reje,dsDNA
Curtobacterium phage Pize,dsDNA
Rhodococcus phage Mbo4,dsDNA
Gordonia phage VanLee,dsDNA
Streptomyces phage TurkishDelight,dsDNA
Streptomyces phage Success,dsDNA
Rothia phage Spartoi,dsDNA
Microbacterium phage Shocker,dsDNA
Arthrobacter phage Shambre1,dsDNA
Microbacterium phage Pumpernickel,dsDNA
Microbacterium phage PineapplePizza,dsDNA
Microbacterium phage OscarSo,dsDNA
Mycobacterium phage MalagasyRose,dsDNA
Mycobacterium phage LilSpotty,dsDNA
Mycobacterium phage IdentityCrisis,dsDNA
Streptomyces phage Ibantik,dsDNA
Streptomyces phage Gilgamesh,dsDNA
Microbacterium phage Footloose,dsDNA
Gordonia phage Finkle,dsDNA
Corynebacterium phage EmiRose,dsDNA
Streptomyces phage Chymera,dsDNA
Rhodococcus phage ChewyVIII,dsDNA
Streptomyces phage ZL12,dsDNA
Microbacterium phage AnnaLie,dsDNA
Microbacterium phage SansAfet,dsDNA
Microbacterium phage CroZenni,dsDNA
Microbacterium phage BubbaBear,dsDNA
Microbacterium phage Jovita,dsDNA
Microbacterium phage Swervy,dsDNA
Microbacterium phage QMacho,dsDNA
Microbacterium phage Eula,dsDNA
Microbacterium phage Kenzers,dsDNA
Microbacterium phage Lynlen,dsDNA
Microbacterium phage Abigail,dsDNA
Microbacterium phage Avocadoman,dsDNA
Microbacterium phage DickRichards,dsDNA
Microbacterium phage Burritobowl,dsDNA
Microbacterium phage Doobus,dsDNA
Microbacterium phage Albright,dsDNA
Microbacterium phage IndyLu,dsDNA
Microbacterium phage Didgeridoo,dsDNA
Microbacterium phage Lahqtemish,dsDNA
Microbacterium phage Arroyo,dsDNA
Microbacterium phage Stromboli,dsDNA
Microbacterium Phage DirtyBubble,dsDNA
Microbacterium phage Stoor,dsDNA
Microbacterium phage Elva,dsDNA
Microbacterium phage AvGardian,dsDNA
Microbacterium phage Katzastrophic,dsDNA
Microbacterium phage Celaena,dsDNA
Microbacterium phage Quenya,dsDNA
Microbacterium phage Franklin22,dsDNA
Microbacterium phage Teamocil,dsDNA
Microbacterium phage Jayden,dsDNA
Microbacterium phage Ariadne,dsDNA
Microbacterium phage Tyrumbra,dsDNA
Microbacterium phage NoodlelyBoi,dsDNA
Microbacterium phage ClearAsMud,dsDNA
Microbacterium phage Shotgun,dsDNA
Microbacterium phage Honeyfin,dsDNA
Microbacterium phage Megan,dsDNA
Microbacterium phage Terij,dsDNA
Microbacterium phage Margaery,dsDNA
Microbacterium phage Cinna,dsDNA
Microbacterium phage Matzah,dsDNA
Microbacterium phage Cressida,dsDNA
Microbacterium phage Kozie,dsDNA
Arthrobacter phage ScienceWizSam,dsDNA
Arthrobacter phage DevitoJr,dsDNA
Arthrobacter phage Darby,dsDNA
Arthrobacter phage Trustiboi,dsDNA
Arthrobacter phage Tatanka,dsDNA
Arthrobacter phage CastorTray,dsDNA
Arthrobacter phage Synepsis,dsDNA
Arthrobacter phage Breylor17,dsDNA
Arthrobacter phage Nightmare,dsDNA
Arthrobacter phage Niktson,dsDNA
Arthrobacter phage Teacup,dsDNA
Escherichia phage vB_EcoS_XY1,dsDNA
Escherichia phage vB_EcoS-22664BS2,dsDNA
Escherichia phage vB_EcoS-phiEc3,dsDNA
Escherichia phage vB_EcoS-Ro145c2YLVW,dsDNA
Escherichia phage ZCEC5,dsDNA
Escherichia phage 26,dsDNA
Escherichia phage SZH-1,dsDNA
Escherichia phage NTEC3,dsDNA
Escherichia phage vB_EcoS_fPoEco01,dsDNA
Escherichia phage vB_EcoS_fFiEco02,dsDNA
Escherichia phage vB_EcoS_fFiEco03,dsDNA
Escherichia virus fEg-Eco19,dsDNA
Salmonella phage sidste,dsDNA
Salmonella phage demigod,dsDNA
Salmonella phage pink,dsDNA
Salmonella phage STP03,dsDNA
Salmonella phage SGPC,dsDNA
Salmonella phage vB_SenS_ER1,dsDNA
Salmonella phage vB_SenS_SB3,dsDNA
Salmonella phage ZCSE9,dsDNA
Salmonella phage T102,dsDNA
Salmonella phage fmb-p1,dsDNA
Salmonella phage GRNsp50,dsDNA
Salmonella phage SLMP1,dsDNA
Salmonella phage SHWT1,dsDNA
Salmonella phage CTH7,dsDNA
Salmonella phage LP31,dsDNA
Salmonella phage LPSE1,dsDNA
Salmonella phage MET_P1_001_43,dsDNA
Salmonella phage celemicas,dsDNA
Salmonella phage dunkel,dsDNA
Salmonella phage S100,dsDNA
Salmonella phage S102,dsDNA
Salmonella phage vB_SenS_ER21,dsDNA
Salmonella phage vB_SenS_ER23,dsDNA
Salmonella phage NBSal006,dsDNA
Salmonella phage Shelanagig,dsDNA
Salmonella phage vB_SalP_LDW16,dsDNA
Salmonella phage vB_SalS-S10,dsDNA
Salmonella phage F118P13,dsDNA
Salmonella phage vB_SenS-EnJE6,dsDNA
Salmonella phage vB_SenS_S528,dsDNA
Salmonella phage JD01,dsDNA
Salmonella phage vB_SenS_S532,dsDNA
Salmonella phage vB_SenS-EnJE1,dsDNA
Salmonella phage vB_SenS_PVP-SE2,dsDNA
Salmonella phage PBSE191,dsDNA
Salmonella phage F12013,dsDNA
Salmonella phage NBSal007,dsDNA
Salmonella virus VSe103,dsDNA
Salmonella phage 5sent1,dsDNA
Salmonella phage templet,dsDNA
Salmonella phage vB_SenS_TUMS_E4,dsDNA
Salmonella phage vB_SenS_TUMS_E19,dsDNA
Salmonella phage vB_StyS-sam,dsDNA
Salmonella virus VSe101,dsDNA
Salmonella virus VSt10,dsDNA
Salmonella phage wast,dsDNA
Salmonella phage blauehaus,dsDNA
Salmonella phage skrot,dsDNA
Salmonella phage horsemountain,dsDNA
Salmonella phage SE-W109,dsDNA
Salmonella phage SS5,dsDNA
Xanthomonas phage Pfeifenkraut,dsDNA
Xanthomonas phage Langgrundblatt2,dsDNA
Xanthomonas phage Langgrundblatt1,dsDNA
Xanthomonas phage Suba,dsDNA
Bacillus phage 0105phi7-2,dsDNA
Bacillus phage vB_BanS_Athena,dsDNA
Escherichia phage Oekolampad,dsDNA
Escherichia phage PC2,dsDNA
Escherichia phage Gluttony_ev152,dsDNA
Escherichia phage vB_EcoS_L-h 1M,dsDNA
Escherichia phage vB_EcoS_011D5,dsDNA
Escherichia phage vb_EcoS_bov22_1,dsDNA
Escherichia phage BF9,dsDNA
Shigella phage vB_SboD_StarDew,dsDNA
Escherichia phage vB_EcoS_Sponge,dsDNA
Escherichia phage EC115,dsDNA
Escherichia phage vB_EcoD_Over9000,dsDNA
Escherichia phage welsh,dsDNA
Escherichia phage vB_Eco_Maverick,dsDNA
Escherichia phage jat,dsDNA
Escherichia phage ZCEC10,dsDNA
Escherichia phage UAE_MI-01,dsDNA
Escherichia phage mckay,dsDNA
Escherichia phage bob,dsDNA
Escherichia phage SECphi18,dsDNA
Escherichia phage CEC_Kaz_2018,dsDNA
Escherichia phage B2,dsDNA
Escherichia phage vB_EcoD_Pubbukkers,dsDNA
Escherichia phage PaulFeyerabend,dsDNA
Escherichia phage GeorgBuechner,dsDNA
Escherichia phage vB_EcoS_Zar3M,dsDNA
Escherichia phage vB_EcoS_PTXU06,dsDNA
Escherichia phage vB_EcoS_PNS1,dsDNA
Escherichia phage TheodorHerzl,dsDNA
Escherichia phage vB_EcoS-101114BS4,dsDNA
Escherichia phage vB_EcoS_WF5505,dsDNA
Escherichia phage vB_EcoS-CHD5UKE2,dsDNA
Escherichia phage vB_EcoS_WFI,dsDNA
Escherichia phage KarlBarth,dsDNA
Escherichia phage rolling,dsDNA
Escherichia phage vB_EcoD_Opt212,dsDNA
Escherichia phage JLBYU37,dsDNA
Escherichia phage vB_EcoD_Teewinot,dsDNA
Escherichia phage JLBYU60,dsDNA
Escherichia phage PEC14,dsDNA
Bacillus phage vB_BsuS_PJN02,dsDNA
Bacillus phage FADO,dsDNA
Escherichia phage Halfdan,dsDNA
Pseudomonas phage UF_RH1,dsDNA
Pseudomonas phage vB_PaeS_SCUT-S3,dsDNA
Stenotrophomonas phage vB_SM_ytsc_ply2008005c,dsDNA
Sphingomonas phage vB_StuS_MMDA13,dsDNA
Pseudomonas phage MiCath,dsDNA
Pseudomonas phage Quinobequin-P09,dsDNA
Pseudomonas phage vB_PaeS_PAJD-1,dsDNA
Xanthomonas phage vB_Xar_IVIA-DoCa3,dsDNA
Pseudomonas phage JG054,dsDNA
Mycobacterium phage Muddy,dsDNA
Mycobacterium phage Che8,dsDNA
Klebsiella phage VLCpiS13c,dsDNA
Klebsiella phage 6991,dsDNA
Klebsiella phage VLCpiS13b,dsDNA
Klebsiella phage BUCT541,dsDNA
Klebsiella phage BUCT610,dsDNA
Klebsiella phage VLCpiS13a,dsDNA
Klebsiella phage vB_Kpn_ZC2,dsDNA
Klebsiella phage ZCKP8,dsDNA
Klebsiella phage vB_Kpn_ZCKp20p,dsDNA
Klebsiella phage KP591P3,dsDNA
Klebsiella phage KP591P1,dsDNA
Klebsiella phage vB_KpnS_MK54,dsDNA
Klebsiella phage VLCpiS13e,dsDNA
Klebsiella phage VLCpiS13f,dsDNA
Flyfo siphovirus Tbat1_6,dsDNA
Klebsiella phage VLCpiS13d,dsDNA
Klebsiella phage SBP,dsDNA
Escherichia phage ZCEC13,dsDNA
Klebsiella phage vB_KleM_KB2,dsDNA
Klebsiella phage 1611E-K2-1,dsDNA
Klebsiella phage vB_KpnM_IME346,dsDNA
Klebsiella phage pKp383,dsDNA
Klebsiella phage MEW1,dsDNA
Klebsiella phage vB_KpnM_JustaPhage,dsDNA
Klebsiella phage vB_KpnM_FZ14,dsDNA
Klebsiella phage Geezett,dsDNA
Klebsiella phage VLCpiM12a,dsDNA
Klebsiella phage BUCT_47333,dsDNA
Klebsiella phage BUCT_49532,dsDNA
Klebsiella phage vB_KpnM_15-38_KLPPOU148,dsDNA
Arthrobacter phage Tweety19,dsDNA
Arthrobacter phage DrSierra,dsDNA
Arthrobacter phage Crewmate,dsDNA
Arthrobacter phage Reedo,dsDNA
Arthrobacter phage KeAlii,dsDNA
Arthrobacter phage Kaylissa,dsDNA
Arthrobacter phage Elezi,dsDNA
Arthrobacter phage Adumb2043,dsDNA
Arthrobacter phage Warda,dsDNA
Arthrobacter phage Tbone,dsDNA
Arthrobacter phage Amyev,dsDNA
Arthrobacter phage Phives,dsDNA
Arthrobacter phage Lizalica,dsDNA
Arthrobacter phage BaileyBlu,dsDNA
Stenotrophomonas phage BUCT627,dsDNA
Stenotrophomonas phage BUCT626,dsDNA
Stenotrophomonas phage vB_SmaS_BUCT548,dsDNA
Stenotrophomonas phage Siara,dsDNA
Stenotrophomonas phage Salva,dsDNA
Shewanella phage X14,dsDNA
Kosakonia phage Kc263,dsDNA
Brevibacterium phage Cantare,dsDNA
Carnobacterium phage cd4,dsDNA
Carnobacterium phage cd2,dsDNA
Klebsiella phage vB_KpnS-Carvaje,dsDNA
Salmonella phage vB_SAg-RPN213,dsDNA
Salmonella phage vB_SAg-RPN15,dsDNA
Pantoea phage PdC23,dsDNA
Aeromonas phage ZPAH34,dsDNA
Gordonia phage ChisanaKitsune,dsDNA
Gordonia phage Chidiebere,dsDNA
Gordonia phage Clawz,dsDNA
Enterobacter phage vB_EclS_CobraSix,dsDNA
Enterococcus phage MDA1,dsDNA
Providencia phage PSTCR7,dsDNA
Providencia phage PSTCR4,dsDNA
Aeromonas phage pAEv1810,dsDNA
Aeromonas phage PS1,dsDNA
Gordonia phage EricDab,dsDNA
Gordonia phage SallySpecial,dsDNA
Gordonia phage Emperor,dsDNA
Gordonia phage Coeur,dsDNA
Escherichia phage vB_EcoP_IMEP8,dsDNA
Escherichia phage Paul,dsDNA
Escherichia phage vB_EcoP_WFI101126,dsDNA
Escherichia phage MN03,dsDNA
Escherichia phage vB_EcoP-CHD5UKE1,dsDNA
Shigella phage SGF2,dsDNA
Escherichia phage MN05,dsDNA
Escherichia phage vB_EcoP_EcoN5,dsDNA
Escherichia phage O18-011,dsDNA
Escherichia phage ES17,dsDNA
Escherichia phage IME267,dsDNA
Escherichia phage vB_EcoP-101114UKE3,dsDNA
Escherichia phage EK010,dsDNA
Escherichia phage vB_EcoP_SU7,dsDNA
Escherichia phage EP335,dsDNA
Vibrio phage Vp_R1,dsDNA
Aeromonas phage BUCT695,dsDNA
Proteus phage 3H10_20,dsDNA
Proteus phage Vb_PmiP-P59,dsDNA
Salmonella phage SE131,dsDNA
Cronobacter phage A24,dsDNA
Clostridium phage LPCPA6,dsDNA
Pseudomonas virus PBPA162,dsDNA
Pseudomonas phage Iggy,dsDNA
Pseudomonas phage Itty13,dsDNA
Streptomyces phage Pablito,dsDNA
Rhizobium phage RHph_Y65,dsDNA
Rhizobium phage RHph_TM30,dsDNA
Synechococcus phage S-H34,dsDNA
Synechococcus phage S-H38,dsDNA
Synechococcus phage S-SRM01,dsDNA
Synechococcus phage S-SCSM1,dsDNA
Synechococcus phage S-H9-1,dsDNA
Synechococcus phage S-H9-2,dsDNA
Synechococcus phage S-N03,dsDNA
Aeromonas phage D6,dsDNA
Aeromonas phage D3,dsDNA
Aeromonas phage LAh10,dsDNA
Burkholderia phage BgManors32,dsDNA
Burkholderia phage Magia,dsDNA
Alteromonas phage ZP6,dsDNA
Erwinia phage AH04,dsDNA
Stenotrophomonas maltophilia phage vB_SmaM_Ps15,dsDNA
Klebsiella phage Miami,dsDNA
Erwinia phage Midgardsormr38,dsDNA
Gordonia phage Mollymur,dsDNA
Arthrobacter phage KeaneyLin,dsDNA
Arthrobacter phage Dynamite,dsDNA
Arthrobacter phage Kardesai,dsDNA
Arthrobacter phage JEGGS,dsDNA
Arthrobacter phage Heisenberger,dsDNA
Arthrobacter phage Xenomorph,dsDNA
Arthrobacter phage Correa,dsDNA
Arthrobacter phage Cheesy,dsDNA
Arthrobacter phage Tribby,dsDNA
Arthrobacter phage Arcadia,dsDNA
Cronobacter phage LPCS28,dsDNA
Klebsiella phage N1M2,dsDNA
Mycobacterium phage Taptic,dsDNA
Mycobacterium phage Jeon,dsDNA
Ochrobactrum phage vB_OspP_OH,dsDNA
Ochrobactrum phage POI1126,dsDNA
Ochrobactrum phage POA1180,dsDNA
Streptococcus phage IPP66,dsDNA
Streptococcus phage IPP52,dsDNA
Streptococcus phage IPP48,dsDNA
Streptococcus phage SpGS-1,dsDNA
Streptococcus phage IPP39,dsDNA
Streptococcus phage IPP14,dsDNA
Streptococcus phage IPP55,dsDNA
Streptococcus phage IPP54,dsDNA
Streptococcus phage IPP65,dsDNA
Erwinia phage Pavtok,dsDNA
Shewanella phage vB_SspM_M16-3,dsDNA
Aeromonas phage vB_AsaM_LPM4,dsDNA
Yersinia phage vB_YenM_31.17,dsDNA
Yersinia phage vB_YenM_324,dsDNA
Yersinia phage vB_YenM_06.16-2,dsDNA
Yersinia phage vB_YenM_56.17,dsDNA
Yersinia phage vB_YenM_201.16,dsDNA
Yersinia phage vB_YenM_42.18,dsDNA
Burkholderia phage PhiBP82.2,dsDNA
Salmonella phage BIS20,dsDNA
Burkholderia phage FLC10,dsDNA
Escherichia phage Cartapus,dsDNA
Yersinia phage HQ103,dsDNA
Yersinia phage P37,dsDNA
Peduovirus P2,dsDNA
Peduovirus P2,dsDNA
Peduovirus P2,dsDNA
Escherichia phage P2_AC1,dsDNA
Escherichia phage 11W,dsDNA
Streptococcus phage CHPC577,dsDNA
Streptococcus phage CHPC926,dsDNA
Streptococcus phage SW16,dsDNA
Streptococcus phage SW22,dsDNA
Gordonia phage Vine,dsDNA
Gordonia phage BigChungus,dsDNA
Gordonia phage SheckWes,dsDNA
Gordonia phage Lauer,dsDNA
Gordonia phage CherryonLim,dsDNA
Gordonia phage Mayweather,dsDNA
Gordonia phage Pons,dsDNA
Agrobacterium phage Atu_ph04,dsDNA
Rhizobium phage RL2RES,dsDNA
Rhizobium phage RL38J1,dsDNA
Rhizobium phage AF3,dsDNA
Rhizobium phage P9VFCI,dsDNA
Rhizobium phage RHph_I1_9,dsDNA
Rhizobium phage RHph_N34,dsDNA
Rhizobium phage RHph_Y68,dsDNA
Pseudomonas phage vB_PaeM_PS119XW,dsDNA
Pseudomonas phage UFJF_PfDIW6,dsDNA
Staphylococcus phage SeAlphi,dsDNA
Staphylococcus phage BESEP3,dsDNA
Staphylococcus phage JPL-50,dsDNA
Arthrobacter phage Qui,dsDNA
Agrobacterium phage Atu_ph08,dsDNA
Serratia phage Scapp,dsDNA
Escherichia phage vB_EcoP-ZQ2,dsDNA
Escherichia phage St11Ph5,dsDNA
Escherichia phage U1G,dsDNA
Escherichia phage PGN829.1,dsDNA
Escherichia phage phi G17,dsDNA
Escherichia phage vB_EcoP_SP5M,dsDNA
Stenotrophomonas phage Piffle,dsDNA
Stenotrophomonas phage Paxi,dsDNA
Pseudomonas phage 98PfluR60PP,dsDNA
Pseudomonas phage vB_Pae575P-3,dsDNA
Pseudomonas phage PAP02,dsDNA
Pseudomonas phage vB_PaeP_TUMS_P121,dsDNA
Pseudomonas phage VB_PaeS_VL1,dsDNA
Kosakonia phage Kc283,dsDNA
Pectobacterium phage Possum,dsDNA
Dinoroseobacter phage vB_DshP-R7L,dsDNA
Stenotrophomonas phage C121,dsDNA
Rhizobium phage RHph_X2_28B,dsDNA
Rhizobium phage RHEph16,dsDNA
Rhizobium phage RHEph22,dsDNA
Rhizobium phage RHph_Y2_6,dsDNA
Rhizobium phage RHph_Y38,dsDNA
Rhizobium phage RHph_I1_6,dsDNA
Rhizobium phage RHph_N38,dsDNA
Shigella virus Moo19,dsDNA
Alcaligenes phage vB_AfaP_QDWS595,dsDNA
Vibrio phage BUCT194,dsDNA
Stenotrophomonas phage Philippe,dsDNA
Salmonella phage LPSTLL,unknown
