Species,Genome composition
Rhadinovirus atelinegamma2,dsDNA
Rhadinovirus atelinegamma3,dsDNA
Rhadinovirus bovinegamma4,dsDNA
Rhadinovirus colobinegamma1,dsDNA
Rhadinovirus cricetidgamma2,dsDNA
Rhadinovirus humangamma8,dsDNA
Rhadinovirus macacinegamma11,dsDNA
Rhadinovirus macacinegamma12,dsDNA
Rhadinovirus macacinegamma5,dsDNA
Rhadinovirus macacinegamma8,dsDNA
Rhadinovirus muridgamma4,dsDNA
Rhadinovirus muridgamma7,dsDNA
Rhadinovirus saimiriinegamma2,dsDNA
Junduvirus communis,dsDNA
Junduvirus copri,dsDNA
Kahucivirus intestinalis,dsDNA
Kingevirus communis,dsDNA
Jahgtovirus gastrointestinalis,dsDNA
Jahgtovirus intestinalis,dsDNA
Jahgtovirus intestinihominis,dsDNA
Jahgtovirus secundus,dsDNA
Carjivirus communis,dsDNA
Carjivirus hominis,dsDNA
Dabirmavirus hominis,dsDNA
Delmidovirus copri,dsDNA
Delmidovirus intestinihominis,dsDNA
Delmidovirus splanchnicus,dsDNA
Diorhovirus copri,dsDNA
Diorhovirus intestinalis,dsDNA
Drivevirus gastrointestinalis,dsDNA
Endlipuvirus intestinihominis,dsDNA
Whopevirus animalis,dsDNA
Fohxhuevirus gastrointestinalis,dsDNA
Hacihdavirus animalis,dsDNA
Wotdevirus murinus,dsDNA
Akihdevirus balticus,dsDNA
Kahnovirus copri,dsDNA
Kahnovirus oralis,dsDNA
Kehishuvirus primarius,dsDNA
Kehishuvirus splanchnicus,dsDNA
Kolpuevirus coli,dsDNA
Kolpuevirus hominis,dsDNA
Lahndsivirus rarus,dsDNA
Lebriduvirus gastrointestinalis,dsDNA
Mahlunavirus rarus,dsDNA
Mahstovirus faecalis,dsDNA
Pamirivirus faecium,dsDNA
Paundivirus hollandii,dsDNA
Pipoluvirus rarus,dsDNA
Wulfhauvirus bangladeshii,dsDNA
Afonbuvirus coli,dsDNA
Afonbuvirus faecalis,dsDNA
Afonbuvirus intestinihominis,dsDNA
Canhaevirus faecalis,dsDNA
Canhaevirus hiberniae,dsDNA
Cohcovirus hiberniae,dsDNA
Cohcovirus splanchnicus,dsDNA
Culoivirus americanus,dsDNA
Culoivirus faecalis,dsDNA
Culoivirus intestinalis,dsDNA
Blohavirus americanus,dsDNA
Blohavirus faecalis,dsDNA
Buchavirus coli,dsDNA
Buchavirus copri,dsDNA
Buchavirus faecalis,dsDNA
Buchavirus hiberniae,dsDNA
Buchavirus hominis,dsDNA
Buchavirus intestinalis,dsDNA
Buchavirus oralis,dsDNA
Buchavirus splanchnicus,dsDNA
Buorbuivirus hominis,dsDNA
Bohxovirus oralis,dsDNA
Buhlduvirus animalis,dsDNA
Buhlduvirus porcinus,dsDNA
Burzaovirus coli,dsDNA
Burzaovirus faecalis,dsDNA
Burzaovirus intestinihominis,dsDNA
Cacepaovirus simiae,dsDNA
Chuhaivirus simiae,dsDNA
Aurodevirus hiberniae,dsDNA
Aurodevirus hominis,dsDNA
Aurodevirus intestinalis,dsDNA
Besingivirus coli,dsDNA
Birpovirus hiberniae,dsDNA
Birpovirus hominis,dsDNA
Dechshavirus japanensis,dsDNA
Mathaucavirus yangshanense,dsDNA
Nohelivirus yangshanense,dsDNA
Senitvirus yangshanense,dsDNA
Sweetvirus yangshanense,dsDNA
Beejeyvirus BJ1,dsDNA
Seejivirus CGphi46,dsDNA
Dpdavirus HRTV29,dsDNA
Retbasiphovirus HFTV1,dsDNA
Saldibavirus HRTV4,dsDNA
Hatrivirus HATV3,dsDNA
Lonfivirus HSTV1,dsDNA
Aobingvirus yangshanense,dsDNA
Metforvirus Drs3,dsDNA
Psimunavirus psiM2,dsDNA
Kisinvirus pescaderoense,dsDNA
Kukulkanvirus guaymasense,dsDNA
Kukulkanvirus mexicoense,dsDNA
Hacavirus HCTV1,dsDNA
Tredecimvirus HVTV1,dsDNA
Haloferacalesvirus HF1,dsDNA
Haloferacalesvirus HJTV2,dsDNA
Haloferacalesvirus HRTV10,dsDNA
Haloferacalesvirus HRTV5,dsDNA
Haloferacalesvirus HRTV8,dsDNA
Haloferacalesvirus HSTV4,dsDNA
Haloferacalesvirus Serpecor1,dsDNA
Laminvirus HRTV25,dsDNA
Mincapvirus HSTV2,dsDNA
Minorvirus HRTV27,dsDNA
Hagravirus HGTV1,dsDNA
Eilatmyovirus HATV2,dsDNA
Agtrevirus AG3,dsDNA
Agtrevirus EM4,dsDNA
Agtrevirus MK13,dsDNA
Agtrevirus P46FS4,dsDNA
Agtrevirus SKML39,dsDNA
Limestonevirus limestone,dsDNA
Limestonevirus RC2014,dsDNA
Kuttervirus aagejoakim,dsDNA
Kuttervirus allotria,dsDNA
Kuttervirus barely,dsDNA
Kuttervirus bering,dsDNA
Kuttervirus BSP101,dsDNA
Kuttervirus CBA120,dsDNA
Kuttervirus Det7,dsDNA
Kuttervirus dinky,dsDNA
Kuttervirus ECML4,dsDNA
Kuttervirus EP75,dsDNA
Kuttervirus FEC14,dsDNA
Kuttervirus GG32,dsDNA
Kuttervirus heyday,dsDNA
Kuttervirus kv38,dsDNA
Kuttervirus maane,dsDNA
Kuttervirus marshall,dsDNA
Kuttervirus maynard,dsDNA
Kuttervirus moki,dsDNA
Kuttervirus mutine,dsDNA
Kuttervirus pertopsoe,dsDNA
Kuttervirus PhaxI,dsDNA
Kuttervirus PM10,dsDNA
Kuttervirus rabagast,dsDNA
Kuttervirus S118,dsDNA
Kuttervirus SE14,dsDNA
Kuttervirus SeB,dsDNA
Kuttervirus SeG,dsDNA
Kuttervirus SeJ,dsDNA
Kuttervirus SenALZ1,dsDNA
Kuttervirus SenASZ3,dsDNA
Kuttervirus SeSz1,dsDNA
Kuttervirus SFP10,dsDNA
Kuttervirus SH19,dsDNA
Kuttervirus SJ2,dsDNA
Kuttervirus SJ3,dsDNA
Kuttervirus SP1,dsDNA
Kuttervirus SS9,dsDNA
Kuttervirus STML131,dsDNA
Kuttervirus STW77,dsDNA
