Species,Genome composition
Staphylococcus phage SP5,dsDNA
Staphylococcus phage TEM126,dsDNA
Staphylococcus phage B122,dsDNA
Staphylococcus phage B166,dsDNA
Staphylococcus phage B236,dsDNA
Staphylococcus phage phiETA,dsDNA
Staphylococcus phage phiETA3,dsDNA
Staphylococcus phage EW,dsDNA
Staphylococcus phage Henu2,dsDNA
Staphylococcus phage phiJB,dsDNA
Staphylococcus phage phiMR11,dsDNA
Staphylococcus phage phiNM4,dsDNA
Staphylococcus phage 187,dsDNA
Staphylococcus phage 29,dsDNA
Staphylococcus phage 37,dsDNA
Staphylococcus phage 3MRA,dsDNA
Staphylococcus phage 52A,dsDNA
Staphylococcus phage 55,dsDNA
Staphylococcus phage 71,dsDNA
Staphylococcus phage 80,dsDNA
Staphylococcus phage 88,dsDNA
Staphylococcus phage 92,dsDNA
Staphylococcus phage 96,dsDNA
Staphylococcus phage ROSA,dsDNA
Staphylococcus phage SA13,dsDNA
Staphylococcus phage vB_SauS-SAP27,dsDNA
Staphylococcus phage Sebago,dsDNA
Staphylococcus phage StauST398-1,dsDNA
Staphylococcus phage StauST398-3,dsDNA
Staphylococcus phage StauST398-5,dsDNA
Staphylococcus phage UPMK_2,dsDNA
Staphylococcus phage X2,dsDNA
Mycobacterium phage Acadian,dsDNA
Mycobacterium phage Baee,dsDNA
Mycobacterium phage Reprobate,dsDNA
Mycobacterium phage Serendipitous,dsDNA
Mycobacterium phage BirdsNest,dsDNA
Mycobacterium phage Adawi,dsDNA
Mycobacterium phage Bane1,dsDNA
Mycobacterium phage BrownCNA,dsDNA
Mycobacterium phage ChrisnMich,dsDNA
Mycobacterium phage Cooper,dsDNA
Mycobacterium phage Fortunato,dsDNA
Mycobacterium phage Heath,dsDNA
Mycobacterium phage JAMaL,dsDNA
Mycobacterium phage Nigel,dsDNA
Mycobacterium phage Stinger,dsDNA
Mycobacterium phage Vincenzo,dsDNA
Mycobacterium phage Zemanar,dsDNA
Mycobacterium phage Imvubu,dsDNA
Mycobacterium phage Julie1,dsDNA
Mycobacterium phage LilMcDreamy,dsDNA
Mycobacterium phage Apizium,dsDNA
Mycobacterium phage KingTut,dsDNA
Mycobacterium phage Manad,dsDNA
Mycobacterium phage Oline,dsDNA
Mycobacterium phage OSmaximus,dsDNA
Mycobacterium phage OSmaximus,dsDNA
Mycobacterium phage Soto,dsDNA
Mycobacterium phage Suffolk,dsDNA
Mycobacterium phage Athena,dsDNA
Mycobacterium phage Bernardo,dsDNA
Mycobacterium phage Gadjet,dsDNA
Mycobacterium phage Obutu,dsDNA
Mycobacterium phage Pipefish,dsDNA
Mycobacterium phage CRB2,dsDNA
Mycobacterium phage Quesadilla,dsDNA
Mycobacterium phage Godines,dsDNA
Mycobacterium phage Laurie,dsDNA
Mycobacterium phage Rosebush,dsDNA
Mycobacterium phage TA17A,dsDNA
Mycobacterium phage Saguaro,dsDNA
Mycobacterium phage Thonko,dsDNA
Stenotrophomonas phage vB_SmaS_BUCT548,dsDNA
Stenotrophomonas phage BUCT626,dsDNA
Stenotrophomonas phage BUCT627,dsDNA
Stenotrophomonas phage Salva,dsDNA
Stenotrophomonas phage Siara,dsDNA
Streptomyces phage FlowerPower,dsDNA
Streptomyces phage Immanuel3,dsDNA
Streptomyces phage JXY1,dsDNA
Streptomyces phage Manuel,dsDNA
Streptomyces phage WRightOn,dsDNA
Staphylococcus phage phiBU01,dsDNA
Staphylococcus phage 23MRA,dsDNA
Staphylococcus phage 77,dsDNA
Staphylococcus phage IME1361_01,dsDNA
Staphylococcus phage phiNM3,dsDNA
Staphylococcus phage P1105,dsDNA
Staphylococcus phage P282,dsDNA
Staphylococcus phage P630,dsDNA
Staphylococcus phage P954,dsDNA
Staphylococcus phage phi7247PVL,dsDNA
Staphylococcus phage SA1014ruMSSAST7,dsDNA
Staphylococcus phage SA345ruMSSAST8,dsDNA
Staphylococcus phage phiSa2wa_st22,dsDNA
Staphylococcus phage StauST398-4,dsDNA
Staphylococcus phage phiPVL-CN125,dsDNA
Staphylococcus phage JS01,dsDNA
Staphylococcus phage phi 13,dsDNA
Staphylococcus phage 3 AJ-2017,dsDNA
Staphylococcus prophage phiPV83,dsDNA
Staphylococcus phage PVL,dsDNA
Staphylococcus phage phiPVL108,dsDNA
Staphylococcus phage SA7,dsDNA
Staphylococcus phage SA780ruMSSAST101,dsDNA
Staphylococcus phage tp310-1,dsDNA
Mycobacterium phage Alice,dsDNA
Mycobacterium phage Astraea,dsDNA
Mycobacterium phage Bigswole,dsDNA
Mycobacterium phage Bxz1,dsDNA
Mycobacterium phage Cane17,dsDNA
Mycobacterium phage CharlieB,dsDNA
Mycobacterium phage Dandelion,dsDNA
Mycobacterium phage HyRo,dsDNA
Mycobacterium phage I3,dsDNA
Mycobacterium phage Lukilu,dsDNA
Mycobacterium phage Mangeria,dsDNA
Mycobacterium phage Nappy,dsDNA
Mycobacterium phage NoodleTree,dsDNA
Mycobacterium phage QBert,dsDNA
Mycobacterium phage Quasimodo,dsDNA
Mycobacterium phage Sauce,dsDNA
Mycobacterium phage Sebata,dsDNA
Mycobacterium phage Tonenili,dsDNA
Mycobacterium phage Phabba,dsDNA
Mycobacterium phage Myrna,dsDNA
Mycobacterium phage Babsiella,dsDNA
Mycobacterium phage Brujita,dsDNA
Mycobacterium phage HC,dsDNA
Mycobacterium phage Xula,dsDNA
Mycobacterium phage Hawkeye,dsDNA
Mycobacterium phage Plot,dsDNA
Gordonia phage Chikenjars,dsDNA
Gordonia phage Crocheter,dsDNA
Gordonia phage Duffington,dsDNA
Gordonia phage Kenosha,dsDNA
Gordonia phage OhMyWard,dsDNA
Gordonia phage Rickmore,dsDNA
Gordonia phage Untouchable,dsDNA
Gordonia phage Secretariat,dsDNA
Gordonia phage Avazak,dsDNA
Gordonia phage Tanis,dsDNA
Gordonia phage Neville,dsDNA
Gordonia phage Rabbitrun,dsDNA
Gordonia phage Trax,dsDNA
Gordonia phage Kudefre,dsDNA
Gordonia phage Octobien14,dsDNA
Gordonia Phage Sephiroth,dsDNA
Gordonia phage Syleon,dsDNA
Caulobacter phage CcrBL9,dsDNA
Caulobacter phage CcrSC,dsDNA
Caulobacter phage CcrColossus,dsDNA
Caulobacter phage CcrPW,dsDNA
Caulobacter phage CcrBL10,dsDNA
Caulobacter phage CcrRogue,dsDNA
Caulobacter phage phiCbK,dsDNA
Caulobacter phage CcrSwift,dsDNA
Microbacterium phage Akoni,dsDNA
Microbacterium phage Phedro,dsDNA
Microbacterium phage Alex44,dsDNA
Microbacterium phage TinyTimothy,dsDNA
Campylobacter phage vB_CcoM-IBB,dsDNA
Campylobacter phage CP21,dsDNA
Campylobacter phage CP220,dsDNA
Campylobacter phage CPt10,dsDNA
Campylobacter phage CP30A,dsDNA
Campylobacter phage CP81,dsDNA
Campylobacter phage CPX,dsDNA
Campylobacter phage vB_CjeM_Los1,dsDNA
Campylobacter phage NCTC12673,dsDNA
Mycobacterium phage Antsirabe,dsDNA
Mycobacterium phage Avocado,dsDNA
Mycobacterium phage Cambiare,dsDNA
Mycobacterium phage FlagStaff,dsDNA
Mycobacterium phage Jolie2,dsDNA
Mycobacterium phage Lemuria,dsDNA
Mycobacterium phage Mercurio,dsDNA
Mycobacterium phage Grizzly,dsDNA
Mycobacterium phage Paito,dsDNA
Mycobacterium phage Rabbs,dsDNA
Mycobacterium phage Taheera,dsDNA
Mycobacterium phage Halo,dsDNA
Mycobacterium phage Liefie,dsDNA
Mycobacterium phage MOOREtheMARYer,dsDNA
Mycobacterium phage Pinnie,dsDNA
Paenibacillus phage Dragolir,dsDNA
Paenibacillus phage Harrison,dsDNA
Paenibacillus phage Vegas,dsDNA
Paenibacillus phage Wanderer,dsDNA
Escherichia phage vB_EcoP-CHD5UKE1,dsDNA
Escherichia phage vB_EcoP_EcoN5,dsDNA
Escherichia phage ES17,dsDNA
Escherichia phage vB_EcoP_IMEP8,dsDNA
Escherichia phage 172-1,dsDNA
Escherichia phage MN03,dsDNA
Escherichia phage MN05,dsDNA
Escherichia phage NJ01,dsDNA
Escherichia phage O18-011,dsDNA
Escherichia phage Paul,dsDNA
Escherichia phage phiEco32,dsDNA
Shigella phage SGF2,dsDNA
Escherichia phage vB_EcoP_SU10,dsDNA
Escherichia phage vB_EcoP_WFI101126,dsDNA
Escherichia phage EP335,dsDNA
Escherichia phage KBNP1711,dsDNA
Escherichia phage vB_EcoP-101114UKE3,dsDNA
Escherichia phage ECBP2,dsDNA
Escherichia phage EK010,dsDNA
Escherichia phage IME267,dsDNA
Escherichia phage vB_EcoP_SU7,dsDNA
Vibrio phage Aphrodite1,dsDNA
Vibrio phage 2 TSL-2019,dsDNA
Photobacterium phage PDCC-1,dsDNA
Vibrio phage USC-1,dsDNA
Vibrio phage pTD1,dsDNA
Vibrio phage VP4B,dsDNA
Mycobacterium phage Avani,dsDNA
Mycobacterium phage Che9d,dsDNA
Mycobacterium phage Demsculpinboyz,dsDNA
Mycobacterium phage Soul22,dsDNA
Mycobacterium phage Yoshi,dsDNA
Mycobacterium phage Zapner,dsDNA
Mycobacterium phage ArcusAngelus,dsDNA
Mycobacterium phage Batiatus,dsDNA
Mycobacterium phage Blexus,dsDNA
Mycobacterium phage BobaPhett,dsDNA
Mycobacterium phage BodEinwohner17,dsDNA
Mycobacterium phage Bubbles123,dsDNA
Mycobacterium phage Burwell21,dsDNA
Mycobacterium phage BuzzLyseyear,dsDNA
Mycobacterium phage Byougenkin,dsDNA
Mycobacterium phage CaptainTrips,dsDNA
Mycobacterium phage Chuckly,dsDNA
Mycobacterium phage Dante,dsDNA
Mycobacterium phage DillTech15,dsDNA
Mycobacterium phage Donkeykong,dsDNA
Mycobacterium phage Doug,dsDNA
Mycobacterium phage DRBy19,dsDNA
Mycobacterium phage Eish,dsDNA
Mycobacterium phage EleanorGeorge,dsDNA
Mycobacterium phage Emma,dsDNA
Mycobacterium phage Empress,dsDNA
Mycobacterium phage Estave1,dsDNA
Mycobacterium phage Fancypants,dsDNA
Mycobacterium phage Filuzino,dsDNA
Mycobacterium phage Firehouse51,dsDNA
Mycobacterium phage Florinda,dsDNA
Mycobacterium phage Galactic,dsDNA
Mycobacterium phage Gandalph,dsDNA
Mycobacterium phage Geralt,dsDNA
Mycobacterium phage Girr,dsDNA
Mycobacterium phage Gorge,dsDNA
Mycobacterium phage Hades,dsDNA
Mycobacterium phage Hamulus,dsDNA
Mycobacterium phage Harley,dsDNA
Mycobacterium phage Hlubikazi,dsDNA
Mycobacterium phage Inventum,dsDNA
Mycobacterium phage JoeyJr,dsDNA
Mycobacterium phage Kersh,dsDNA
Mycobacterium phage Kimberlium,dsDNA
Mycobacterium phage Krakatau,dsDNA
Mycobacterium phage KristaRAM,dsDNA
Mycobacterium phage LilMoolah,dsDNA
Mycobacterium phage Lizziana,dsDNA
Mycobacterium phage Mahavrat,dsDNA
Mycobacterium phage Mantra,dsDNA
Mycobacterium phage Mattes,dsDNA
Mycobacterium phage Melissauren88,dsDNA
Mycobacterium phage MilleniumForce,dsDNA
Mycobacterium phage MinionDave,dsDNA
Mycobacterium phage Minnie,dsDNA
Mycobacterium phage Moonbeam,dsDNA
Mycobacterium phage Nitzel,dsDNA
Mycobacterium phage Nivrat,dsDNA
Mycobacterium phage Ochi17,dsDNA
Mycobacterium phage OldBen,dsDNA
Mycobacterium phage OlympiaSaint,dsDNA
Mycobacterium phage Ovechkin,dsDNA
Mycobacterium phage OwlsT2W,dsDNA
Mycobacterium phage Phasih,dsDNA
Mycobacterium phage Phatniss,dsDNA
Mycobacterium phage Plumbus,dsDNA
Mycobacterium phage Poenanya,dsDNA
Mycobacterium phage Polka14,dsDNA
Mycobacterium phage PopTart,dsDNA
Mycobacterium phage Priscilla,dsDNA
Mycobacterium phage QuickMath,dsDNA
Mycobacterium phage RitaG,dsDNA
Mycobacterium phage Royals2015,dsDNA
Mycobacterium phage Saal,dsDNA
Mycobacterium phage Sandalphon,dsDNA
Mycobacterium phage SiSi,dsDNA
Mycobacterium phage Sparkdehlily,dsDNA
Mycobacterium phage Spikelee,dsDNA
Mycobacterium phage Spoonbill,dsDNA
Mycobacterium phage SuperGrey,dsDNA
Mycobacterium phage SwagPigglett,dsDNA
Mycobacterium phage Veteran,dsDNA
Mycobacterium phage Wachhund,dsDNA
Mycobacterium phage Whouxphf,dsDNA
Mycobacterium phage WillSterrel,dsDNA
Mycobacterium phage XFactor,dsDNA
Mycobacterium phage Zerg,dsDNA
Mycobacterium phage Ardmore,dsDNA
Mycobacterium phage Boomer,dsDNA
Mycobacterium phage Che8,dsDNA
Mycobacterium phage DeadP,dsDNA
Mycobacterium phage Dlane,dsDNA
Mycobacterium phage Dorothy,dsDNA
Mycobacterium phage DotProduct,dsDNA
Mycobacterium phage Drago,dsDNA
Mycobacterium phage Fruitloop,dsDNA
Mycobacterium phage GUmbie,dsDNA
Mycobacterium phage Ibhubesi,dsDNA
Mycobacterium phage Llij,dsDNA
Mycobacterium phage Mozy,dsDNA
Mycobacterium phage Mutaforma13,dsDNA
Mycobacterium phage Pacc40,dsDNA
Mycobacterium phage PMC,dsDNA
Mycobacterium phage Ramsey,dsDNA
Mycobacterium phage RockyHorror,dsDNA
Mycobacterium phage SG4,dsDNA
Mycobacterium phage Shauna1,dsDNA
Mycobacterium phage ShiLan,dsDNA
Mycobacterium phage Spartacus,dsDNA
Mycobacterium phage Taj,dsDNA
Mycobacterium phage Tweety,dsDNA
Mycobacterium phage Wee,dsDNA
Mycobacterium phage Cornie,dsDNA
Mycobacterium phage MooMoo,dsDNA
Mycobacterium phage Squirty,dsDNA
Mycobacterium phage Renaud18,dsDNA
Mycobacterium phage TChen,dsDNA
Mycobacterium phage ThetaBob,dsDNA
Salmonella phage FSL SP-031,dsDNA
Salmonella phage vB_SenS_AG11,dsDNA
Salmonella phage vB_SenS-Ent1,dsDNA
Salmonella phage f18SE,dsDNA
Salmonella phage Jersey,dsDNA
Salmonella phage L13,dsDNA
Salmonella phage LSPA1,dsDNA
Salmonella phage SE2,dsDNA
Salmonella phage SETP13,dsDNA
Salmonella phage SETP7,dsDNA
Salmonella phage SETP7,dsDNA
Salmonella phage FSL SP-101,dsDNA
Salmonella phage SS3e,dsDNA
Salmonella phage wks13,dsDNA
Escherichia phage vB_EcoS-Golestan,dsDNA
Escherichia phage K1G,dsDNA
Escherichia phage K1H,dsDNA
Escherichia phage K1ind1,dsDNA
Escherichia phage K1ind2,dsDNA
Raoultella phage RP180,dsDNA
Bacillus phage Carmen17,dsDNA
Bacillus phage Wes44,dsDNA
Bacillus phage PBC1,dsDNA
Escherichia phage HK97,dsDNA
Escherichia phage mEpX1,dsDNA
Escherichia phage HK446,dsDNA
Escherichia phage HK544,dsDNA
Enterobacteria phage mEp235,dsDNA
Escherichia phage HK633,dsDNA
Escherichia phage HK75,dsDNA
Escherichia phage HK022,dsDNA
Escherichia phage mEpX2,dsDNA
Escherichia phage HK106,dsDNA
Escherichia phage mEp234,dsDNA
Escherichia phage ECP1,dsDNA
Escherichia phage HK542,dsDNA
Enterobacteria phage HK140,dsDNA
Enterobacter phage Arya,dsDNA
Escherichia phage vB_EcoM_ECO1230-10,dsDNA
Escherichia phage vB_EcoM_ECOO78,dsDNA
Escherichia phage vB_EcoM-ep3,dsDNA
Bacillus phage vB_BanS_Nate,dsDNA
Bacillus phage pW2,dsDNA
Bacillus phage vB_BanS_Sophrita,dsDNA
Bacillus phage vB_BanS_Chewbecca,dsDNA
Bacillus phage Izhevsk,dsDNA
Bacillus phage vB_BanS_MrDarsey,dsDNA
Bacillus phage vB_BanS_Skywalker,dsDNA
Bacillus phage vB_BanS-Tsamsa,dsDNA
Xanthomonas phage KPhi1,dsDNA
Xanthomonas virus phiXaf18,dsDNA
Xanthomonas phage OP2,dsDNA
Xanthomonas phage XPP1,dsDNA
Xanthomonas phage XPV1,dsDNA
Gordonia phage Asapag,dsDNA
Gordonia phage BENtherdunthat,dsDNA
Gordonia phage Getalong,dsDNA
Gordonia phage Kenna,dsDNA
Gordonia phage Horus,dsDNA
Gordonia phage Phistory,dsDNA
Leuconostoc phage LDG,dsDNA
Leuconostoc phage Lmd1,dsDNA
Leuconostoc phage LN03,dsDNA
Leuconostoc phage LN04,dsDNA
Leuconostoc phage phiLN12,dsDNA
Leuconostoc phage P793,dsDNA
Leuconostoc phage P965,dsDNA
Leuconostoc phage LN25,dsDNA
Leuconostoc phage LN34,dsDNA
Leuconostoc phage Ln-7,dsDNA
Leuconostoc phage Ln-9,dsDNA
Leuconostoc phage 1-A4,dsDNA
Mycobacterium phage Aggie,dsDNA
Mycobacterium phage Andies,dsDNA
Mycobacterium phage Butters,dsDNA
Mycobacterium phage Charlie,dsDNA
Mycobacterium phage Fulbright,dsDNA
Mycobacterium phage Jamie19,dsDNA
Mycobacterium phage Kevin1,dsDNA
Mycobacterium phage MichelleMyBell,dsDNA
Mycobacterium phage Panchino,dsDNA
Mycobacterium phage Philonius,dsDNA
Mycobacterium phage Phrann,dsDNA
Mycobacterium phage Pipsqueaks,dsDNA
Mycobacterium phage Raymond7,dsDNA
Mycobacterium phage Rebel,dsDNA
Mycobacterium phage Redi,dsDNA
Mycobacterium phage SkinnyPete,dsDNA
Mycobacterium phage Tapioca,dsDNA
Mycobacterium phage Xeno,dsDNA
Gordonia phage Ohgeesy,dsDNA
Gordonia phage BaxterFox,dsDNA
Gordonia phage Yeezy,dsDNA
Gordonia phage Agueybana,dsDNA
Gordonia phage Bosnia,dsDNA
Gordonia phage BoyNamedSue,dsDNA
Gordonia phage Bunnybear,dsDNA
Gordonia phage Herod,dsDNA
Gordonia phage Kita,dsDNA
Gordonia phage Madeline,dsDNA
Gordonia phage Maridalia,dsDNA
Gordonia phage Nymphadora,dsDNA
Gordonia phage Polly,dsDNA
Gordonia phage ThankyouJordi,dsDNA
Gordonia phage Zirinka,dsDNA
Escherichia phage vB_EcoM_Alf5,dsDNA
Escherichia phage vB_EcoM_AYO145A,dsDNA
Salmonella phage BPS15Q2,dsDNA
Salmonella phage BPS17L1,dsDNA
Salmonella phage BPS17W1,dsDNA
Escherichia phage EC6,dsDNA
Salmonella phage Felix01,dsDNA
Escherichia phage HY02,dsDNA
Escherichia phage JH2,dsDNA
Salmonella phage Mushroom,dsDNA
Salmonella phage vB_SAg-RPN213,dsDNA
Salmonella phage Si3,dsDNA
Salmonella phage vB_SPuM_SP116,dsDNA
Escherichia typing phage 1,dsDNA
Enterobacteriaphage UAB_Phi87,dsDNA
Escherichia phage vB_EcoM-VpaE1,dsDNA
Escherichia phage wV8,dsDNA
Erwinia phage phiEa21-4,dsDNA
Erwinia phage vB_EamM-M7,dsDNA
Citrobacter phage Moogle,dsDNA
Citrobacter phage Mordin,dsDNA
Shigella phage Sf13,dsDNA
Shigella phage Sf14,dsDNA
Shigella phage Sf17,dsDNA
Escherichia phage phiSUSP1,dsDNA
Escherichia phage phiSUSP2,dsDNA
Mycobacterium phage BigNuz,dsDNA
Mycobacterium phage Arib1,dsDNA
Mycobacterium phage Atcoo,dsDNA
Mycobacterium phage Bartholomew,dsDNA
Mycobacterium phage Brusacoram,dsDNA
Mycobacterium phage Donovan,dsDNA
Mycobacterium phage FirstPlacePfu,dsDNA
Mycobacterium phage Fishburne,dsDNA
Mycobacterium phage GreaseLightnin,dsDNA
Mycobacterium phage Jebeks,dsDNA
Mycobacterium phage Jung,dsDNA
Mycobacterium phage KilKor,dsDNA
Mycobacterium phage Ksquared,dsDNA
Mycobacterium phage Majeke,dsDNA
Mycobacterium phage Malithi,dsDNA
Mycobacterium phage Shipwreck,dsDNA
Mycobacterium phage Willsammy,dsDNA
Mycobacterium phage Phayonce,dsDNA
Mycobacterium phage ThulaThula,dsDNA
Mycobacterium phage Purky,dsDNA
Mycobacterium phage Tortellini,dsDNA
Mycobacterium phage Xavia,dsDNA
vB_AcoS-R7M,dsDNA
Pseudomonas phage NP1,dsDNA
Pseudomonas phage PaMx25,dsDNA
Enterobacteria phage JenK1,dsDNA
Enterobacteria phage JenP1,dsDNA
Enterobacteria phage JenP2,dsDNA
Enterobacteria phage 9g,dsDNA
Salmonella phage SE1Kor,dsDNA
Escherichia phage CAjan,dsDNA
Escherichia phage Seurat,dsDNA
Gordonia phage Catfish,dsDNA
Gordonia phage Dardanus,dsDNA
Gordonia phage Gsput1,dsDNA
Gordonia phage Schmidt,dsDNA
Gordonia phage TinaLin,dsDNA
Gordonia phage TZGordon,dsDNA
Gordonia phage Vendetta,dsDNA
Bacillus phage v_B-Bak10,dsDNA
Bacillus phage Basilisk,dsDNA
Bacillus phage BCPST,dsDNA
Bacillus phage PBC4,dsDNA
Bacillus phage pW4,dsDNA
Shigella phage 75/02 Stx,dsDNA
Shigella phage POCJ13,dsDNA
Escherichia phage ArgO145,dsDNA
Escherichia phage Lyz12581Vzw,dsDNA
Escherichia phage phi191,dsDNA
Escherichia phage PA2,dsDNA
Escherichia phage TL-2011c,dsDNA
Shigella phage Ss-VASD,dsDNA
Stx1 converting phage AU5Stx1,dsDNA
Stx1 converting phage AU6Stx1,dsDNA
Stx2-converting phage Stx2a_F451,dsDNA
Escherichia phage Stx2 II,dsDNA
Escherichia phage Min27,dsDNA
Stx converting phage vB_EcoS_P27,dsDNA
Escherichia phage PA28,dsDNA
Escherichia phage SH2026Stx1,dsDNA
Stx converting phage vB_EcoS_ST2-8624,dsDNA
Escherichia phage vB_EcoP_24B,dsDNA
Stx2-converting phage 86,dsDNA
Escherichia phage 933W,dsDNA
Stx2-converting phage Stx2a_WGPS9,dsDNA
Bacillus phage vB_BtS_BMBtp14,dsDNA
Bacillus phage vB_BtS_B83,dsDNA
Escherichia phage alia,dsDNA
Escherichia phage muut,dsDNA
Escherichia phage vB_vPM_PD06,dsDNA
Escherichia phage vB_EcoM_PHB05,dsDNA
Escherichia phage phi92,dsDNA
Escherichia phage VEcB,dsDNA
Escherichia phage ESCO13,dsDNA
Escherichia phage ESCO5,dsDNA
Escherichia phage phAPEC8,dsDNA
Escherichia phage vB_EcoM_Schickermooser,dsDNA
Klebsiella phage ZCKP1,dsDNA
Escherichia phage anhysbys,dsDNA
Escherichia phage Mt1B1_P17,dsDNA
Escherichia phage nepoznato,dsDNA
Escherichia phage nieznany,dsDNA
Escherichia phage vB_EcoM-Ro121c4YLVW,dsDNA
Dompiswa phage TSP7_1,dsDNA
Escherichia phage tuntematon,dsDNA
Escherichia phage ukendt,dsDNA
Listreria phage B025,dsDNA
Listeria phage LP-101,dsDNA
Listeria phage LP-HM00113468,dsDNA
Lactobacillus phage ATCC 8014-B2,dsDNA
Lactobacillus phage Lenus,dsDNA
Lactobacillus phage Nyseid,dsDNA
Lactobacillus phage SA-C12,dsDNA
Lactobacillus phage Ldl1,dsDNA
Lactobacillus phage ViSo-2018a,dsDNA
Lactobacillus phage Maenad,dsDNA
Lactobacillus phage P1,dsDNA
Lactobacillus phage Satyr,dsDNA
Escherichia phage Av-05,dsDNA
Cronobacter phage CR3,dsDNA
Cronobacter phage CR8,dsDNA
Cronobacter phage CR9,dsDNA
Cronobacter phage PBES 02,dsDNA
Pectobacterium phage phiTE,dsDNA
Erwinia phage Hena1,dsDNA
Erwinia phage pEp_SNUABM_01,dsDNA
Klebsiella phage vB_KpnM_BIS47,dsDNA
Klebsiella phage vB_KpnM_KB57,dsDNA
Klebsiella phage KNP2,dsDNA
Klebsiella phage KpS8,dsDNA
Proteus phage Mydo,dsDNA
Raoultella phage Ro1,dsDNA
Escherichia phage 4MG,dsDNA
Cronobacter phage vB_CsaM_GAP31,dsDNA
Salmonella phage PVPSE1,dsDNA
Salmonella phage SSE121,dsDNA
Escherichia phage APECc02,dsDNA
Escherichia phage FFH2,dsDNA
Escherichia phage FV3,dsDNA
Escherichia phage JES2013,dsDNA
Escherichia phage Murica,dsDNA
Escherichia phage slur16,dsDNA
Escherichia phage V18,dsDNA
Escherichia phage V5,dsDNA
Mycobacterium phage Amgine,dsDNA
Mycobacterium phage Amohnition,dsDNA
Mycobacterium phage DarthP,dsDNA
Mycobacterium phage Ekdilam,dsDNA
Mycobacterium phage Ellie,dsDNA
Mycobacterium phage Aminay,dsDNA
Mycobacterium phage Adephagia,dsDNA
Mycobacterium phage Adonis,dsDNA
Mycobacterium phage AlishaPH,dsDNA
Mycobacterium phage Amelie,dsDNA
Mycobacterium phage Anaya,dsDNA
Mycobacterium phage Angelica,dsDNA
Mycobacterium phage Apocalypse,dsDNA
Mycobacterium phage Beezoo,dsDNA
Mycobacterium phage Bella96,dsDNA
Mycobacterium phage Chris,dsDNA
Mycobacterium phage CrimD,dsDNA
Mycobacterium phage Curiosium,dsDNA
Mycobacterium phage JAWS,dsDNA
Mycobacterium phage KiSi,dsDNA
Mycobacterium phage LastHope,dsDNA
Mycobacterium phage LaterM,dsDNA
Mycobacterium phage MarkPhew,dsDNA
Mycobacterium phage Marshawn,dsDNA
Mycobacterium phage Murucutumbu,dsDNA
Mycobacterium phage Nibb,dsDNA
Mycobacterium Phage Niklas,dsDNA
Mycobacterium phage Prithvi,dsDNA
Mycobacterium phage SirPhilip,dsDNA
Mycobacterium phage Urkel,dsDNA
Mycobacterium phage Validus,dsDNA
Mycobacterium phage Yuna,dsDNA
Mycobacterium phage Yunkel11,dsDNA
Mycobacterium phage Zavala,dsDNA
Mycobacterium phage Eponine,dsDNA
Mycobacterium phage Fionnbharth,dsDNA
Mycobacterium phage Henu3,dsDNA
Mycobacterium phage Patt,dsDNA
Mycobacterium phage Taquito,dsDNA
Mycobacterium phage Hurricane,dsDNA
Mycobacterium phage Keshu,dsDNA
Mycobacterium phage MacnCheese,dsDNA
Mycobacterium phage Pixie,dsDNA
Mycobacterium phage ShedlockHolmes,dsDNA
Mycobacterium phage Collard,dsDNA
Mycobacterium phage Gengar,dsDNA
Mycobacterium phage Kratio,dsDNA
Mycobacterium phage Larva,dsDNA
Mycobacterium phage Leston,dsDNA
Mycobacterium phage Omnicron,dsDNA
Mycobacterium phage Paola,dsDNA
Mycobacterium phage Rando14,dsDNA
Mycobacterium phage Thyatira,dsDNA
Mycobacterium phage TM4,dsDNA
Mycobacterium phage Findley,dsDNA
Mycobacterium phage Mufasa,dsDNA
Mycobacterium phage ZoeJ,dsDNA
Mycobacterium phage Bryler,dsDNA
Mycobacterium phage Krueger,dsDNA
Mycobacterium phage Shandong1,dsDNA
Mycobacterium phage Unicorn,dsDNA
Mycobacterium phage Ximenita,dsDNA
Ochrobactrum phage POA1180,dsDNA
Streptomyces phage AbbeyMikolon,dsDNA
Brevibacillus phage Abouo,dsDNA
Brevibacillus phage Davies,dsDNA
Arthrobacter phage Adaia,dsDNA
Brevibacterium phage AGM1,dsDNA
Erwinia phage vB_EamM_Deimos-Minion,dsDNA
Erwinia phage vB_EamM_Desertfox,dsDNA
Erwinia phage Ea35-70,dsDNA
Erwinia phage vB_EamM_RAY,dsDNA
Erwinia phage vB_EamM_Simmy50,dsDNA
Erwinia phage vB_EamM_Special G,dsDNA
Enterobacteria phage mEp043 c-1,dsDNA
Enterobacterial phage mEp213,dsDNA
Salmonella phage Akira,dsDNA
Xanthomonas phage Xp15,dsDNA
Klebsiella phage K64-1,dsDNA
Klebsiella phage vB_KleM_RaK2,dsDNA
Escherichia phage 2B8,dsDNA
Dickeya phage vB_DsoM_AD1,dsDNA
Erwinia phage vB_EamM_Alexandra,dsDNA
Erwinia phage pEa_SNUABM_1,dsDNA
Erwinia phage pEa_SNUABM_16,dsDNA
Erwinia phage pEa_SNUABM_17,dsDNA
Erwinia phage pEa_SNUABM_2,dsDNA
Erwinia phage pEa_SNUABM_22,dsDNA
Erwinia phage pEa_SNUABM_3,dsDNA
Erwinia phage pEa_SNUABM_30,dsDNA
Erwinia phage pEa_SNUABM_32,dsDNA
