Species,Genome composition
saimiriine betaherpesvirus 4; squirrel monkey cytomegalovirus,dsDNA
murid betaherpesvirus 1; murine cytomegalovirus,dsDNA
murid betaherpesvirus 2; rat cytomegalovirus strain Maastricht,dsDNA
murid betaherpesvirus 8; rat cytomegalovirus strain England,dsDNA
elephantid betaherpesvirus 1; elephantid endotheliotropic herpesvirus 1,dsDNA
elephantid betaherpesvirus 3; elephant endotheliotropic herpesvirus 3A,dsDNA
elephantid betaherpesvirus 4; elephantid endotheliotropic herpesvirus 4,dsDNA
elephantid betaherpesvirus 5; elephantid endotheliotropic herpesvirus 5,dsDNA
caviid betaherpesvirus 2; guinea pig cytomegalovirus,dsDNA
miniopterid betaherpesvirus 1; Miniopterus schreibersii herpesvirus,dsDNA
tupaiid betaherpesvirus 1; tupaia herpesvirus,dsDNA
human betaherpesvirus 6A; human herpesvirus 6A,dsDNA
human betaherpesvirus 6B; human herpesvirus 6B,dsDNA
human betaherpesvirus 7; human herpesvirus 7,dsDNA
macacine betaherpesvirus 9; Macaca nemestrina herpesvirus 7,dsDNA
murid betaherpesvirus 3; mouse thymic virus,dsDNA
suid betaherpesvirus 2; porcine cytomegalovirus,dsDNA
delphinid gammaherpesvirus 1; common bottlenose dolphin gammaherpesvirus 1,dsDNA
callitrichine gammaherpesvirus 3; marmoset lymphosarcoma virus,dsDNA
gorilline gammaherpesvirus 1; herpesvirus gorilla,dsDNA
human gammaherpesvirus 4; Epstein-Barr virus,dsDNA
macacine gammaherpesvirus 10; cynomolgus macaque lymphocryptovirus,dsDNA
macacine gammaherpesvirus 13; Macaca arctoides gammaherpesvirus 1,dsDNA
macacine gammaherpesvirus 4; rhesus lymphocryptovirus,dsDNA
panine gammaherpesvirus 1; herpesvirus pan,dsDNA
papiine gammaherpesvirus 1; herpesvirus papio,dsDNA
pongine gammaherpesvirus 2; herpesvirus pongo,dsDNA
alcelaphine gammaherpesvirus 1; wildebeest-associated malignant catarrhal fever virus,dsDNA
alcelaphine gammaherpesvirus 2; hartebeest-associated malignant catarrhal fever virus,dsDNA
bovine gammaherpesvirus 6; bovine lymphotropic herpesvirus,dsDNA
caprine gammaherpesvirus 2; caprine herpesvirus 2,dsDNA
hippotragine gammaherpesvirus 1; roan antelope herpesvirus,dsDNA
ovine gammaherpesvirus 2; sheep-associated malignant catarrhal fever virus,dsDNA
suid gammaherpesvirus 3; porcine lymphotropic herpesvirus 1,dsDNA
suid gammaherpesvirus 4; porcine lymphotropic herpesvirus 2,dsDNA
suid gammaherpesvirus 5; porcine lymphotropic herpesvirus 3,dsDNA
phascolarctid gammaherpesvirus 1,dsDNA
vombatid gammaherpesvirus 1,dsDNA
vespertilionid gammaherpesvirus 3; Eptesicus fuscus gammaherpesvirus,dsDNA
equid gammaherpesvirus 2; equine herpesvirus 2,dsDNA
equid gammaherpesvirus 5; equine herpesvirus 5,dsDNA
felid gammaherpesvirus 1; Felis catus gammaherpesvirus 1,dsDNA
mustelid gammaherpesvirus 1; badger herpesvirus,dsDNA
phocid gammaherpesvirus 3; harp seal herpesvirus,dsDNA
rhinolophid gammaherpesvirus 1; Rhinolophus gammaherpesvirus 1,dsDNA
vespertilionid gammaherpesvirus 1; bat gammaherpesvirus 8,dsDNA
ateline gammaherpesvirus 2; herpesvirus ateles strain 810,dsDNA
ateline gammaherpesvirus 3; herpesvirus ateles,dsDNA
bovine gammaherpesvirus 4; bovine herpesvirus 4,dsDNA
colobine gammaherpesvirus 1,dsDNA
cricetid gammaherpesvirus 2; rodent herpesvirus Peru,dsDNA
human gammaherpesvirus 8; Kaposi's sarcoma-associated herpesvirus,dsDNA
macacine gammaherpesvirus 11; Japanese macaque rhadinovirus,dsDNA
macacine gammaherpesvirus 12; pig-tailed macaque rhadinovirus 2,dsDNA
macacine gammaherpesvirus 5; rhesus rhadinovirus,dsDNA
macacine gammaherpesvirus 8; retroperitoneal fibromatosis-associated herpesvirus Macaca nemestrina,dsDNA
murid gammaherpesvirus 4; murine gammaherpesvirus 68,dsDNA
murid gammaherpesvirus 7; wood mouse herpesvirus,dsDNA
saimiriine gammaherpesvirus 2; herpesvirus saimiri,dsDNA
uncultured phage cr2_1,dsDNA
uncultured phage cr25_1,dsDNA
uncultured phage cr127_1,dsDNA
uncultured phage cr13_1,dsDNA
uncultured phage cr36_1,dsDNA
uncultured phage cr54_1,dsDNA
uncultured phage cr107_1,dsDNA
Bacteroides phage crAss002,dsDNA
crAssphage,dsDNA
uncultured phage cr99_1,dsDNA
uncultured phage cr9_1,dsDNA
uncultured phage cr123_1,dsDNA
uncultured phage cr110_1,dsDNA
uncultured phage cr11_1,dsDNA
uncultured phage cr49_1,dsDNA
uncultured phage cr3_1,dsDNA
uncultured phage cr91_1,dsDNA
uncultured phage cr17_1,dsDNA
crAssphage sp. isolate ctbg_1,dsDNA
uncultured phage cr8_1,dsDNA
uncultured phage cr271_1,dsDNA
crAssphage sp. isolate ctcc615,dsDNA
Cellulophaga phage phi14:2,dsDNA
uncultured phage cr44_1,dsDNA
uncultured phage cr85_1,dsDNA
Bacteroides phage crAss001,dsDNA
uncultured phage cr112_1,dsDNA
uncultured phage cr151_1,dsDNA
uncultured phage cr126_1,dsDNA
uncultured phage cr111_1,dsDNA
uncultured phage cr18_1,dsDNA
uncultured phage cr128_1,dsDNA
uncultured phage cr106_1,dsDNA
uncultured phage cr116_1,dsDNA
IAS virus,dsDNA
uncultured phage cr108_1,dsDNA
Bacteroides phage DAC15,dsDNA
uncultured phage cr35_1,dsDNA
uncultured phage cr6_1,dsDNA
uncultured phage cr12_1,dsDNA
uncultured phage cr77_1,dsDNA
uncultured phage cr10_1,dsDNA
uncultured phage cr50_1,dsDNA
uncultured phage cr30_1,dsDNA
uncultured phage cr1_1,dsDNA
uncultured phage cr149_1,dsDNA
uncultured phage cr55_1,dsDNA
uncultured phage cr53_1,dsDNA
uncultured phage cr150_1,dsDNA
uncultured phage cr113_1,dsDNA
uncultured phage cr52_1,dsDNA
uncultured phage cr56_1,dsDNA
uncultured phage cr16_1,dsDNA
uncultured phage cr60_1,dsDNA
uncultured phage cr105_1,dsDNA
uncultured phage cr82_1,dsDNA
uncultured phage cr109_1,dsDNA
uncultured phage cr4_1,dsDNA
uncultured phage cr61_1,dsDNA
uncultured phage cr273_1,dsDNA
uncultured phage cr272_1,dsDNA
uncultured phage cr7_1,dsDNA
uncultured phage cr124_1,dsDNA
uncultured phage cr29_1,dsDNA
uncultured phage cr131_1,dsDNA
uncultured phage cr130_1,dsDNA
uncultured phage cr23_1,dsDNA
uncultured phage cr125_1,dsDNA
uncultured phage cr114_1,dsDNA
uncultured phage cr118_1,dsDNA
uncultured phage cr115_1,dsDNA
uncultured phage cr19_1,dsDNA
Azobacteroides phage ProJPt-Bp1,dsDNA
Nitrososphaeria virus YSH_922147,dsDNA
Nitrososphaeria virus YSH_462411,dsDNA
Nitrososphaeria virus YSH_174770,dsDNA
Nitrososphaeria virus YSH_1032793,dsDNA
Halorubrum virus BJ1,dsDNA
Halorubrum virus CGphi46,dsDNA
Halorubrum tailed virus 29,dsDNA
Haloferax tailed virus 1,dsDNA
Halorubrum tailed virus 4,dsDNA
Haloarcula tailed virus 3,dsDNA
Haloarcula sinaiiensis tailed virus 1,dsDNA
Poseidoniales virus YSH_150918,dsDNA
Methanobacterium virus Drs3,dsDNA
Methanobacterium phage psiM2,dsDNA
Methanophagales virus PBV299,dsDNA
Methanophagales virus GBV301,dsDNA
Methanophagales virus GBV302,dsDNA
Haloarcula californiae tailed virus 1,dsDNA
Haloarcula vallismortis tailed virus 1,dsDNA
Halophage HF1,dsDNA
Halorubrum tailed virus 24,dsDNA
Halorubrum tailed virus 10,dsDNA
Halorubrum tailed phage 5,dsDNA
Halorubrum tailed phage 8,dsDNA
Halorubrum sodomense tailed virus 4,dsDNA
Halorubrum coriense virus Serpecor1,dsDNA
Halorubrum tailed virus 25,dsDNA
Halorubrum sodomense tailed virus 2,dsDNA
Halorubrum tailed virus 27,dsDNA
Halogranum tailed virus 1,dsDNA
Haloarcula tailed virus 2,dsDNA
Shigella phage phiSboM-AG3,dsDNA
Enterobacter phage phiEM4,dsDNA
Shigella phage MK-13,dsDNA
Salmonella phage P46FS4,dsDNA
Salmonella phage SKML-39,dsDNA
Dickeya phage vB-DsoM-LIMEstone1,dsDNA
Dickeya phage RC-2014,dsDNA
Salmonella phage aagejoakim,dsDNA
Salmonella phage allotria,dsDNA
Salmonella phage barely,dsDNA
Salmonella phage bering,dsDNA
Salmonella phage BSP101,dsDNA
Escherichia phage CBA120,dsDNA
Salmonella phage Det7,dsDNA
Salmonella phage dinky,dsDNA
Escherichia phage ECML-4,dsDNA
Escherichia phage EP75,dsDNA
Escherichia phage FEC14,dsDNA
Salmonella phage GG32,dsDNA
Salmonella phage heyday,dsDNA
Salmonella phage 38,dsDNA
Salmonella phage maane,dsDNA
Salmonella phage Marshall,dsDNA
