Species,Genome.composition
Tottorivirus A,ssRNA(+)
Tomato wrinkled mosaic virus,ssDNA(+/-)
Rabovirus B,ssRNA(+)
Circovirus kiore,ssDNA(+/-)
Circovirus roditore,ssDNA(+/-)
Circovirus daga,ssDNA(+/-)
Circovirus rongeur,ssDNA(+/-)
Circovirus rosegador,ssDNA(+/-)
Cyclovirus rata,ssDNA(+/-)
Circovirus gnaver,ssDNA(+/-)
Cyclovirus podgana,ssDNA(+/-)
Orthohantavirus tigrayense,ssRNA(-)
Pepper yellow leaf curl Indonesia virus 2,ssDNA(+/-)
Sclerotinia botoulivirus 2,ssRNA(+)
Sclerotinia scleroulivirus 1,ssRNA(+)
Rhizoctonia magoulivirus 1,ssRNA(+)
Lymphocryptovirus macacinegamma10,dsDNA
Rhadinovirus macacinegamma12,dsDNA
Tomato severe leaf curl Kalakada virus,ssDNA(+/-)
Percavirus phocidgamma3,dsDNA
Caligrhavirus lepeophtheirus,ssRNA(-)
Caligrhavirus salmonlouse,ssRNA(-)
Chilli leaf curl Gonda virus,ssDNA(+/-)
Rhadinovirus macacinegamma8,dsDNA
Tomato leaf curl Karnataka virus 3,ssDNA(+/-)
Tomato leaf curl Karnataka virus 2,ssDNA(+/-)
Blechum yellow vein virus,ssDNA(+/-)
Chilli leaf curl Sri Lanka virus,ssDNA(+/-)
Cytomegalovirus macacinebeta8,dsDNA
Chilli leaf curl Bhavanisagar virus,ssDNA(+/-)
Pepper vein yellows virus 2,ssRNA(+)
African cassava mosaic Burkina Faso virus,ssDNA(+/-)
Tomato leaf curl New Delhi virus 5,ssDNA(+/-)
Rhadinovirus macacinegamma11,dsDNA
Chaetarnavirus 2,ssRNA(+)
Tomato leaf curl Japan virus,ssDNA(+/-)
Circovirus pichong,ssDNA(+/-)
Circovirus siksparnis,ssDNA(+/-)
Circovirus gryzon,ssDNA(+/-)
Aquabirnavirus tellinae,dsRNA
Orthobunyavirus encephalitidis,ssRNA(-)
Alphaportoglobovirus SPV2,dsDNA
Peropuvirus juli,ssRNA(-)
Peropuvirus hubeiense,ssRNA(-)
Peropuvirus dentati,ssRNA(-)
Gambievirus bolahunense,ssRNA(-)
Shuangao anphevirus,ssRNA(-)
Bracoviriform nigricipitis,dsDNA
Poecivirus A,ssRNA(+)
Ophiovirus freesiae,ssRNA(-)
Alphacarmovirus adonis,ssRNA(+)
Tequatrovirus yueel1,dsDNA
Paulavirus viph1080o,dsDNA
Paulavirus viph1020o,dsDNA
Paulavirus viph1008o,dsDNA
Paulavirus viph1044o,dsDNA
Livvievirus viph1249a,dsDNA
Epsilontectivirus toil,dsDNA
Deltatectivirus wheeheim,dsDNA
Deltatectivirus forthebois,dsDNA
Leviviridae sp.,ssRNA(+)
Leviviridae sp.,ssRNA(+)
Pepevirus spumicola,ssRNA(+)
Xylivirus Xf109,ssDNA(+)
Restivirus RSS1,ssDNA(+)
Restivirus RSS1,ssDNA(+)
Habenivirus RS551,ssDNA(+)
Fibrovirus fs1,ssDNA(+)
Uwajimavirus PLgW1,dsDNA
Triavirus st121mssa,dsDNA
Triavirus st78,dsDNA
Triavirus st30,dsDNA
Triavirus st5,dsDNA
Triavirus st1,dsDNA
Triavirus SAP11,dsDNA
Triavirus SA137ruMSSAST121PVL,dsDNA
Triavirus P240,dsDNA
Triavirus LH1,dsDNA
Triavirus JS02,dsDNA
Triavirus fPfSau02,dsDNA
Triavirus tv15644,dsDNA
Seongbukvirus MH1,dsDNA
Rockefellervirus IME134801,dsDNA
Latrobevirus FNU1,dsDNA
Laroyevirus wheelbite,dsDNA
Laroyevirus salgado,dsDNA
Laroyevirus lisara,dsDNA
Halcyonevirus unity,dsDNA
Halcyonevirus scottie,dsDNA
Halcyonevirus halcyone,dsDNA
Halcyonevirus C7Cdelta,dsDNA
Fremauxvirus CHPC971,dsDNA
Dinavirus dina,dsDNA
Coventryvirus WIS42,dsDNA
Coventryvirus SpT152,dsDNA
Coventryvirus SP276,dsDNA
Coventryvirus SP197,dsDNA
Coventryvirus SP120,dsDNA
Coventryvirus SN8,dsDNA
Coventryvirus SP441,dsDNA
Ceduovirus PCS1,dsDNA
Ceduovirus PCB1,dsDNA
Ceduovirus LacS15,dsDNA
Ceduovirus CHPC1242,dsDNA
Ceduovirus CHPC1183,dsDNA
Ceduovirus CHPC1182,dsDNA
Ceduovirus CHPC1170,dsDNA
Ceduovirus CHPC1020,dsDNA
Ceduovirus CHPC972,dsDNA
Ceduovirus CHPC967,dsDNA
Ceduovirus CHPC966,dsDNA
Ceduovirus CHPC122,dsDNA
Ceduovirus CHPC116,dsDNA
Ceduovirus blBB94p4,dsDNA
Ceduovirus bIBBp64,dsDNA
Ceduovirus bIBBL12,dsDNA
Ceduovirus bIBBE1,dsDNA
Ceduovirus bIBBAm4,dsDNA
Ceduovirus bIBBA3,dsDNA
Ceduovirus bIBB14,dsDNA
Ceduovirus cv62606,dsDNA
Ceduovirus cv62403,dsDNA
Ceduovirus cv62402,dsDNA
Ceduovirus cv5171F,dsDNA
Ceduovirus cv50504,dsDNA
Ceduovirus cv50102,dsDNA
Ceduovirus cv37203,dsDNA
Ceduovirus cv20R03M,dsDNA
Ceduovirus cv05802,dsDNA
Agmunavirus AGM1,dsDNA
Unaquatrovirus Ln7,dsDNA
Limdunavirus P965,dsDNA
Limdunavirus LDG,dsDNA
Wanderervirus wanderer,dsDNA
Dragolirvirus dragolir,dsDNA
Phietavirus UPMK2,dsDNA
Phietavirus sebago,dsDNA
Phietavirus SAP27,dsDNA
Phietavirus Henu2,dsDNA
Phietavirus B122,dsDNA
Dubowvirus TEM126,dsDNA
Dubowvirus SP5,dsDNA
Dubowvirus SAP33,dsDNA
Dubowvirus SA75,dsDNA
Dubowvirus HSA84,dsDNA
Staphylococcus virus Baq_Sau1,dsDNA
Pourcelvirus Axy11,dsDNA
Pourcelvirus Axy10,dsDNA
Inbricusvirus inbricus,dsDNA
Dongdastvirus Axy24,dsDNA
Dongdastvirus Axy12,dsDNA
Dongdastvirus Axy04,dsDNA
Lastavirus sopranogao,dsDNA
Lastavirus lasta,dsDNA
Gervaisevirus GP4,dsDNA
Gervaisevirus gervaise,dsDNA
Gervaisevirus claudettte,dsDNA
Firingavirus firinga,dsDNA
Cimandefvirus heva,dsDNA
Cimandefvirus Ggerry,dsDNA
Cimandefvirus gamede,dsDNA
Cimandefvirus eline,dsDNA
Cimandefvirus cimandef,dsDNA
Rahariannevirus raharianne,dsDNA
Myohalovirus phiCh1,dsDNA
Myohalovirus chaoS9,dsDNA
Menderavirus IMESM1,dsDNA
Bakolyvirus simangalove,dsDNA
Tequatrovirus zeen18,dsDNA
Tequatrovirus pyps2t,dsDNA
Tequatrovirus sh7,dsDNA
Tequatrovirus sf23,dsDNA
Tequatrovirus jaykay,dsDNA
Tequatrovirus cm8,dsDNA
Tequatrovirus zeezeethirty,dsDNA
Tequatrovirus snuabm,dsDNA
Tequatrovirus sgallinarium,dsDNA
Tequatrovirus teqskov,dsDNA
Tequatrovirus teqhad,dsDNA
Tequatrovirus teqdroes,dsDNA
Tequatrovirus T2,dsDNA
Tequatrovirus pp01,dsDNA
Tequatrovirus pe37,dsDNA
Tequatrovirus pd112,dsDNA
Tequatrovirus ozark,dsDNA
Tequatrovirus oe5505,dsDNA
Tequatrovirus ecomnbg2,dsDNA
Tequatrovirus lutter,dsDNA
Tequatrovirus kit03,dsDNA
Tequatrovirus kaw,dsDNA
Tequatrovirus ime537,dsDNA
Tequatrovirus gee9062,dsDNA
Tequatrovirus gee4507,dsDNA
Tequatrovirus gee4498,dsDNA
Tequatrovirus gee50,dsDNA
Tequatrovirus ecomg28,dsDNA
Tequatrovirus geeight,dsDNA
Tequatrovirus ecombl75,dsDNA
Tequatrovirus efftwo,dsDNA
Tequatrovirus effone,dsDNA
Tequatrovirus ec04,dsDNA
Tequatrovirus ecnp1,dsDNA
Tequatrovirus cromcrrp10,dsDNA
Tequatrovirus ec121,dsDNA
Tequatrovirus ecomdalca,dsDNA
Tequatrovirus T6,dsDNA
Tequatrovirus RB18,dsDNA
Tequatrovirus kha5h,dsDNA
Tequatrovirus ecomime340,dsDNA
Tequatrovirus gizh,dsDNA
Tequatrovirus aplgate,dsDNA
Tequatrovirus zeezee23,dsDNA
Tequatrovirus zeezeesix,dsDNA
Vibrio virus 2019VC1,dsDNA
Hicfunavirus HCF1,dsDNA
Warwickvirus tiwna,dsDNA
Henuseptimavirus henu7,dsDNA
Changchunvirus W011D,dsDNA
Changchunvirus PHB17,dsDNA
Anchaingvirus anchaing,dsDNA
Warsawvirus 3MF5,dsDNA
Pukovnikvirus phaded,dsDNA
Pukovnikvirus ironman,dsDNA
Turbidovirus malec,dsDNA
Turbidovirus joshkayV,dsDNA
Turbidovirus heffalump,dsDNA
Turbidovirus georgie2,dsDNA
Turbidovirus fameo,dsDNA
Turbidovirus centaur,dsDNA
Turbidovirus bugsy,dsDNA
Turbidovirus benvolio,dsDNA
Turbidovirus anselm,dsDNA
Backyardiganvirus cindaradix,dsDNA
Backyardiganvirus mundrea,dsDNA
Backyardiganvirus miramae,dsDNA
Backyardiganvirus noelle,dsDNA
Backyardiganvirus icleared,dsDNA
Backyardiganvirus camperdownii,dsDNA
Backyardiganvirus wizard007,dsDNA
Backyardiganvirus cintron,dsDNA
Backyardiganvirus leoavram,dsDNA
Backyardiganvirus cerulean,dsDNA
Backyardiganvirus stasia,dsDNA
Kimonavirus kimona,dsDNA
Sagamiharavirus PP,dsDNA
Myradeevirus MyraDee,dsDNA
Anthonyvirus anthony,dsDNA
Timshelvirus droogsarmy,dsDNA
Timshelvirus SWU2,dsDNA
Pharaohvirus steamy,dsDNA
Refugevirus refuge,dsDNA
Refugevirus darthphader,dsDNA
Pharaohvirus pharaoh,dsDNA
Yeceytrevirus yecey3,dsDNA
Gladiatorvirus koko,dsDNA
Gladiatorvirus priamo,dsDNA
Gladiatorvirus jewelbug,dsDNA
Gladiatorvirus blinn1,dsDNA
Benedictvirus archetta,dsDNA
Benedictvirus bluefalcon,dsDNA
Benedictvirus zolita,dsDNA
Benedictvirus scorpia,dsDNA
Benedictvirus naca,dsDNA
Veracruzvirus pistachio,dsDNA
Veracruzvirus babyboy,dsDNA
Veracruzvirus MA5,dsDNA
Veracruzvirus veracruz,dsDNA
Phreappuccinovirus Phrappuccino,dsDNA
Stormageddonvirus Stormageddon,dsDNA
Skogvirus Skog,dsDNA
Finchvirus finch,dsDNA
Puppervirus Pupper,dsDNA
Bixzunavirus sauce,dsDNA
Bixzunavirus quasimodo,dsDNA
Bixzunavirus qbert,dsDNA
Bixzunavirus noodletree,dsDNA
Bixzunavirus mangeria,dsDNA
Bixzunavirus charlieB,dsDNA
Bixzunavirus cane17,dsDNA
Bixzunavirus bigswole,dsDNA
Myranavirus phabba,dsDNA
Likavirus lorelei,dsDNA
Likavirus goby,dsDNA
Likavirus werner,dsDNA
Likavirus yasdnil,dsDNA
Camvirus alsaber,dsDNA
Camvirus sitrop,dsDNA
Camvirus saftant,dsDNA
Camvirus joe,dsDNA
Camvirus endor2,dsDNA
Camvirus endor1,dsDNA
Arequatrovirus paedore,dsDNA
Caelumvirus thestral,dsDNA
Caelumvirus alvy,dsDNA
Caelumvirus daudau,dsDNA
Caelumvirus issmi,dsDNA
Caelumvirus caelum,dsDNA
Omarvirus tefunt,dsDNA
Omarvirus amethyst,dsDNA
Omarvirus diane,dsDNA
Omarvirus omar,dsDNA
Janusvirus hank144,dsDNA
Janusvirus janus,dsDNA
Sentinelvirus spernnie,dsDNA
Sentinelvirus sentinel,dsDNA
Salutenavirus salutena,dsDNA
Yosifvirus yosif,dsDNA
Celiavirus celia,dsDNA
Klebsiella phage vB_KpnS_ZX4,dsDNA
Klebsiella virus KpV2811,dsDNA
Klebsiella phage YX3973,dsDNA
Deseoctovirus C1,dsDNA
Deseoctovirus DS8,dsDNA
Swiduovirus swi2,dsDNA
Caminolopintovirus STGO351,dsDNA
Akiravirus akira,dsDNA
Skatevirus BS5,dsDNA
Skatevirus LPST10,dsDNA
Skatevirus VSt472,dsDNA
Skatevirus SeSz2,dsDNA
Skatevirus Seszw1,dsDNA
Skatevirus KFSSE2,dsDNA
Segzyvirus segz1,dsDNA
Skatevirus skate,dsDNA
Macdonaldcampvirus SB28,dsDNA
Buchananvirus Sa179lw,dsDNA
Cedarrivervirus Sf11,dsDNA
Beograduvirus Xaf18,dsDNA
Beograduvirus KPhi1,dsDNA
Tsukubavirus XPV1,dsDNA
Tsukubavirus XPP1,dsDNA
Charlievirus Jamie19,dsDNA
Charlievirus Tapioca,dsDNA
Charlievirus Rebel,dsDNA
Charlievirus Fulbright,dsDNA
Charlievirus Andies,dsDNA
Charlievirus Kevin1,dsDNA
Charlievirus Aggie,dsDNA
Charlievirus Philonius,dsDNA
Charlievirus Raymond7,dsDNA
Pinnievirus pinnie,dsDNA
Jolieduovirus lemuria,dsDNA
Jolieduovirus mercurio,dsDNA
Antsirabevirus antsirabe,dsDNA
Avocadovirus avocado,dsDNA
Liefievirus grizzly,dsDNA
Liefievirus rabbs,dsDNA
Liefievirus taheera,dsDNA
Liefievirus paito,dsDNA
Vendettavirus tzgordon,dsDNA
Tinalinvirus tinalin,dsDNA
Schmidtvirus schmidt,dsDNA
Dardanusvirus dardanus,dsDNA
Catfishvirus catfish,dsDNA
Rosariovirus Weirdo19ES,dsDNA
Mycoabscvirus phiT46-1,dsDNA
Paopuvirus Scamander,dsDNA
Korravirus wawa,dsDNA
Korravirus urla,dsDNA
Korravirus sergei,dsDNA
Korravirus oxynfrius,dsDNA
Korravirus nubia,dsDNA
Korravirus mamapearl,dsDNA
Korravirus litotes,dsDNA
Korravirus kittykat,dsDNA
Korravirus huntingdon,dsDNA
Korravirus greenhouse,dsDNA
Korravirus greenhearts,dsDNA
Korravirus gisselle,dsDNA
Harrisonburgvirus persinger,dsDNA
Micavirus Mica,dsDNA
Manovirus Mano,dsDNA
Coatlandelriovirus RSP,dsDNA
Typhavirus typha,dsDNA
Archimedesvirus archimedes,dsDNA
Bongovirus reindeer,dsDNA
Reyvirus mrmagoo,dsDNA
Reyvirus estes,dsDNA
Reyvirus aziz,dsDNA
Kumaovirus kumao,dsDNA
Bromdenvirus dyoedafos,dsDNA
Bromdenvirus bromden,dsDNA
Faithunavirus tourach,dsDNA
Faithunavirus guuelaD,dsDNA
Faithunavirus finemlucis,dsDNA
Faithunavirus CELFI,dsDNA
Lumosvirus krypton555,dsDNA
Lumosvirus lumos,dsDNA
Zitchvirus verity,dsDNA
Zitchvirus zipp,dsDNA
Zitchvirus zitch,dsDNA
Lilbeanievirus lilbeanie,dsDNA
Leonardvirus ali17,dsDNA
Leonardvirus melbins,dsDNA
Leonardvirus emoore,dsDNA
Leonardvirus leonard,dsDNA
Kroosvirus ribeye,dsDNA
Kroosvirus tangerine,dsDNA
Kroosvirus bizzy,dsDNA
Kroosvirus gaea,dsDNA
Kroosvirus ashertheman,dsDNA
Kroosvirus yorkonyx,dsDNA
Kroosvirus jksyngboy,dsDNA
Kroosvirus kroos,dsDNA
Audreyjarvisvirus P1048,dsDNA
Audreyjarvisvirus AM4,dsDNA
Audreyjarvisvirus LW81,dsDNA
Audreyjarvisvirus AM1,dsDNA
Escherichia phage D6,dsDNA
Escherichia phage vB_EcoM-Ro157c2YLVW,dsDNA
Punavirus P1,dsDNA
Dexdertvirus tiamoceli,dsDNA
Dexdertvirus dexdert,dsDNA
Fishburnevirus kilkor,dsDNA
Pepper leafroll virus,ssDNA(+/-)
Jacquemontia yellow vein virus,ssDNA(+/-)
Marienburgvirus JLK2012,dsDNA
Lambdavirus lvO276,dsDNA
Pankowvirus WGPS6,dsDNA
Pankowvirus WGPS8,dsDNA
Pankowvirus pv2851,dsDNA
Sawaravirus WGPS2,dsDNA
Nitunavirus SPG24,dsDNA
Chivirus ST101,dsDNA
Salmonella phage KNP6,dsDNA
Gwanakrovirus SNUABM08,dsDNA
Ruegeria phage vB_RpoS-V7,dsDNA
Ruegeria phage vB_RpoS-V11,dsDNA
Ruegeria phage vB_RpoS-V18,dsDNA
Ruegeria phage vB_RpoS-V16,dsDNA
Sessunavirus SESS1,dsDNA
Proteus phage P16-2532,dsDNA
Newforgelanevirus MA12,dsDNA
Pectobacterium phage MA11,dsDNA
Maxdohrnvirus SS2019XI,dsDNA
Dunedinvirus JS26,dsDNA
Redjacvirus stilesk,dsDNA
Redjacvirus piberecoleta,dsDNA
Zhonglingvirus SAP012,dsDNA
Salmonella phage vB_SenS_ER6,dsDNA
Salmonella phage vB_SenS_ER3,dsDNA
Enterobacter phage KNP7,dsDNA
Chivirus iEPS5,dsDNA
Salmonella phage vB_SalS_ABTNLsp1,dsDNA
Escherichia phage Utah,dsDNA
Salmonella phage SeZq-1,dsDNA
Chivirus SeWh1,dsDNA
Chivirus ER24,dsDNA
Salmonella phage ST-118,dsDNA
Salmonella phage vB_SenS_BPS4,dsDNA
Salmonella phage vB_SenS_BPS2,dsDNA
Salmonella phage vB_SenS_BPS1,dsDNA
Chivirus siskin,dsDNA
Chivirus KpYy141,dsDNA
Chivirus FSLSP030,dsDNA
Jacunavirus JC01,dsDNA
Yonseivirus N137,dsDNA
Yonseivirus N137,dsDNA
Sharonstreetvirus BUCT551,unknown
Sharonstreetvirus LAh7,dsDNA
Sharonstreetvirus A18P4,dsDNA
Lavrentievavirus E21,dsDNA
Lavrentievavirus PM87,dsDNA
Proteus phage ASh-2020a,dsDNA
Kokobelvirus kokobel1,dsDNA
Phobosvirus phobos,dsDNA
Phobosvirus PspYZU01,dsDNA
Seodaemunguvirus YMC16-01N133,dsDNA
Fairfaxidumvirus toast,dsDNA
Fairfaxidumvirus william,dsDNA
Ruthyvirus dumpsterdude,dsDNA
Xooduovirus Xoosp2,dsDNA
Abidjanvirus ZC01,dsDNA
Epaquintavirus Epa5,dsDNA
Efkovirus efeko,dsDNA
Bonaevitaevirus bonaevitae,dsDNA
Paopuvirus quaker,dsDNA
Paopuvirus poranda,dsDNA
Paopuvirus noelani,dsDNA
Paopuvirus nobel,dsDNA
Paopuvirus kaijohn,dsDNA
Paopuvirus bri160,dsDNA
Paopuvirus azizam,dsDNA
Paopuvirus paopu,dsDNA
Quaranjavirus johnstonense,ssRNA(-)
Quaranjavirus chadense,ssRNA(-)
Justusliebigvirus VEcB,dsDNA
Phapecoctavirus Mt1B1P17,dsDNA
Phapecoctavirus ukendt,dsDNA
Phapecoctavirus tuntematon,dsDNA
Phapecoctavirus nieznany,dsDNA
Phapecoctavirus nepoznato,dsDNA
Justusliebigvirus muut,dsDNA
Phapecoctavirus anhysbys,dsDNA
Justusliebigvirus alia,dsDNA
Phapecoctavirus Ro121c4YLVW,dsDNA
Justusliebigvirus PD06,dsDNA
Justusliebigvirus PHB05,dsDNA
Myohalovirus phiH,dsDNA
Mycobacterium phage Magnito,dsDNA
Mycobacterium phage Traft412,dsDNA
Mycobacterium phage Sumter,dsDNA
Mycobacterium phage STLscum,dsDNA
Mycobacterium phage SpikeBT,dsDNA
Mycobacterium phage Snazzy,dsDNA
Mycobacterium phage Smairt,dsDNA
Mycobacterium phage Sibs6,dsDNA
Mycobacterium phage Sagefire,dsDNA
Mycobacterium phage Rutherferd,dsDNA
Mycobacterium phage Ruotula,dsDNA
Mycobacterium phage Rohr,dsDNA
Mycobacterium phage Ringer,dsDNA
Mycobacterium phage Rhynn,dsDNA
Mycobacterium phage Rajelicia,dsDNA
Mycobacterium phage Pita2,dsDNA
Mycobacterium phage Pippin,dsDNA
Mycobacterium phage Petruchio,dsDNA
Mycobacterium phage PacerPaul,dsDNA
Mycobacterium phage Oogway,dsDNA
Mycobacterium phage Niza,dsDNA
Mycobacterium phage NEHalo,dsDNA
Mycobacterium phage Mule,dsDNA
Mycobacterium phage Mryolo,dsDNA
Mycobacterium phage MPlant7149,dsDNA
Mycobacterium phage Michley,dsDNA
Mycobacterium phage MaryBeth,dsDNA
Mycobacterium phage Maroc7,dsDNA
Mycobacterium phage Manatee,dsDNA
Mycobacterium phage Magnar,dsDNA
Mycobacterium phage Lopton,dsDNA
Mycobacterium phage KyMonks1A,dsDNA
Mycobacterium phage Killigrew,dsDNA
Mycobacterium phage Kanely,dsDNA
Mycobacterium phage Jorgensen,dsDNA
Mycobacterium phage JackSparrow,dsDNA
Mycobacterium phage ILeeKay,dsDNA
Mycobacterium phage Ichabod,dsDNA
Mycobacterium phage HarryOW,dsDNA
Mycobacterium phage GageAP,dsDNA
Mycobacterium phage Fajezeel,dsDNA
Mycobacterium phage Dulcie,dsDNA
Mycobacterium phage Crispicous1,dsDNA
Mycobacterium phage Corvo,dsDNA
Mycobacterium phage ConceptII,dsDNA
Mycobacterium phage Bones,dsDNA
Mycobacterium phage Bob3,dsDNA
Mycobacterium phage Blue,dsDNA
Mycobacterium phage BK1,dsDNA
Mycobacterium phage Bircsak,dsDNA
Mycobacterium phage BigPaolini,dsDNA
Mycobacterium phage Big3,dsDNA
Mycobacterium phage BaconJack,dsDNA
Mycobacterium phage Atkinbua,dsDNA
Mycobacterium phage Arlo,dsDNA
Mycobacterium phage Anglerfish,dsDNA
Mycobacterium phage Ajay,dsDNA
Mycobacterium phage AFIS,dsDNA
Mycobacterium phage Adahisdi,dsDNA
Mycobacterium phage Acme,dsDNA
Mycobacterium phage Scowl,dsDNA
Dichorhavirus leprosis,ssRNA(-)
Phasey bean mild yellows virus,ssRNA(+)
Xaviavirus xavia,dsDNA
Purkyvirus purky,dsDNA
Phayoncevirus thulathula,dsDNA
Fishburnevirus majeke,dsDNA
Fishburnevirus arib1,dsDNA
Fishburnevirus firstplacepfu,dsDNA
Fishburnevirus bartholomew,dsDNA
Mycobacterium phage Phineas,dsDNA
Fishburnevirus ksquared,dsDNA
Fishburnevirus greaselightnin,dsDNA
Fishburnevirus jung,dsDNA
Fishburnevirus atcoo,dsDNA
Mycobacterium phage Megiddo,dsDNA
Fishburnevirus willsammy,dsDNA
Bernalvirus mendokysei,dsDNA
Trigintaduovirus rem711,dsDNA
Avanivirus zapner,dsDNA
Avanivirus soul22,dsDNA
Avanivirus demsculpinboyz,dsDNA
Moomoovirus moomoo,dsDNA
Cheoctovirus zerg,dsDNA
Cheoctovirus willsterrel,dsDNA
Cheoctovirus whouxphf,dsDNA
Cheoctovirus wachhund,dsDNA
Cheoctovirus veteran,dsDNA
Mycobacterium phage TDanisky,dsDNA
Cheoctovirus swagpigglett,dsDNA
Cheoctovirus supergrey,dsDNA
Mycobacterium phage StAnnes,dsDNA
Cheoctovirus spoonbill,dsDNA
Cheoctovirus spikelee,dsDNA
Mycobacterium phage SimranZ1,dsDNA
Mycobacterium phage Seabastian,dsDNA
Mycobacterium phage SassyB,dsDNA
Cheoctovirus sandalphon,dsDNA
Cheoctovirus royals2015,dsDNA
Cheoctovirus ritaG,dsDNA
Cheoctovirus quickmath,dsDNA
Cheoctovirus priscilla,dsDNA
Mycobacterium phage Pollywog,dsDNA
Cheoctovirus polka14,dsDNA
Cheoctovirus poenanya,dsDNA
Mycobacterium phage Pippy,dsDNA
Mycobacterium phage Piper2020,dsDNA
Cheoctovirus phasih,dsDNA
Cheoctovirus owlsT2W,dsDNA
Cheoctovirus olympiasaint,dsDNA
Cheoctovirus oldben,dsDNA
Mycobacterium phage Ogopogo,dsDNA
Cheoctovirus nivrat,dsDNA
Cheoctovirus nitzel,dsDNA
Mycobacterium phage Nimbo,dsDNA
Mycobacterium phage Mova,dsDNA
Cheoctovirus moonbeam,dsDNA
Mycobacterium phage Misha28,dsDNA
Cheoctovirus minnie,dsDNA
Cheoctovirus miniondave,dsDNA
Cheoctovirus milleniumforce,dsDNA
Cheoctovirus melissauren88,dsDNA
Cheoctovirus mattes,dsDNA
Cheoctovirus mantra,dsDNA
Cheoctovirus mahavrat,dsDNA
Cheoctovirus lizziana,dsDNA
Mycobacterium phage LastJedi,dsDNA
Cheoctovirus kristaram,dsDNA
Cheoctovirus krakatau,dsDNA
Mycobacterium phage Koella,dsDNA
Mycobacterium phage Kingsley,dsDNA
Cheoctovirus kersh,dsDNA
Mycobacterium phage Kenuha5,dsDNA
Mycobacterium phage Juice456,dsDNA
Cheoctovirus joeyjr,dsDNA
Cheoctovirus hlubikazi,dsDNA
Mycobacterium phage Henu3 PeY-2017,dsDNA
Mycobacterium phage Hegedechwinu,dsDNA
Cheoctovirus harley,dsDNA
Cheoctovirus gorge,dsDNA
Cheoctovirus girr,dsDNA
Cheoctovirus gandalph,dsDNA
Cheoctovirus galactic,dsDNA
Mycobacterium phage Frankie,dsDNA
Mycobacterium phage Flathead,dsDNA
Cheoctovirus firehouse51,dsDNA
Cheoctovirus filuzino,dsDNA
Cheoctovirus fancypants,dsDNA
Mycobacterium phage Enby,dsDNA
Cheoctovirus empress,dsDNA
Cheoctovirus emma,dsDNA
Cheoctovirus eleanorgeorge,dsDNA
Cheoctovirus eish,dsDNA
Cheoctovirus DRBy19,dsDNA
Cheoctovirus doug,dsDNA
Cheoctovirus donkeykong,dsDNA
Cheoctovirus dilltech15,dsDNA
Mycobacterium phage DaWorst,dsDNA
Mycobacterium phage Cornucopia,dsDNA
Mycobacterium phage Coco12,dsDNA
Mycobacterium phage Clifton,dsDNA
Cheoctovirus chuckly,dsDNA
Cheoctovirus byougenkin,dsDNA
Mycobacterium phage ByChance,dsDNA
Cheoctovirus burwell21,dsDNA
Cheoctovirus bubbles123,dsDNA
Cheoctovirus bodeinwohner17,dsDNA
Cheoctovirus bobaphett,dsDNA
Cheoctovirus blexus,dsDNA
Cheoctovirus batiatus,dsDNA
Cheoctovirus arcusangelus,dsDNA
Mycobacterium phage Alexphander,dsDNA
Anayavirus zavala,dsDNA
Anayavirus yunkel11,dsDNA
Anayavirus yuna,dsDNA
Anayavirus urkel,dsDNA
Anayavirus sirphilip,dsDNA
Anayavirus prithvi,dsDNA
Anayavirus niklas,dsDNA
Anayavirus nibb,dsDNA
Anayavirus marshawn,dsDNA
Anayavirus markphew,dsDNA
Anayavirus laterM,dsDNA
Anayavirus lasthope,dsDNA
Anayavirus kisi,dsDNA
Anayavirus curiosium,dsDNA
Anayavirus chris,dsDNA
Anayavirus bella96,dsDNA
Anayavirus beezoo,dsDNA
Anayavirus apocalypse,dsDNA
Anayavirus amelie,dsDNA
Anayavirus alishaPH,dsDNA
Anayavirus adonis,dsDNA
Anayavirus adephagia,dsDNA
Amginevirus ellie,dsDNA
Amginevirus ekdilam,dsDNA
Amginevirus darthP,dsDNA
Amginevirus amohnition,dsDNA
Amginevirus amgine,dsDNA
Keshuvirus hurricane,dsDNA
Unicornvirus ximenita,dsDNA
Unicornvirus shandong1,dsDNA
Unicornvirus krueger,dsDNA
Unicornvirus bryler,dsDNA
Unicornvirus unicorn,dsDNA
Timquatrovirus findley,dsDNA
Kratiovirus thyatira,dsDNA
Kratiovirus rando14,dsDNA
Kratiovirus paola,dsDNA
Kratiovirus leston,dsDNA
Kratiovirus collard,dsDNA
Fionnbharthvirus patt,dsDNA
Fionnbharthvirus taquito,dsDNA
Fionnbharthvirus eponine,dsDNA
Fionnbharthvirus henu3,dsDNA
Aminayvirus aminay,dsDNA
Acadianvirus serendipitous,dsDNA
Imvubuvirus imvubu,dsDNA
Quesadillavirus CRB2,dsDNA
Quesadillavirus quesadilla,dsDNA
Saguarovirus saguaro,dsDNA
Lilmcdreamyvirus lilmcdreamy,dsDNA
Birdsnestvirus birdsnest,dsDNA
Thonkovirus thonko,dsDNA
Zurivirus zuri,dsDNA
Pektosvirus PP81,dsDNA
Pektosvirus PP47,dsDNA
Marafivirus maydis,ssRNA(+)
African swine fever virus,dsDNA
Mamastrovirus 3,ssRNA(+)
Pbunavirus crassa,dsDNA
Pbunavirus antinowhere,dsDNA
Pbunavirus USP1,dsDNA
