Species,Genome.composition
Emaravirus chrysanthemi,ssRNA(-)
Orthophasmavirus miglotasense,ssRNA(-)
Orthophasmavirus barstukasense,ssRNA(-)
Nepovirus poaceae,ssRNA(+)
Thogotovirus upoluense,ssRNA(-)
Iflavirus achedomestici,ssRNA(+)
Quaranjavirus tyulekense,ssRNA(-)
Nepovirus alphavitis,ssRNA(+)
Orthodiscovirus hispaniae,RNA
Orthodiscovirus iberiae,RNA
Cicadellivirus scaphoidei,ssRNA(-)
Comovirus phaseoli,ssRNA(+)
Sadwavirus alphananas,ssRNA(+)
Orthophasmavirus coredoense,ssRNA(-)
Thogotovirus josense,ssRNA(-)
Orthophasmavirus flenense,ssRNA(-)
Sardinovirus pilchardi,ssRNA(-)
Orthodiscovirus penicillii,RNA
Thogotovirus thailandense,ssRNA(-)
Comovirus capsici,ssRNA(+)
Nepovirus cari,ssRNA(+)
Comovirus arabidopsis,ssRNA(+)
Thogotovirus bourbonense,ssRNA(-)
Nepovirus sichuanense,ssRNA(+)
Orthodiscovirus missouriense,RNA
Hadakavirus nanga,RNA
Lambavirus wisconsinense,ssRNA(-)
Lakivirus lakamhaense,ssRNA(-)
Khurdivirus volgaense,ssRNA(-)
Mykissvirus tructae,ssRNA(-)
Mobatvirus lenaense,ssRNA(-)
Red clover varicosavirus,ssRNA(-)
Rhizoctonia solani orthocurvulavirus 1,RNA
Alphachrysovirus saladoense,dsRNA
Laulavirus gammaviticulum,ssRNA(-)
Emaravirus syringae,ssRNA(-)
Laulavirus betaviticulum,ssRNA(-)
Laulavirus alphaviticulum,ssRNA(-)
Coguvirus viticulum,ssRNA(-)
Emaravirus verbanni,ssRNA(-)
Emaravirus camelliae,ssRNA(-)
Tenuivirus eurotritici,ssRNA(-)
Rubodvirus armeniaense,RNA
Rubodvirus argentinaense,RNA
Emaravirus pyri,ssRNA(-)
Blunervirus solani,ssRNA(+)
Emaravirus ziziphi,ssRNA(-)
Emaravirus parkinsoniae,ssRNA(-)
Emaravirus perillae,ssRNA(-)
Feravirus neuropterus,ssRNA(-)
Phasivirus parryense,ssRNA(-)
Phlebovirus perkerraense,ssRNA(+/-)
Phlebovirus kiborgochense,ssRNA(+/-)
Phlebovirus bogoriaense,ssRNA(+/-)
Phlebovirus embossosense,ssRNA(+/-)
Ocetevirus paratemnopterygis,ssRNA(-)
Orthophasmavirus coleopterus,ssRNA(-)
Coleopteran phenui-related virus OKIAV308,RNA
Feravirus hemipterus,ssRNA(-)
Orthonairovirus meramense,ssRNA(-)
Mobuvirus narangueense,ssRNA(-)
Hartmanivirus patriae,ssRNA(+/-)
Hartmanivirus brazilense,ssRNA(+/-)
Orthophasmavirus niuklukense,ssRNA(-)
Phlebovirus penshurtense,ssRNA(+/-)
Tanzavirus daressalaamense,RNA
Phasivirus guadeloupeense,ssRNA(-)
Mammarenavirus kitaleense,ssRNA(+/-)
Orthonairovirus khani,ssRNA(-)
Lincruvirus europense,ssRNA(-)
Antennavirus salmonis,ssRNA(+/-)
Lincruvirus sinense,ssRNA(-)
Gemytripvirus fugra1,ssDNA
Orthobunyavirus sedlecense,ssRNA(-)
Orthobunyavirus trinitiense,ssRNA(-)
Orthonairovirus australiaense,ssRNA(-)
Norwavirus grotenhoutense,ssRNA(-)
Mobatvirus xuansonense,ssRNA(-)
Zirqa virus,unknown
Orthonairovirus bandiaense,ssRNA(-)
Orthonairovirus macquariense,ssRNA(-)
Phlebovirus corfouense,ssRNA(+/-)
Orthobunyavirus ganganense,ssRNA(-)
Xinspivirus xinzhouense,ssRNA(-)
Sabavirus americanum,ssRNA(-)
Orthobunyavirus buffaloense,ssRNA(-)
Orthobunyavirus mitchellense,ssRNA(-)
Orthobunyavirus oyoense,ssRNA(-)
Orthonairovirus parahaemorrhagiae,ssRNA(-)
Demapteravirus dermapteri,ssRNA(-)
Subterranean clover stunt virus,ssDNA(+)
Corchorus yellow vein Cuba virus,ssDNA(+/-)
Orthonairovirus soldadoense,ssRNA(-)
Orthonairovirus peruense,ssRNA(-)
Orthonairovirus abuminaense,ssRNA(-)
Orthonairovirus abuhammadense,ssRNA(-)
Orthonairovirus issykkulense,ssRNA(-)
Orthonairovirus amblyommae,ssRNA(-)
Aspergillus fumigatus polymycovirus 1,RNA
Phlebovirus bujaruense,ssRNA(+/-)
Reptilian orthoreovirus,dsRNA
Drosophila melanogaster birnavirus SW-2009a,dsRNA
Rotifer birnavirus strain Palavas,dsRNA
Mammarenavirus alashanense,ssRNA(+/-)
Coguvirus eburi,ssRNA(+/-)
Mammarenavirus lijiangense,ssRNA(+/-)
Pacific coast tick phlebovirus,ssRNA(+/-)
Picobirnavirus Equ3,dsRNA
Uukuvirus dabieshanense,RNA
Ixovirus heckscherense,RNA
Uukuvirus dermacentoris,RNA
Orthotospovirus hippeflavi,ssRNA(+/-)
Entomobirnavirus anophelae,dsRNA
Phlebovirus ticoense,ssRNA(+/-)
Phlebovirus penablancaense,ssRNA(+/-)
Phlebovirus napoliense,ssRNA(+/-)
Phlebovirus campanaense,ssRNA(+/-)
Phlebovirus cocleense,ssRNA(+/-)
Bandavirus kismaayoense,ssRNA(+/-)
Bandavirus albatrossense,ssRNA(+/-)
Bandavirus heartlandense,ssRNA(+/-)
Phlebovirus florisense,ssRNA(+/-)
Phlebovirus uriuranaense,ssRNA(+/-)
Phlebovirus claroense,ssRNA(+/-)
Phlebovirus leticiaense,ssRNA(+/-)
Uukuvirus schmidti,RNA
Phlebovirus saloboense,ssRNA(+/-)
Phlebovirus arumowotense,ssRNA(+/-)
Aspergillus spelaeus polymycovirus 1,RNA
Emaravirus rubi,ssRNA(-)
Colletotrichum camelliae polymycovirus 1,RNA
Pistacia emaravirus,ssRNA(-)
Tai Forest coltivirus,dsRNA
Pacuvirus chilibreense,ssRNA(-)
Mammalian orthoreovirus,dsRNA
Orthobunyavirus manzanillaense,ssRNA(-)
Orthobunyavirus kernense,ssRNA(-)
Orthobunyavirus thimiriense,ssRNA(-)
Orthotospovirus callaflavi,ssRNA(+/-)
Betachrysovirus botryosphaeriae,dsRNA
Orthobunyavirus lacrosseense,ssRNA(-)
Mammarenavirus choriomeningitidis,ssRNA(+/-)
West African Asystasia virus 1,ssDNA(+/-)
Fabavirus persicae,ssRNA(+)
Scarabeuvirus lishiense,ssRNA(-)
Chuvivirus canceris,ssRNA(-)
Avian orthoreovirus,dsRNA
Maize rough dwarf virus,dsRNA
Cotton yellow mosaic virus,ssDNA(+/-)
Sida micrantha mosaic virus,ssDNA(+/-)
Cannabis cryptic virus,dsRNA
Tomato mottle leaf curl virus,ssDNA(+/-)
Fabavirus gentianae,ssRNA(+)
Orthohantavirus sinnombreense,ssRNA(-)
Orthohantavirus puumalaense,ssRNA(-)
Orthonairovirus sakhalinense,ssRNA(-)
Orthonairovirus dermacentoris,ssRNA(-)
Genomoviridae sp.,ssDNA
Biavirus raunefjordenense,dsDNA
Ovine picornavirus,ssRNA(+)
Respirovirus ratufae,ssRNA(-)
Daphniairidovirus tvaerminne,dsDNA
Methanophagales virus GBV303,dsDNA
Yangshan Harbor Poseidoniales virus,dsDNA
Yangshan Harbor Nitrososphaeria virus,dsDNA
Yangshan Harbor Nitrososphaeria virus,dsDNA
Yangshan Harbor Nitrososphaeria virus,dsDNA
Yangshan Harbor Nitrososphaeria virus,dsDNA
Calfel virus LSF45_cir359,ssDNA(+/-)
Calfel virus LSF31_cyc880,ssDNA(+/-)
Calfel virus LSF31_cyc420,ssDNA(+/-)
Calfel virus LSF17_cyc102,ssDNA(+/-)
Army ant associated cyclovirus 9,ssDNA(+/-)
Army ant associated cyclovirus 8,ssDNA(+/-)
Army ant associated cyclovirus 9,ssDNA(+/-)
Army ant associated cyclovirus 5,ssDNA(+/-)
Army ant associated cyclovirus 4,ssDNA(+/-)
Army ant associated cyclovirus 1,ssDNA(+/-)
Army ant associated cyclovirus 2,ssDNA(+/-)
Army ant associated cyclovirus 6,ssDNA(+/-)
Cyclovirus ibimonyo,ssDNA(+/-)
Dipodfec virus UA23Rod_1805,ssDNA(+/-)
Dipodfec virus UA04Rod_4537,ssDNA
Dipodfec virus UA04Rod_5913,ssDNA
Artemisia capillaris nucleorhabdovirus 1,ssRNA(-)
Mundri virus,ssRNA(-)
Chifec virus UA15_2320,ssDNA(+/-)
Chifec virus UA13_1800,ssDNA(+/-)
Chifec virus UA13_1887,ssDNA(+/-)
Chifec virus UA13_1880,ssDNA(+/-)
Chifec virus UA15_35,ssDNA(+/-)
Chifec virus UA13_1817,ssDNA(+/-)
Chifec virus UA13_1727,ssDNA(+/-)
Avonheates virus SG_479,ssDNA
Seawadnavirus gataifale,ssDNA
Avonheates virus SG_146,ssDNA
Kieseladnavirus katao,ssDNA
Avonheates virus SG_61,ssDNA
Avonheates virus SG_28,ssDNA
Avonheates virus SG_19,ssDNA
Avonheates virus SG_924,ssDNA
Kieseladnavirus titiko,ssDNA
Kieseladnavirus karahue,ssDNA
Fusarium oxysporum mymonavirus 1,ssRNA(-)
Wufeng Myotis altarium vesiculovirus 1,ssRNA(-)
Wenzhou Myotis laniger tupavirus 1,ssRNA(-)
Wenzhou Rhinolophus pusillus ledantevirus 1,ssRNA(-)
Erysiphe necator associated ourmia-like virus 21,ssRNA(+)
Eumops bonariensis associated circovirus 1,ssDNA(+/-)
Eumops bonariensis associated cyclovirus 1,ssDNA(+/-)
Tadarida brasiliensis associated cyclovirus 1,ssDNA(+/-)
Bat associated cyclovirus 17,ssDNA(+/-)
Chinaberry tree badnavirus 1,dsDNA-RT
Aksy-Durug Melophagus sigmavirus,ssRNA(-)
Erthesina fullo arlivirus 1,ssRNA(-)
Banmivirus MoaBV,ssRNA(+)
Botrytis cinerea botoulivirus 19,ssRNA(+)
Botrytis cinerea botoulivirus 18,ssRNA(+)
Varidnaviria sp.,dsDNA
Xiangshan rhabdo-like virus 1,ssRNA(-)
Xiangshan Nyami-like virus,ssRNA(-)
Parvovirinae sp.,ssDNA(+/-)
Erannis ankeraria nucleopolyhedrovirus,dsDNA
Porcine ephemerovirus 2,ssRNA(-)
Porcine ephemerovirus 1,ssRNA(-)
Hogweed virus 4,ssRNA(+)
Cnidium virus 1,ssRNA(-)
Fusarium asiaticum negative-stranded RNA virus 1,RNA
Apis rhabdovirus 3,ssRNA(-)
