Species,Family,Genome.composition
Zitchvirus zitch,,dsDNA
Lilbeanievirus lilbeanie,,dsDNA
Leonardvirus ali17,,dsDNA
Leonardvirus melbins,,dsDNA
Leonardvirus emoore,,dsDNA
Leonardvirus leonard,,dsDNA
Kroosvirus ribeye,,dsDNA
Kroosvirus tangerine,,dsDNA
Kroosvirus bizzy,,dsDNA
Kroosvirus gaea,,dsDNA
Kroosvirus ashertheman,,dsDNA
Kroosvirus yorkonyx,,dsDNA
Kroosvirus jksyngboy,,dsDNA
Kroosvirus kroos,,dsDNA
Audreyjarvisvirus P1048,,dsDNA
Audreyjarvisvirus AM4,,dsDNA
Audreyjarvisvirus LW81,,dsDNA
Audreyjarvisvirus AM1,,dsDNA
Escherichia phage D6,,dsDNA
Escherichia phage vB_EcoM-Ro157c2YLVW,,dsDNA
Punavirus P1,,dsDNA
Dexdertvirus tiamoceli,,dsDNA
Dexdertvirus dexdert,,dsDNA
Fishburnevirus kilkor,,dsDNA
Pepper leafroll virus,Geminiviridae,ssDNA(+/-)
Jacquemontia yellow vein virus,Geminiviridae,ssDNA(+/-)
Marienburgvirus JLK2012,,dsDNA
Lambdavirus lvO276,,dsDNA
Pankowvirus WGPS6,,dsDNA
Pankowvirus WGPS8,,dsDNA
Pankowvirus pv2851,,dsDNA
Sawaravirus WGPS2,,dsDNA
Nitunavirus SPG24,Herelleviridae,dsDNA
Chivirus ST101,Casjensviridae,dsDNA
Salmonella phage KNP6,Casjensviridae,dsDNA
Gwanakrovirus SNUABM08,Casjensviridae,dsDNA
Ruegeria phage vB_RpoS-V7,Casjensviridae,dsDNA
Ruegeria phage vB_RpoS-V11,Casjensviridae,dsDNA
Ruegeria phage vB_RpoS-V18,Casjensviridae,dsDNA
Ruegeria phage vB_RpoS-V16,Casjensviridae,dsDNA
Sessunavirus SESS1,Casjensviridae,dsDNA
Proteus phage P16-2532,Casjensviridae,dsDNA
Newforgelanevirus MA12,Casjensviridae,dsDNA
Pectobacterium phage MA11,Casjensviridae,dsDNA
Maxdohrnvirus SS2019XI,Casjensviridae,dsDNA
Dunedinvirus JS26,Casjensviridae,dsDNA
Redjacvirus stilesk,Casjensviridae,dsDNA
Redjacvirus piberecoleta,Casjensviridae,dsDNA
Zhonglingvirus SAP012,Casjensviridae,dsDNA
Salmonella phage vB_SenS_ER6,Casjensviridae,dsDNA
Salmonella phage vB_SenS_ER3,Casjensviridae,dsDNA
Enterobacter phage KNP7,Casjensviridae,dsDNA
Chivirus iEPS5,Casjensviridae,dsDNA
Salmonella phage vB_SalS_ABTNLsp1,Casjensviridae,dsDNA
Escherichia phage Utah,Casjensviridae,dsDNA
Salmonella phage SeZq-1,Casjensviridae,dsDNA
Chivirus SeWh1,Casjensviridae,dsDNA
Chivirus ER24,Casjensviridae,dsDNA
Salmonella phage ST-118,Casjensviridae,dsDNA
Salmonella phage vB_SenS_BPS4,Casjensviridae,dsDNA
Salmonella phage vB_SenS_BPS2,Casjensviridae,dsDNA
Salmonella phage vB_SenS_BPS1,Casjensviridae,dsDNA
Chivirus siskin,Casjensviridae,dsDNA
Chivirus KpYy141,Casjensviridae,dsDNA
Chivirus FSLSP030,Casjensviridae,dsDNA
Jacunavirus JC01,Casjensviridae,dsDNA
Yonseivirus N137,Casjensviridae,dsDNA
Yonseivirus N137,Casjensviridae,dsDNA
Sharonstreetvirus BUCT551,Casjensviridae,unknown
Sharonstreetvirus LAh7,Casjensviridae,dsDNA
Sharonstreetvirus A18P4,Casjensviridae,dsDNA
Lavrentievavirus E21,Casjensviridae,dsDNA
Lavrentievavirus PM87,Casjensviridae,dsDNA
Proteus phage ASh-2020a,Casjensviridae,dsDNA
Kokobelvirus kokobel1,Casjensviridae,dsDNA
Phobosvirus phobos,Casjensviridae,dsDNA
Phobosvirus PspYZU01,Casjensviridae,dsDNA
Seodaemunguvirus YMC16-01N133,Casjensviridae,dsDNA
Fairfaxidumvirus toast,,dsDNA
Fairfaxidumvirus william,,dsDNA
Ruthyvirus dumpsterdude,,dsDNA
Xooduovirus Xoosp2,Mesyanzhinovviridae,dsDNA
Abidjanvirus ZC01,Mesyanzhinovviridae,dsDNA
Epaquintavirus Epa5,Mesyanzhinovviridae,dsDNA
Efkovirus efeko,Orlajensenviridae,dsDNA
Bonaevitaevirus bonaevitae,Orlajensenviridae,dsDNA
Paopuvirus quaker,Orlajensenviridae,dsDNA
Paopuvirus poranda,Orlajensenviridae,dsDNA
Paopuvirus noelani,Orlajensenviridae,dsDNA
Paopuvirus nobel,Orlajensenviridae,dsDNA
Paopuvirus kaijohn,Orlajensenviridae,dsDNA
Paopuvirus bri160,Orlajensenviridae,dsDNA
Paopuvirus azizam,Orlajensenviridae,dsDNA
Paopuvirus paopu,Orlajensenviridae,dsDNA
Quaranjavirus johnstonense,Orthomyxoviridae,ssRNA(-)
Quaranjavirus chadense,Orthomyxoviridae,ssRNA(-)
Justusliebigvirus VEcB,,dsDNA
Phapecoctavirus Mt1B1P17,,dsDNA
Phapecoctavirus ukendt,,dsDNA
Phapecoctavirus tuntematon,,dsDNA
Phapecoctavirus nieznany,,dsDNA
Phapecoctavirus nepoznato,,dsDNA
Justusliebigvirus muut,,dsDNA
Phapecoctavirus anhysbys,,dsDNA
Justusliebigvirus alia,,dsDNA
Phapecoctavirus Ro121c4YLVW,,dsDNA
Justusliebigvirus PD06,,dsDNA
Justusliebigvirus PHB05,,dsDNA
Myohalovirus phiH,Vertoviridae,dsDNA
Mycobacterium phage Magnito,,dsDNA
Mycobacterium phage Traft412,,dsDNA
Mycobacterium phage Sumter,,dsDNA
Mycobacterium phage STLscum,,dsDNA
Mycobacterium phage SpikeBT,,dsDNA
Mycobacterium phage Snazzy,,dsDNA
Mycobacterium phage Smairt,,dsDNA
Mycobacterium phage Sibs6,,dsDNA
Mycobacterium phage Sagefire,,dsDNA
Mycobacterium phage Rutherferd,,dsDNA
Mycobacterium phage Ruotula,,dsDNA
Mycobacterium phage Rohr,,dsDNA
Mycobacterium phage Ringer,,dsDNA
Mycobacterium phage Rhynn,,dsDNA
Mycobacterium phage Rajelicia,,dsDNA
Mycobacterium phage Pita2,,dsDNA
Mycobacterium phage Pippin,,dsDNA
Mycobacterium phage Petruchio,,dsDNA
Mycobacterium phage PacerPaul,,dsDNA
Mycobacterium phage Oogway,,dsDNA
Mycobacterium phage Niza,,dsDNA
Mycobacterium phage NEHalo,,dsDNA
Mycobacterium phage Mule,,dsDNA
Mycobacterium phage Mryolo,,dsDNA
Mycobacterium phage MPlant7149,,dsDNA
Mycobacterium phage Michley,,dsDNA
Mycobacterium phage MaryBeth,,dsDNA
Mycobacterium phage Maroc7,,dsDNA
Mycobacterium phage Manatee,,dsDNA
Mycobacterium phage Magnar,,dsDNA
Mycobacterium phage Lopton,,dsDNA
Mycobacterium phage KyMonks1A,,dsDNA
Mycobacterium phage Killigrew,,dsDNA
Mycobacterium phage Kanely,,dsDNA
Mycobacterium phage Jorgensen,,dsDNA
Mycobacterium phage JackSparrow,,dsDNA
Mycobacterium phage ILeeKay,,dsDNA
Mycobacterium phage Ichabod,,dsDNA
Mycobacterium phage HarryOW,,dsDNA
Mycobacterium phage GageAP,,dsDNA
Mycobacterium phage Fajezeel,,dsDNA
Mycobacterium phage Dulcie,,dsDNA
Mycobacterium phage Crispicous1,,dsDNA
Mycobacterium phage Corvo,,dsDNA
Mycobacterium phage ConceptII,,dsDNA
Mycobacterium phage Bones,,dsDNA
Mycobacterium phage Bob3,,dsDNA
Mycobacterium phage Blue,,dsDNA
Mycobacterium phage BK1,,dsDNA
Mycobacterium phage Bircsak,,dsDNA
Mycobacterium phage BigPaolini,,dsDNA
Mycobacterium phage Big3,,dsDNA
Mycobacterium phage BaconJack,,dsDNA
Mycobacterium phage Atkinbua,,dsDNA
Mycobacterium phage Arlo,,dsDNA
Mycobacterium phage Anglerfish,,dsDNA
Mycobacterium phage Ajay,,dsDNA
Mycobacterium phage AFIS,,dsDNA
Mycobacterium phage Adahisdi,,dsDNA
Mycobacterium phage Acme,,dsDNA
Mycobacterium phage Scowl,,dsDNA
Dichorhavirus leprosis,Rhabdoviridae,ssRNA(-)
Phasey bean mild yellows virus,Solemoviridae,ssRNA(+)
Xaviavirus xavia,,dsDNA
Purkyvirus purky,,dsDNA
Phayoncevirus thulathula,,dsDNA
Fishburnevirus majeke,,dsDNA
Fishburnevirus arib1,,dsDNA
Fishburnevirus firstplacepfu,,dsDNA
Fishburnevirus bartholomew,,dsDNA
Mycobacterium phage Phineas,,dsDNA
Fishburnevirus ksquared,,dsDNA
Fishburnevirus greaselightnin,,dsDNA
Fishburnevirus jung,,dsDNA
Fishburnevirus atcoo,,dsDNA
Mycobacterium phage Megiddo,,dsDNA
Fishburnevirus willsammy,,dsDNA
Bernalvirus mendokysei,,dsDNA
Trigintaduovirus rem711,,dsDNA
Avanivirus zapner,,dsDNA
Avanivirus soul22,,dsDNA
Avanivirus demsculpinboyz,,dsDNA
Moomoovirus moomoo,,dsDNA
Cheoctovirus zerg,,dsDNA
Cheoctovirus willsterrel,,dsDNA
Cheoctovirus whouxphf,,dsDNA
Cheoctovirus wachhund,,dsDNA
Cheoctovirus veteran,,dsDNA
Mycobacterium phage TDanisky,,dsDNA
Cheoctovirus swagpigglett,,dsDNA
Cheoctovirus supergrey,,dsDNA
Mycobacterium phage StAnnes,,dsDNA
Cheoctovirus spoonbill,,dsDNA
Cheoctovirus spikelee,,dsDNA
Mycobacterium phage SimranZ1,,dsDNA
Mycobacterium phage Seabastian,,dsDNA
Mycobacterium phage SassyB,,dsDNA
Cheoctovirus sandalphon,,dsDNA
Cheoctovirus royals2015,,dsDNA
Cheoctovirus ritaG,,dsDNA
Cheoctovirus quickmath,,dsDNA
Cheoctovirus priscilla,,dsDNA
Mycobacterium phage Pollywog,,dsDNA
Cheoctovirus polka14,,dsDNA
Cheoctovirus poenanya,,dsDNA
Mycobacterium phage Pippy,,dsDNA
Mycobacterium phage Piper2020,,dsDNA
Cheoctovirus phasih,,dsDNA
Cheoctovirus owlsT2W,,dsDNA
Cheoctovirus olympiasaint,,dsDNA
Cheoctovirus oldben,,dsDNA
Mycobacterium phage Ogopogo,,dsDNA
Cheoctovirus nivrat,,dsDNA
Cheoctovirus nitzel,,dsDNA
Mycobacterium phage Nimbo,,dsDNA
Mycobacterium phage Mova,,dsDNA
Cheoctovirus moonbeam,,dsDNA
Mycobacterium phage Misha28,,dsDNA
Cheoctovirus minnie,,dsDNA
Cheoctovirus miniondave,,dsDNA
Cheoctovirus milleniumforce,,dsDNA
Cheoctovirus melissauren88,,dsDNA
Cheoctovirus mattes,,dsDNA
Cheoctovirus mantra,,dsDNA
Cheoctovirus mahavrat,,dsDNA
Cheoctovirus lizziana,,dsDNA
Mycobacterium phage LastJedi,,dsDNA
Cheoctovirus kristaram,,dsDNA
Cheoctovirus krakatau,,dsDNA
Mycobacterium phage Koella,,dsDNA
Mycobacterium phage Kingsley,,dsDNA
Cheoctovirus kersh,,dsDNA
Mycobacterium phage Kenuha5,,dsDNA
Mycobacterium phage Juice456,,dsDNA
Cheoctovirus joeyjr,,dsDNA
Cheoctovirus hlubikazi,,dsDNA
Mycobacterium phage Henu3 PeY-2017,,dsDNA
Mycobacterium phage Hegedechwinu,,dsDNA
Cheoctovirus harley,,dsDNA
Cheoctovirus gorge,,dsDNA
Cheoctovirus girr,,dsDNA
Cheoctovirus gandalph,,dsDNA
Cheoctovirus galactic,,dsDNA
Mycobacterium phage Frankie,,dsDNA
Mycobacterium phage Flathead,,dsDNA
Cheoctovirus firehouse51,,dsDNA
Cheoctovirus filuzino,,dsDNA
Cheoctovirus fancypants,,dsDNA
Mycobacterium phage Enby,,dsDNA
Cheoctovirus empress,,dsDNA
Cheoctovirus emma,,dsDNA
Cheoctovirus eleanorgeorge,,dsDNA
Cheoctovirus eish,,dsDNA
Cheoctovirus DRBy19,,dsDNA
Cheoctovirus doug,,dsDNA
Cheoctovirus donkeykong,,dsDNA
Cheoctovirus dilltech15,,dsDNA
Mycobacterium phage DaWorst,,dsDNA
Mycobacterium phage Cornucopia,,dsDNA
Mycobacterium phage Coco12,,dsDNA
Mycobacterium phage Clifton,,dsDNA
Cheoctovirus chuckly,,dsDNA
Cheoctovirus byougenkin,,dsDNA
Mycobacterium phage ByChance,,dsDNA
Cheoctovirus burwell21,,dsDNA
Cheoctovirus bubbles123,,dsDNA
Cheoctovirus bodeinwohner17,,dsDNA
Cheoctovirus bobaphett,,dsDNA
Cheoctovirus blexus,,dsDNA
Cheoctovirus batiatus,,dsDNA
Cheoctovirus arcusangelus,,dsDNA
Mycobacterium phage Alexphander,,dsDNA
Anayavirus zavala,,dsDNA
Anayavirus yunkel11,,dsDNA
Anayavirus yuna,,dsDNA
Anayavirus urkel,,dsDNA
Anayavirus sirphilip,,dsDNA
Anayavirus prithvi,,dsDNA
Anayavirus niklas,,dsDNA
Anayavirus nibb,,dsDNA
Anayavirus marshawn,,dsDNA
Anayavirus markphew,,dsDNA
Anayavirus laterM,,dsDNA
Anayavirus lasthope,,dsDNA
Anayavirus kisi,,dsDNA
Anayavirus curiosium,,dsDNA
Anayavirus chris,,dsDNA
Anayavirus bella96,,dsDNA
Anayavirus beezoo,,dsDNA
Anayavirus apocalypse,,dsDNA
Anayavirus amelie,,dsDNA
Anayavirus alishaPH,,dsDNA
Anayavirus adonis,,dsDNA
Anayavirus adephagia,,dsDNA
Amginevirus ellie,,dsDNA
Amginevirus ekdilam,,dsDNA
Amginevirus darthP,,dsDNA
Amginevirus amohnition,,dsDNA
Amginevirus amgine,,dsDNA
Keshuvirus hurricane,,dsDNA
Unicornvirus ximenita,,dsDNA
Unicornvirus shandong1,,dsDNA
Unicornvirus krueger,,dsDNA
Unicornvirus bryler,,dsDNA
Unicornvirus unicorn,,dsDNA
Timquatrovirus findley,,dsDNA
Kratiovirus thyatira,,dsDNA
Kratiovirus rando14,,dsDNA
Kratiovirus paola,,dsDNA
Kratiovirus leston,,dsDNA
Kratiovirus collard,,dsDNA
Fionnbharthvirus patt,,dsDNA
Fionnbharthvirus taquito,,dsDNA
Fionnbharthvirus eponine,,dsDNA
Fionnbharthvirus henu3,,dsDNA
Aminayvirus aminay,,dsDNA
Acadianvirus serendipitous,,dsDNA
Imvubuvirus imvubu,,dsDNA
Quesadillavirus CRB2,,dsDNA
Quesadillavirus quesadilla,,dsDNA
Saguarovirus saguaro,,dsDNA
Lilmcdreamyvirus lilmcdreamy,,dsDNA
Birdsnestvirus birdsnest,,dsDNA
Thonkovirus thonko,,dsDNA
Zurivirus zuri,Schitoviridae,dsDNA
Pektosvirus PP81,Autographiviridae,dsDNA
Pektosvirus PP47,Autographiviridae,dsDNA
Marafivirus maydis,Tymoviridae,ssRNA(+)
African swine fever virus,Asfarviridae,dsDNA
Mamastrovirus 3,Astroviridae,ssRNA(+)
Pbunavirus crassa,,dsDNA
Pbunavirus antinowhere,,dsDNA
Pbunavirus USP1,,dsDNA
Pbunavirus Pa193,,dsDNA
Pbunavirus BrSP1,,dsDNA
Pbunavirus Epa7,,dsDNA
Pbunavirus PaGU11,,dsDNA
Pbunavirus Epa14,,dsDNA
Pbunavirus datas,,dsDNA
Kehishuvirus primarius,Steigviridae,dsDNA
Paundivirus hollandii,Steigviridae,dsDNA
Salasvirus Gxv1,Salasmaviridae,dsDNA
Gaunavirus SRT01hs,Salasmaviridae,dsDNA
Bundooravirus PumA2,Salasmaviridae,dsDNA
Bundooravirus PumA1,Salasmaviridae,dsDNA
Karezivirus karezi,Salasmaviridae,dsDNA
Hemphillvirus DK3,Salasmaviridae,dsDNA
Hemphillvirus DK2,Salasmaviridae,dsDNA
Hemphillvirus DK1,Salasmaviridae,dsDNA
Claudivirus Goe4,Salasmaviridae,dsDNA
Salasvirus Goe6,Salasmaviridae,dsDNA
Claudivirus konjotrouble,Salasmaviridae,dsDNA
Claudivirus juan,Salasmaviridae,dsDNA
Salasvirus PZA,Salasmaviridae,dsDNA
Claudivirus serpounce,Salasmaviridae,dsDNA
Beecentumtrevirus Goe1,Salasmaviridae,dsDNA
Beecentumtrevirus Nf,Salasmaviridae,dsDNA
Harambevirus beachbum,Salasmaviridae,dsDNA
Harambevirus harambe,Salasmaviridae,dsDNA
Claudivirus QCM11,Salasmaviridae,dsDNA
Copernicusvirus Ef74,Rountreeviridae,dsDNA
Copernicusvirus Ef73,Rountreeviridae,dsDNA
Copernicusvirus Efmus1,Rountreeviridae,dsDNA
Copernicusvirus Idefix,Rountreeviridae,dsDNA
Copernicusvirus Efmus3,Rountreeviridae,dsDNA
Copernicusvirus Efmus4,Rountreeviridae,dsDNA
Copernicusvirus Ef72,Rountreeviridae,dsDNA
Copernicusvirus Ef63,Rountreeviridae,dsDNA
Copernicusvirus Ef62,Rountreeviridae,dsDNA
Minhovirus IME199,Rountreeviridae,dsDNA
Minhovirus zip,Rountreeviridae,dsDNA
Ilzatvirus teagan,,dsDNA
Ilzatvirus monchoix,,dsDNA
Ilzatvirus mcgalleon,,dsDNA
Wongtaivirus ECP1,,dsDNA
Traversvirus P27,,dsDNA
Traversvirus F451,,dsDNA
Traversvirus WGPS9,,dsDNA
Traversvirus ST28624,,dsDNA
Traversvirus AU6Stx1,,dsDNA
Traversvirus AU5Stx1,,dsDNA
Traversvirus SH2026Stx1,,dsDNA
Oslovirus ArgO145,,dsDNA
Oslovirus Lyz12581Vzw,,dsDNA
Slepowronvirus LPHM00113468,,dsDNA
Webervirus sin4,Drexlerviridae,dsDNA
Webervirus sweeny,Drexlerviridae,dsDNA
Hanrivervirus henu8,Drexlerviridae,dsDNA
Hanrivervirus egaa,Drexlerviridae,dsDNA
Sarumanvirus bcepsauron,,dsDNA
Sarumanvirus bcepsaruman,,dsDNA
Moturavirus motura,,dsDNA
Webervirus KP1801,Drexlerviridae,dsDNA
Webervirus shelby,Drexlerviridae,dsDNA
Webervirus KpNIH2,Drexlerviridae,dsDNA
Webervirus wv13,Drexlerviridae,dsDNA
Webervirus JY917,Drexlerviridae,dsDNA
Webervirus KLPPOU149,Drexlerviridae,dsDNA
Webervirus skenny,Drexlerviridae,dsDNA
Webervirus FZ10,Drexlerviridae,dsDNA
Webervirus KL,Drexlerviridae,dsDNA
Webervirus alina,Drexlerviridae,dsDNA
Webervirus call,Drexlerviridae,dsDNA
Webervirus domnhall,Drexlerviridae,dsDNA
Webervirus IMGroot,Drexlerviridae,dsDNA
Webervirus segescirculi,Drexlerviridae,dsDNA
Tunavirus DELF2,Drexlerviridae,dsDNA
Shigella virus Sfin-3,Drexlerviridae,dsDNA
Hanrivervirus PGN590,Drexlerviridae,dsDNA
Hanrivervirus aalborv,Drexlerviridae,dsDNA
Hanrivervirus haarsle,Drexlerviridae,dsDNA
Hanrivervirus damhaus,Drexlerviridae,dsDNA
Hanrivervirus aaroes,Drexlerviridae,dsDNA
Hanrivervirus grams,Drexlerviridae,dsDNA
Hanrivervirus vojen,Drexlerviridae,dsDNA
Hanrivervirus herni,Drexlerviridae,dsDNA
Hanrivervirus G292,Drexlerviridae,dsDNA
Hanrivervirus slyngel,Drexlerviridae,dsDNA
Hanrivervirus hv2019SD1,Drexlerviridae,dsDNA
Warwickvirus atuna,Drexlerviridae,dsDNA
Warwickvirus tonijn,Drexlerviridae,dsDNA
Warwickvirus tonnikala,Drexlerviridae,dsDNA
Warwickvirus tunus,Drexlerviridae,dsDNA
Warwickvirus tonn,Drexlerviridae,dsDNA
Warwickvirus JK16,Drexlerviridae,dsDNA
Veterinaerplatzvirus vv12210I,Drexlerviridae,dsDNA
Vedamuthuvirus P1045,,dsDNA
Vedamuthuvirus vv62503,,dsDNA
Vedamuthuvirus vv50902,,dsDNA
Vedamuthuvirus Q33,,dsDNA
Teubervirus P596,,dsDNA
Teubervirus AM6,,dsDNA
Teubervirus LW31,,dsDNA
Teubervirus Q1,,dsDNA
Otagovirus Psa374,,dsDNA
Sida ciliaris golden mosaic virus,Geminiviridae,ssDNA(+/-)
Kuttervirus dinky,Ackermannviridae,dsDNA
Kuttervirus SeG,Ackermannviridae,dsDNA
Klausavirus dryang,,dsDNA
Skunavirus MV10L,,dsDNA
Kuttervirus EP75,Ackermannviridae,dsDNA
Skunavirus LP9207,,dsDNA
Skunavirus sv56003,,dsDNA
Skunavirus sv16802,,dsDNA
Kuttervirus SE14,Ackermannviridae,dsDNA
Lazarusvirus am101,Straboviridae,dsDNA
Yonginvirus EaP8,Schitoviridae,dsDNA
Agtrevirus P46FS4,Ackermannviridae,dsDNA
Kuttervirus maane,Ackermannviridae,dsDNA
Kuttervirus pertopsoe,Ackermannviridae,dsDNA
Kuttervirus moki,Ackermannviridae,dsDNA
Kuttervirus barely,Ackermannviridae,dsDNA
Kuttervirus aagejoakim,Ackermannviridae,dsDNA
Kuttervirus bering,Ackermannviridae,dsDNA
Kuttervirus allotria,Ackermannviridae,dsDNA
Kuttervirus heyday,Ackermannviridae,dsDNA
Kuttervirus rabagast,Ackermannviridae,dsDNA
Ayohtrevirus abba,,dsDNA
Kuttervirus SeJ,Ackermannviridae,dsDNA
Kuttervirus SeB,Ackermannviridae,dsDNA
Hadassahvirus pht2,Straboviridae,dsDNA
Lazarusvirus lazarus,Straboviridae,dsDNA
Lazarusvirus kimel,Straboviridae,dsDNA
Lazarusvirus apostate,Straboviridae,dsDNA
Lazarusvirus berthold,Straboviridae,dsDNA
Skunavirus CHPC965,,dsDNA
Skunavirus CHPC964,,dsDNA
Skunavirus CHPC959,,dsDNA
Skunavirus CHPC958,,dsDNA
Skunavirus CHPC781,,dsDNA
Skunavirus CHPC52,,dsDNA
Skunavirus CHPC362,,dsDNA
Skunavirus CHPC361,,dsDNA
Skunavirus CHPC129,,dsDNA
Lazarusvirus kronadin,Straboviridae,dsDNA
Mufasoctovirus mufasa8,,dsDNA
Yongunavirus yong1,Peduoviridae,dsDNA
Skunavirus P4565,,dsDNA
Skunavirus P656,,dsDNA
Skunavirus P1532,,dsDNA
Kuleanavirus kuleana,,dsDNA
Klebsiella virus UPM 2146,Ackermannviridae,dsDNA
Klausavirus lymara,,dsDNA
Triplejayvirus tripleJ,,dsDNA
Huelvavirus ort11,Schitoviridae,dsDNA
Marthavirus zartrosa,,dsDNA
Pylasvirus KpCHEMY26,Schitoviridae,dsDNA
Sabourvirus sv4HA13,Chaseviridae,dsDNA
Vibakivirus vibaki,,dsDNA
Muldoonvirus muldoon,,dsDNA
Pokkenvirus pokken,Schitoviridae,dsDNA
Taipeivirus magnus,Ackermannviridae,dsDNA
Peduovirus R18C,Peduoviridae,dsDNA
Irrigatiovirus SI7,Peduoviridae,dsDNA
Eganvirus SW9,Peduoviridae,dsDNA
Kuttervirus SS9,Ackermannviridae,dsDNA
Peduovirus pv12474III,Peduoviridae,dsDNA
Zurivirus zuri,Schitoviridae,dsDNA
Agtrevirus MK13,Ackermannviridae,dsDNA
Gegavirus ST15OXA48phi141,Peduoviridae,dsDNA
Dagavirus ST13OXA48phi121,Peduoviridae,dsDNA
Kapieceevirus ST512KPC3phi132,Peduoviridae,dsDNA
Vimunumvirus ST147VIM1phi71,Peduoviridae,dsDNA
Reipivirus ST16OXA48phi54,Peduoviridae,dsDNA
Felsduovirus ST437OXA245phi42,Peduoviridae,dsDNA
Gegevirus ST437OXA245phi41,Peduoviridae,dsDNA
Skunavirus sv8V08,,dsDNA
Hadassahvirus azbtza1,Straboviridae,dsDNA
Pylasvirus pylas,Schitoviridae,dsDNA
Kuttervirus SeSz1,Ackermannviridae,dsDNA
Klausavirus kburrousTX,,dsDNA
Lazarusvirus karl,Straboviridae,dsDNA
Kuttervirus SenALZ1,Ackermannviridae,dsDNA
Kuttervirus SenASZ3,Ackermannviridae,dsDNA
Lazarusvirus fhyacithree,Straboviridae,dsDNA
Kuttervirus S118,Ackermannviridae,dsDNA
Pomeroyivirus V13,Schitoviridae,dsDNA
Aorunvirus V12,Schitoviridae,dsDNA
Skunavirus MP1,,dsDNA
Aresaunavirus RsoM1USA,Peduoviridae,dsDNA
Dorisvirus 49B3,Schitoviridae,dsDNA
Nahantvirus 49C7,Schitoviridae,dsDNA
Novemvirus T5282H,Peduoviridae,dsDNA
Kuttervirus mutine,Ackermannviridae,dsDNA
Kuttervirus FEC14,Ackermannviridae,dsDNA
Skunavirus bIBBF12,,dsDNA
Skunavirus bIBB5g1,,dsDNA
Skunavirus LP1502a,,dsDNA
Skunavirus LP0903,,dsDNA
Skunavirus LP0209,,dsDNA
Skunavirus LP9908,,dsDNA
Skunavirus LP9903,,dsDNA
Skunavirus LP9609,,dsDNA
Skunavirus LP9404,,dsDNA
Skunavirus LP8511,,dsDNA
Skunavirus sv96603,,dsDNA
Skunavirus sv96403,,dsDNA
Skunavirus sv96401,,dsDNA
Skunavirus sv88605,,dsDNA
Skunavirus sv79201,,dsDNA
Skunavirus sv66901,,dsDNA
Skunavirus sv63302,,dsDNA
Skunavirus sv62605,,dsDNA
Skunavirus sv62601,,dsDNA
Skunavirus sv57001,,dsDNA
Skunavirus sv56301,,dsDNA
Skunavirus sv51701,,dsDNA
Skunavirus sv38507,,dsDNA
Skunavirus sv38503,,dsDNA
Skunavirus sv37201,,dsDNA
Skunavirus sv30804,,dsDNA
Skunavirus sv05601,,dsDNA
Kuttervirus SP1,Ackermannviridae,dsDNA
Agtrevirus EM4,Ackermannviridae,dsDNA
Kungbxnavirus pT24,,dsDNA
Kuttervirus BSP101,Ackermannviridae,dsDNA
Skunavirus R31,,dsDNA
Vibrio phage JSF3,Schitoviridae,dsDNA
Galateavirus PVA5,Schitoviridae,dsDNA
Kuttervirus STW77,Ackermannviridae,dsDNA
Skunavirus sv13W11L,,dsDNA
Skunavirus sv3R16S,,dsDNA
Skunavirus i0139,,dsDNA
Skunavirus sv10W18,,dsDNA
Skunavirus sv16W23,,dsDNA
Aoqinvirus RD1410W101,Schitoviridae,dsDNA
Sanyabayvirus DS1410Ws06,Schitoviridae,dsDNA
Skunavirus S0139,,dsDNA
Skunavirus Lj,,dsDNA
Skunavirus M1127,,dsDNA
Skunavirus E1127,,dsDNA
Skunavirus sv155,,dsDNA
Skunavirus JF1,,dsDNA
Skunavirus sv91127,,dsDNA
Skunavirus sv44,,dsDNA
Skunavirus sv42,,dsDNA
Skunavirus L6,,dsDNA
Skunavirus sv109,,dsDNA
Skunavirus L18,,dsDNA
Skunavirus F0139,,dsDNA
Skunavirus sv512,,dsDNA
Skunavirus sv193,,dsDNA
Skunavirus B1127,,dsDNA
Skunavirus A16,,dsDNA
Skunavirus sv145,,dsDNA
Skunavirus sv15,,dsDNA
Skunavirus caseusJM1,,dsDNA
Pacinivirus VCO139,Schitoviridae,dsDNA
Skunavirus P475,,dsDNA
Skunavirus p272,,dsDNA
Skunavirus fd13,,dsDNA
Skunavirus sv936,,dsDNA
Roseovarius Plymouth podovirus 1,Schitoviridae,dsDNA
Xuanwuvirus xv520873,Peduoviridae,dsDNA
Gemsvirus gv5004652,Peduoviridae,dsDNA
Wadgaonvirus wv5004651,Peduoviridae,dsDNA
Xuanwuvirus xv503458,Peduoviridae,dsDNA
Shirahamavirus PTm1,,dsDNA
Saintgironsvirus LE1,,dsDNA
Sukhumvitvirus T25,,dsDNA
Biseptimavirus phi7247PVL,,dsDNA
Capvunavirus CpV1,Guelinviridae,dsDNA
Beceayunavirus BceA1,,dsDNA
Tequintavirus SP15,Demerecviridae,dsDNA
Pbunavirus PA01,,dsDNA
Melvirus helgolandense,Zobellviridae,dsDNA
Mydovirus BIS47,,dsDNA
Borockvirus brock,,dsDNA
Amoyvirus R7M,,dsDNA
Akonivirus phedro,,dsDNA
Secretariatvirus secretariat,,dsDNA
Loessnervirus SSEM1,Chaseviridae,dsDNA
Kenoshavirus kenosha,,dsDNA
