Species,Family,Genome.composition
Orthobunyavirus bushbushense,Peribunyaviridae,ssRNA(-)
Orthobunyavirus bakauense,Peribunyaviridae,ssRNA(-)
Orthobunyavirus horizonteense,Peribunyaviridae,ssRNA(-)
Orthobunyavirus mpokoense,Peribunyaviridae,ssRNA(-)
Orthobunyavirus minatitlanense,Peribunyaviridae,ssRNA(-)
Orthobunyavirus bakauense,Peribunyaviridae,ssRNA(-)
Okola virus,Peribunyaviridae,ssRNA(-)
Pacora virus,Peribunyaviridae,ssRNA(-)
Turnip ringspot virus,Secoviridae,ssRNA(+)
Alajuela orthobunyavirus,Peribunyaviridae,ssRNA(-)
Tanga virus,Peribunyaviridae,ssRNA(-)
Orthobunyavirus bakauense,Peribunyaviridae,ssRNA(-)
Termeil virus,Peribunyaviridae,ssRNA(-)
Orthobunyavirus timboteuaense,Peribunyaviridae,ssRNA(-)
Orthobunyavirus turlockense,Peribunyaviridae,ssRNA(-)
Orthobunyavirus turlockense,Peribunyaviridae,ssRNA(-)
Orthobunyavirus turlockense,Peribunyaviridae,ssRNA(-)
Balagodu virus,Peribunyaviridae,ssRNA(-)
Orthophasmavirus chrysis,Phasmaviridae,ssRNA(-)
Orthophasmavirus philoctetis,Phasmaviridae,ssRNA(-)
Hymovirus chrysis,Phasmaviridae,ssRNA(-)
Hymovirus chrysurae,Phasmaviridae,ssRNA(-)
Emaravirus quercus,Fimoviridae,ssRNA(-)
Emaravirus populi,Fimoviridae,ssRNA(-)
Comovirus andesense,Secoviridae,ssRNA(+)
Nepovirus manihotis,Secoviridae,ssRNA(+)
Nepovirus arracaciae,Secoviridae,ssRNA(+)
Cheravirus arracaciae,Secoviridae,ssRNA(+)
Nepovirus solani,Secoviridae,ssRNA(+)
Nepovirus myrtilli,Secoviridae,ssRNA(+)
Thogotovirus sinuense,Orthomyxoviridae,ssRNA(-)
Sadwavirus lactucae,Secoviridae,ssRNA(+)
Quaranjavirus araguariense,Orthomyxoviridae,ssRNA(-)
Mammarenavirus kwanzaense,Arenaviridae,ssRNA(+/-)
Mammarenavirus bituense,Arenaviridae,ssRNA(+/-)
Stralarivirus lychnis,Secoviridae,ssRNA(+)
Emaravirus aceris,Fimoviridae,ssRNA(-)
Cilevirus oahuense,Kitaviridae,ssRNA(+)
Anulavirus GLPV,Bromoviridae,ssRNA(+)
Emaravirus chrysanthemi,Fimoviridae,ssRNA(-)
Orthophasmavirus miglotasense,Phasmaviridae,ssRNA(-)
Orthophasmavirus barstukasense,Phasmaviridae,ssRNA(-)
Nepovirus poaceae,Secoviridae,ssRNA(+)
Thogotovirus upoluense,Orthomyxoviridae,ssRNA(-)
Iflavirus achedomestici,Iflaviridae,ssRNA(+)
Quaranjavirus tyulekense,Orthomyxoviridae,ssRNA(-)
Nepovirus alphavitis,Secoviridae,ssRNA(+)
Orthodiscovirus hispaniae,Discoviridae,RNA
Orthodiscovirus iberiae,Discoviridae,RNA
Cicadellivirus scaphoidei,Phasmaviridae,ssRNA(-)
Comovirus phaseoli,Secoviridae,ssRNA(+)
Sadwavirus alphananas,Secoviridae,ssRNA(+)
Orthophasmavirus coredoense,Phasmaviridae,ssRNA(-)
Thogotovirus josense,Orthomyxoviridae,ssRNA(-)
Orthophasmavirus flenense,Phasmaviridae,ssRNA(-)
Sardinovirus pilchardi,Orthomyxoviridae,ssRNA(-)
Orthodiscovirus penicillii,Discoviridae,RNA
Thogotovirus thailandense,Orthomyxoviridae,ssRNA(-)
Comovirus capsici,Secoviridae,ssRNA(+)
Nepovirus cari,Secoviridae,ssRNA(+)
Comovirus arabidopsis,Secoviridae,ssRNA(+)
Thogotovirus bourbonense,Orthomyxoviridae,ssRNA(-)
Nepovirus sichuanense,Secoviridae,ssRNA(+)
Orthodiscovirus missouriense,Discoviridae,RNA
Hadakavirus nanga,Hadakaviridae,RNA
Lambavirus wisconsinense,Peribunyaviridae,ssRNA(-)
Lakivirus lakamhaense,Peribunyaviridae,ssRNA(-)
Khurdivirus volgaense,Peribunyaviridae,ssRNA(-)
Mykissvirus tructae,Orthomyxoviridae,ssRNA(-)
Mobatvirus lenaense,Hantaviridae,ssRNA(-)
Red clover varicosavirus,Rhabdoviridae,ssRNA(-)
Rhizoctonia solani orthocurvulavirus 1,Curvulaviridae,RNA
Alphachrysovirus saladoense,Chrysoviridae,dsRNA
Laulavirus gammaviticulum,Phenuiviridae,ssRNA(-)
Emaravirus syringae,Fimoviridae,ssRNA(-)
Laulavirus betaviticulum,Phenuiviridae,ssRNA(-)
Laulavirus alphaviticulum,Phenuiviridae,ssRNA(-)
Coguvirus viticulum,Phenuiviridae,ssRNA(-)
Emaravirus verbanni,Fimoviridae,ssRNA(-)
Emaravirus camelliae,Fimoviridae,ssRNA(-)
Tenuivirus eurotritici,Phenuiviridae,ssRNA(-)
Rubodvirus armeniaense,Phenuiviridae,RNA
Rubodvirus argentinaense,Phenuiviridae,RNA
Emaravirus pyri,Fimoviridae,ssRNA(-)
Blunervirus solani,Kitaviridae,ssRNA(+)
Emaravirus ziziphi,Fimoviridae,ssRNA(-)
Emaravirus parkinsoniae,Fimoviridae,ssRNA(-)
Emaravirus perillae,Fimoviridae,ssRNA(-)
Feravirus neuropterus,Phasmaviridae,ssRNA(-)
Phasivirus parryense,Phenuiviridae,ssRNA(-)
Phlebovirus perkerraense,Phenuiviridae,ssRNA(+/-)
Phlebovirus kiborgochense,Phenuiviridae,ssRNA(+/-)
Phlebovirus bogoriaense,Phenuiviridae,ssRNA(+/-)
Phlebovirus embossosense,Phenuiviridae,ssRNA(+/-)
Ocetevirus paratemnopterygis,Nairoviridae,ssRNA(-)
Orthophasmavirus coleopterus,Phasmaviridae,ssRNA(-)
Coleopteran phenui-related virus OKIAV308,Phenuiviridae,RNA
Feravirus hemipterus,Phasmaviridae,ssRNA(-)
Orthonairovirus meramense,Nairoviridae,ssRNA(-)
Mobuvirus narangueense,Phenuiviridae,ssRNA(-)
Hartmanivirus patriae,Arenaviridae,ssRNA(+/-)
Hartmanivirus brazilense,Arenaviridae,ssRNA(+/-)
Orthophasmavirus niuklukense,Phasmaviridae,ssRNA(-)
Phlebovirus penshurtense,Phenuiviridae,ssRNA(+/-)
Tanzavirus daressalaamense,Phenuiviridae,RNA
Phasivirus guadeloupeense,Phenuiviridae,ssRNA(-)
Mammarenavirus kitaleense,Arenaviridae,ssRNA(+/-)
Orthonairovirus khani,Nairoviridae,ssRNA(-)
Lincruvirus europense,Cruliviridae,ssRNA(-)
Antennavirus salmonis,Arenaviridae,ssRNA(+/-)
Lincruvirus sinense,Cruliviridae,ssRNA(-)
Gemytripvirus fugra1,Genomoviridae,ssDNA
Orthobunyavirus sedlecense,Peribunyaviridae,ssRNA(-)
Orthobunyavirus trinitiense,Peribunyaviridae,ssRNA(-)
Orthonairovirus australiaense,Nairoviridae,ssRNA(-)
Norwavirus grotenhoutense,Nairoviridae,ssRNA(-)
