Organism_Name,Family,Genome.composition
Pseudomonas phage Kopi,,dsDNA
Xanthomonas phage vB_Xar_IVIA-DoCa1,,dsDNA
Xanthomonas phage Samson,,dsDNA
Pseudomonas phage Guyu,,dsDNA
Pseudomonas phage vB_PaeS-Yazdi-M,,dsDNA
Pseudomonas phage Kaya,,dsDNA
Pseudomonas phage KP1,,dsDNA
Serratia phage vB_SmaM-Otaku,,dsDNA
Serratia phage Tsm2,,dsDNA
Klebsiella phage VLCpiS11a,,dsDNA
Salmonella virus VSiP,,dsDNA
Salmonella phage Shemara,,dsDNA
Salmonella phage vB_SenS_SE1,,dsDNA
Salmonella phage vB_STM-ZS,,unknown
Salmonella phage vB_SenTO17,,dsDNA
Salmonella phage TS6,,dsDNA
Salmonella phage GRNsp27,,dsDNA
Salmonella phage St162,,dsDNA
Saline Natrinema sp. J7-1 virus 1,Simuloviridae,dsDNA
Escherichia phage UFV-AREG1,Straboviridae,dsDNA
Klebsiella phage vB_KpP_FBKp27,Schitoviridae,dsDNA
Mycobacterium phage I3,,dsDNA
uncultured phage cr23_1,Suoliviridae,dsDNA
uncultured phage cr35_1,Suoliviridae,dsDNA
uncultured phage cr16_1,Suoliviridae,dsDNA
uncultured phage cr29_1,Suoliviridae,dsDNA
uncultured phage cr82_1,Suoliviridae,dsDNA
uncultured phage cr150_1,Suoliviridae,dsDNA
uncultured phage cr19_1,Suoliviridae,dsDNA
uncultured phage cr105_1,Suoliviridae,dsDNA
uncultured phage cr12_1,Suoliviridae,dsDNA
uncultured phage cr61_1,Suoliviridae,dsDNA
Staphylococcus phage phiN315,,dsDNA
Streptococcus phage 315.6,,dsDNA
Cycad leaf necrosis virus,Caulimoviridae,dsDNA-RT
Enterococcus phage ECP3,Herelleviridae,dsDNA
Carjivirus communis,Intestiviridae,dsDNA
Bacillus phage WhyPhy,Salasmaviridae,dsDNA
Escherichia phage ESCO5,,dsDNA
Horsepox virus,Poxviridae,dsDNA
Cyanophage S-TIM5,,dsDNA
Monkeypox virus,Poxviridae,dsDNA
Bovine herpesvirus type 1.1,Orthoherpesviridae,dsDNA
uncultured phage cr13_1,Crevaviridae,dsDNA
uncultured phage cr2_1,Crevaviridae,dsDNA
uncultured phage cr17_1,Intestiviridae,dsDNA
uncultured phage cr25_1,Crevaviridae,dsDNA
uncultured phage cr9_1,Intestiviridae,dsDNA
uncultured phage cr18_1,Steigviridae,dsDNA
uncultured phage cr54_1,Intestiviridae,dsDNA
uncultured phage cr44_1,Steigviridae,dsDNA
uncultured phage cr77_1,Suoliviridae,dsDNA
uncultured phage cr99_1,Intestiviridae,dsDNA
uncultured phage cr91_1,Intestiviridae,dsDNA
uncultured phage cr36_1,Intestiviridae,dsDNA
uncultured phage cr151_1,Steigviridae,dsDNA
uncultured phage cr149_1,Suoliviridae,dsDNA
uncultured phage cr123_1,Intestiviridae,dsDNA
uncultured phage cr30_1,Suoliviridae,dsDNA
uncultured phage cr49_1,Intestiviridae,dsDNA
Halorubrum sodomense tailed virus 4,Hafunaviridae,dsDNA
Halorubrum tailed virus 29,Haloferuviridae,dsDNA
Halorubrum tailed virus 28,Suolaviridae,dsDNA
Halorubrum tailed virus 27,Hafunaviridae,dsDNA
Halorubrum tailed virus 25,Hafunaviridae,dsDNA
Halorubrum tailed virus 10,Hafunaviridae,dsDNA
Haloarcula tailed virus 3,Pyrstoviridae,dsDNA
Haloarcula tailed virus 2,Soleiviridae,dsDNA
Haloarcula virus HJTV-2,Hafunaviridae,dsDNA
Winogradskyella phage Peternella_1,Winoviridae,dsDNA
Cellulophaga phage Nekkels_1,Assiduviridae,dsDNA
Maribacter phage Colly_1,Molycolviridae,dsDNA
Maribacter phage Molly_1,Molycolviridae,dsDNA
Polaribacter phage Leef_1,Helgolandviridae,dsDNA
Cellulophaga phage Ingeline_1,Duneviridae,dsDNA
Olleya phage Harreka_1,Aggregaviridae,dsDNA
Tenacibaculum phage Gundel_1,Pachyviridae,dsDNA
Polaribacter phage Freya_1,Forsetiviridae,dsDNA
Polaribacter phage Danklef_1,Forsetiviridae,dsDNA
Cellulophaga phage Calle_1,Pervagoviridae,dsDNA
Flavobacterium phage vB_FspP_elemoC_14-1A,,unknown
Dompiswa phage TSP7_1,,dsDNA
Flavobacterium phage vB_FspP_elemoB_14-3B,,unknown
Halorubrum virus Serpecor1,Hafunaviridae,dsDNA
Haloferax tailed virus 1,Haloferuviridae,dsDNA
Methanobacterium virus Drs3,Anaerodiviridae,dsDNA
Vibrio phage XacF13,Inoviridae,ssDNA(+)
Synechococcus phage ACG-2014e,Kyanoviridae,dsDNA
Synechococcus phage ACG-2014j,Kyanoviridae,dsDNA
Synechococcus phage ACG-2014d,Kyanoviridae,dsDNA
Pseudomonas phage Phabio,,dsDNA
Pseudomonas phage Psa21,,dsDNA
Cnaphalocrocis medinalis granulovirus,Baculoviridae,dsDNA
Cucumber chlorotic leaf virus,Geminiviridae,ssDNA(+/-)
Geobacillus phage TP-84,,dsDNA
Bacillus phage Aurora,Salasmaviridae,dsDNA
Bacillus phage Claudi,Salasmaviridae,dsDNA
Erwinia phage pEa_SNUABM_7,,dsDNA
Erwinia phage pEa_SNUABM_5,,dsDNA
Erwinia phage pEa_SNUABM_17,,dsDNA
Erwinia phage pEa_SNUABM_1,,dsDNA
Erwinia phage pEa_SNUABM_33,,dsDNA
Erwinia phage pEa_SNUABM_30,,dsDNA
Erwinia phage pEa_SNUABM_3,,dsDNA
Erwinia phage pEa_SNUABM_32,,dsDNA
Erwinia phage pEa_SNUABM_2,,dsDNA
Erwinia phage pEa_SNUABM_35,,dsDNA
Erwinia phage pEa_SNUABM_16,,dsDNA
Erwinia phage pEa_SNUABM_22,,dsDNA
Pseudomonas phage vB_PaeS_PcyII-40_PfII40a,,dsDNA
Pseudomonas phage F_ET309sp/Pa1651,,dsDNA
Pseudomonas phage vB_PaeS_PAO1_HW12,,dsDNA
Pseudomonas phage AIIMS-Pa-B1,,dsDNA
Pseudomonas phage JBD26,,dsDNA
Pseudomonas phage YMC12/01/R960,,dsDNA
Pseudomonas phage Spike,,dsDNA
Pseudomonas phage YMC12/01/R24,,dsDNA
Klebsiella phage vB_KpM_FBKp24,,dsDNA
Klebsiella phage KpLz-2_45,,dsDNA
Soybean associated gemycircularvirus 1,Genomoviridae,ssDNA
Gordonia phage Syleon,,dsDNA
Gordonia phage Kudefre,,dsDNA
Gordonia Phage Sephiroth,,dsDNA
Gordonia phage Octobien14,,dsDNA
Gordonia phage Rabbitrun,,dsDNA
Gordonia phage Trax,,dsDNA
Gordonia phage Neville,,dsDNA
Sida chlorotic leaf virus,Geminiviridae,ssDNA(+/-)
Ocimum yellow vein virus,Geminiviridae,ssDNA(+/-)
Bean leaf crumple virus,Geminiviridae,ssDNA(+/-)
Tomato vein clearing leaf deformation virus,Geminiviridae,ssDNA(+/-)
Sida yellow golden mosaic virus,Geminiviridae,ssDNA(+/-)
Verbena mottle virus,Geminiviridae,ssDNA(+/-)
Hybanthus yellow mosaic virus,Geminiviridae,ssDNA(+/-)
Sida interveinal bright yellow virus,Geminiviridae,ssDNA(+/-)
Pepper blistering leaf virus,Geminiviridae,ssDNA(+/-)
Bean bushy stunt virus,Geminiviridae,ssDNA(+/-)
Bean latent virus,Geminiviridae,ssDNA(+/-)
Tomato mosaic severe dwarf virus,Geminiviridae,ssDNA(+/-)
Tomato yellow leaf deformation dwarf virus,Geminiviridae,ssDNA(+/-)
Klebsiella phage RAD2,Drexlerviridae,dsDNA
Proteus phage Saba,Casjensviridae,dsDNA
Achromobacter phage vB_AchrS_AchV4,Casjensviridae,dsDNA
Lactococcus phage BK5-T,,dsDNA
Salmonella phage UAB_Phi78,Autographiviridae,dsDNA
Caulobacter phage CcrSC,,dsDNA
Mycobacterium virus D29,,dsDNA
Escherichia phage vB_EcoM_4HA13,Chaseviridae,dsDNA
Escherichia phage YUEEL01,Straboviridae,dsDNA
Rhodococcus phage PhailMary,,dsDNA
Ralstonia phage Adzire,,dsDNA
Ralstonia phage Bakoly,,dsDNA
Mycobacterium phage SoilDragon,,dsDNA
Aeromonas phage 4_D05,,dsDNA
Aeromonas phage 2_D05,,dsDNA
Mycobacterium phage Zetzy,,dsDNA
Arthrobacter phage BigMack,,dsDNA
Edwardsiella phage Edno5,,dsDNA
Mycobacterium phage PurpleHaze,,dsDNA
Mycobacterium phage Laurie,,dsDNA
Salmonella phage vB_SalP_TR2,Schitoviridae,dsDNA
Gordonia phage Phlop,,dsDNA
Klebsiella phage vB_KpnP_P184,Schitoviridae,dsDNA
Mycobacterium phage OhShagHennessy,Vilmaviridae,dsDNA
Bacillus phage WhyPhy,Salasmaviridae,dsDNA
Staphylococcus phage LSA2366,Rountreeviridae,dsDNA
Flavobacterium phage vB_FspM_immuto_2-6A,,dsDNA
Bacillus phage Thornton,Salasmaviridae,dsDNA
Vibrio phage Gary,Demerecviridae,dsDNA
Gordonia phage Blino,,dsDNA
Burkholderia phage phiE094,Peduoviridae,dsDNA
Providencia phage PSTCR5,Demerecviridae,dsDNA
Mycobacterium phage Plumbus,,dsDNA
Bacillus phage DLc1,Salasmaviridae,dsDNA
Enterococcus phage 9183,,dsDNA
Staphylococcus phage vB_SauP_EBHT,Rountreeviridae,dsDNA
Bacillus phage Baseball_field,Salasmaviridae,dsDNA
crAssphage cr273_1,Suoliviridae,dsDNA
crAssphage cr272_1,Suoliviridae,dsDNA
crAssphage cr131_1,Suoliviridae,dsDNA
crAssphage cr130_1,Suoliviridae,dsDNA
crAssphage cr125_1,Suoliviridae,dsDNA
crAssphage cr124_1,Suoliviridae,dsDNA
crAssphage cr115_1,Suoliviridae,dsDNA
crAssphage cr114_1,Suoliviridae,dsDNA
crAssphage cr113_1,Suoliviridae,dsDNA
crAssphage cr7_1,Suoliviridae,dsDNA
crAssphage cr6_1,Suoliviridae,dsDNA
crAssphage cr4_1,Suoliviridae,dsDNA
crAssphage cr109_1,Suoliviridae,dsDNA
crAssphage cr60_1,Suoliviridae,dsDNA
crAssphage cr56_1,Suoliviridae,dsDNA
crAssphage cr53_1,Suoliviridae,dsDNA
crAssphage cr52_1,Suoliviridae,dsDNA
crAssphage cr271_1,Intestiviridae,dsDNA
crAssphage cr127_1,Crevaviridae,dsDNA
crAssphage cr128_1,Steigviridae,dsDNA
crAssphage cr126_1,Steigviridae,dsDNA
crAssphage cr85_1,Steigviridae,dsDNA
crAssphage cr116_1,Steigviridae,dsDNA
crAssphage cr112_1,Steigviridae,dsDNA
crAssphage cr111_1,Steigviridae,dsDNA
crAssphage cr110_1,Intestiviridae,dsDNA
crAssphage cr108_1,Steigviridae,dsDNA
crAssphage cr8_1,Intestiviridae,dsDNA
crAssphage cr11_1,Intestiviridae,dsDNA
crAssphage cr10_1,Suoliviridae,dsDNA
crAssphage cr3_1,Intestiviridae,dsDNA
crAssphage cr1_1,Suoliviridae,dsDNA
crAssphage cr118_1,Suoliviridae,dsDNA
crAssphage cr106_1,Steigviridae,dsDNA
crAssphage cr107_1,Intestiviridae,dsDNA
crAssphage cr55_1,Suoliviridae,dsDNA
crAssphage cr50_1,Suoliviridae,dsDNA
Gordonia phage Clown,,dsDNA
Enterococcus phage AE4_17,Rountreeviridae,dsDNA
Gordonia phage Azula,,dsDNA
Gordonia phage Love,,dsDNA
Burkholderia phage Mana,Peduoviridae,dsDNA
Vibrio phage ValB1MD-2,Peduoviridae,dsDNA
Gordonia phage Portcullis,,dsDNA
Mycobacterium phage Heath,,dsDNA
Gordonia phage Paries,,dsDNA
Mycobacterium phage Gail,,dsDNA
Gordonia phage Jambalaya,,dsDNA
Gordonia Phage Barsten,,dsDNA
Flavobacterium phage vB_FspP_elemoD_13-5B,,dsDNA
Flavobacterium phage vB_FspP_elemoE_6-9C,,dsDNA
Flavobacterium phage vB_FspP_elemoF_6-3D,,dsDNA
Flavobacterium phage vB_FspP_elemoA_7-9A,,dsDNA
Vibrio phage Athena,Demerecviridae,dsDNA
Vibrio phage Quinn,Demerecviridae,dsDNA
Vibrio phage Cody,Demerecviridae,dsDNA
Vibrio phage AG74,Demerecviridae,dsDNA
Vibrio phage River4,Demerecviridae,dsDNA
Yersinia phage vB_YpM_50,Peduoviridae,dsDNA
Yersinia phage vB_YpM_46,Peduoviridae,dsDNA
Yersinia phage vB_YpM_22,Peduoviridae,dsDNA
Gordonia phage Evamon,,dsDNA
Streptomyces phage Bmoc,Stanwilliamsviridae,dsDNA
Agrobacterium phage OLIVR5,Pootjesviridae,dsDNA
Agrobacterium phage OLIVR1,Schitoviridae,dsDNA
Xanthomonas phage FoX4,,dsDNA
Xanthomonas phage FoX5,,dsDNA
Xanthomonas phage FoX3,,dsDNA
Xanthomonas phage FoX2,,dsDNA
Xanthomonas phage FoX1,,dsDNA
Enterococus phage vipetofem,,dsDNA
Enterococcus phage nattely,,dsDNA
Bacteroides phage DAC15,Steigviridae,dsDNA
Phage NBEco003,Straboviridae,dsDNA
Vibrio phage Chester,Demerecviridae,dsDNA
Vibrio phage Bennett,Demerecviridae,dsDNA
Bacteroides phage crAss002,Intestiviridae,dsDNA
Mycobacterium phage DirkDirk,Vilmaviridae,dsDNA
Bacteriophage DSS3_VP1,Naomviridae,dsDNA
Mycobacterium phage LilMoolah,,dsDNA
Vibrio phage phi50-12,Schitoviridae,dsDNA
Acinetobacter phage VB_ApiP_XC38,Schitoviridae,dsDNA
Streptomyces phage Daubenski,Stanwilliamsviridae,dsDNA
Gordonia phage NadineRae,Zierdtviridae,dsDNA
Gordonia phage Sukkupi,Zierdtviridae,dsDNA
Gordonia phage Keitabear,,dsDNA
Gordonia phage Jabberwocky,,dsDNA
Mycobacterium phage Jeeves,,dsDNA
Gordonia phage Fireball,,dsDNA
Mycobacterium phage Xula,,dsDNA
Staphylococcus phage Portland,Rountreeviridae,dsDNA
Streptomyces phage Braelyn,Stanwilliamsviridae,dsDNA
Mycobacterium phage Obutu,,dsDNA
Gordonia phage JuJu,,dsDNA
Gordonia phage Nubi,,dsDNA
Streptomyces phage Evy,Stanwilliamsviridae,dsDNA
Gordonia terrae phage McKinley,,dsDNA
Corynebacterium phage Stickynote,Zierdtviridae,dsDNA
Gordonia Phage Lollipop1437,Zierdtviridae,dsDNA
Gordonia phage RogerDodger,,dsDNA
Gordonia phage Bakery,,dsDNA
Gordonia phage Galadriel,,dsDNA
Staphylococcus phage SA46-CL1,Rountreeviridae,dsDNA
Vibrio phage Pontus,Demerecviridae,dsDNA
Vibrio phage Brizo,Demerecviridae,dsDNA
Gordonia phage Valary,,dsDNA
Gordonia phage Arri,,dsDNA
Gordonia phage Barb,,dsDNA
Gordonia phage VanDeWege,,dsDNA
Gordonia phage SmokingBunny,,dsDNA
Vibrio phage Achelous,Demerecviridae,dsDNA
Pseudomonas phage vB_Pae_BR319a,Peduoviridae,dsDNA
Gordonia phage Walrus,,dsDNA
Streptomyces phage EGole,Stanwilliamsviridae,dsDNA
Mycobacterium phage Silverleaf,Vilmaviridae,dsDNA
Gordonia phage IDyn,Zierdtviridae,dsDNA
Gordonia phage NosilaM,Zierdtviridae,dsDNA
Mycobacterium phage Ochi17,,dsDNA
Mycobacterium phage CicholasNage,Vilmaviridae,dsDNA
Gordonia phage Mutzi,,dsDNA
Vibrio virus vB_VspP_SBP1,Schitoviridae,dsDNA
Escherichia phage vB_EcoM_005,Straboviridae,dsDNA
Escherichia phage AnYang,Straboviridae,dsDNA
Escherichia phage p000v,Straboviridae,dsDNA
Escherichia phage MLF4,Straboviridae,dsDNA
Gordonia phage Tangent,,dsDNA
Gordonia phage Stultus,,dsDNA
Gordonia phage Nordenberg,,dsDNA
Gordonia phage Geodirt,,dsDNA
Gordonia phage Fosterous,,dsDNA
Gordonia phage Bibwit,,dsDNA
Gordonia phage Ailee,,dsDNA
Corynebacterium phage Kimchi1738,Zierdtviridae,dsDNA
Gordonia phage Emianna,Zierdtviridae,dsDNA
Gordonia phage Buggaboo,Zierdtviridae,dsDNA
Gordonia phage Turuncu,Zierdtviridae,dsDNA
Klebsiella phage KP179,Straboviridae,dsDNA
Gordonia phage KidneyBean,Zierdtviridae,dsDNA
Gordonia phage Foxboro,Zierdtviridae,dsDNA
Gordonia phage TillyBobJoe,,dsDNA
Gordonia phage Skysand,Zierdtviridae,dsDNA
Gordonia phage Marietta,Zierdtviridae,dsDNA
Gordonia phage Angelicage,,dsDNA
Synechococcus virus S-PRM1,Kyanoviridae,dsDNA
CrAssphage sp.,,dsDNA
Mycobacterium phage Ryadel,,dsDNA
Gordonia phage Pleakley,Zierdtviridae,dsDNA
Escherichia virus KFS-EC,Straboviridae,dsDNA
CrAssphage sp.,,dsDNA
Gordonia phage NatB6,Zierdtviridae,dsDNA
Gordonia phage Frokostdame,,dsDNA
Gordonia phage Rofo,,dsDNA
Gordonia phage KimmyK,,dsDNA
Gordonia phage Danyall,,dsDNA
Mycobacterium phage KingTut,,dsDNA
Escherichia phage SF,Straboviridae,dsDNA
Klebsiella phage Mineola,Straboviridae,dsDNA
Aeromonas phage 60AhydR15PP,Straboviridae,dsDNA
Aeromonas phage 50AhydR13PP,Straboviridae,dsDNA
Gordonia phage Petra,,dsDNA
Synechococcus phage S-B64,Kyanoviridae,dsDNA
Erwinia phage Cronus,Straboviridae,dsDNA
Enterobacteria phage vB_EcoM_IME341,Straboviridae,dsDNA
Enterobacteria phage vB_EcoM_IME339,Straboviridae,dsDNA
Enterobacteria phage vB_EcoM_IME281,Straboviridae,dsDNA
Enterobacter phage myPSH1140,Straboviridae,dsDNA
Gordonia phage Flapper,Zierdtviridae,dsDNA
Proteus phage phiP4-3,Straboviridae,dsDNA
Vibrio phage 1.245.O._10N.261.54.C7,Schitoviridae,dsDNA
Vibrio phage 1.238.A._10N.261.52.F10,Schitoviridae,dsDNA
Shigella phage phi25-307,Straboviridae,dsDNA
Aeromonas phage Ah1,Straboviridae,dsDNA
Gordonia phage Patio,Zierdtviridae,dsDNA
Gordonia phage Kabluna,Zierdtviridae,dsDNA
Mycobacterium phage Geralt,,dsDNA
Serratia phage X20,Straboviridae,dsDNA
Proteus phage PM2,Straboviridae,dsDNA
Cronobacter phage Pet-CM3-4,Straboviridae,dsDNA
Burkholderia phage FLC5,Peduoviridae,dsDNA
Escherichia phage EcS1,Straboviridae,dsDNA
Pseudomonas phage PspYZU05,Straboviridae,dsDNA
Synechococcus phage S-H35,Kyanoviridae,dsDNA
Escherichia phage phiC120,Straboviridae,dsDNA
Vibrio phage pVco-5,Schitoviridae,dsDNA
Yersinia phage fHe-Yen9-01,Straboviridae,dsDNA
Klebsiella phage KPV15,Straboviridae,dsDNA
Mycobacterium phage Fortunato,,dsDNA
Shigella phage KNP5,Straboviridae,dsDNA
Escherichia phage phT4A,Straboviridae,dsDNA
Pseudomonas phage PaMx41,Fredfastierviridae,dsDNA
Synechococcus phage S-CAM22,Kyanoviridae,dsDNA
Escherichia phage phiE142,Straboviridae,dsDNA
Enterobacteria phage ATK47,Straboviridae,dsDNA
Mycobacterium phage HC,,dsDNA
Azobacteroides phage ProJPt-Bp1,Suoliviridae,dsDNA
Chrysothrix chrysovirus 1,Chrysoviridae,dsRNA
Passion fruit green spot virus,Kitaviridae,ssRNA(+)
Actinidia emaravirus 2,Fimoviridae,ssRNA(-)
Ti ringspot-associated emaravirus,Fimoviridae,ssRNA(-)
Perch actinovirus,Hantaviridae,ssRNA(-)
Tatenale orthohantavirus,Hantaviridae,ssRNA(-)
Robina orthohantavirus,Hantaviridae,ssRNA(-)
Neofusicoccum parvum chrysovirus 1,Chrysoviridae,dsRNA
Coniothyrium diplodiella chrysovirus 1,Chrysoviridae,dsRNA
Sophora yellow stunt virus,Nanoviridae,ssDNA(+)
Parsley severe stunt associated virus,Nanoviridae,ssDNA(+)
Aspergillus thermomutatus chrysovirus 1,Chrysoviridae,dsRNA
Ivy ringspot-associated virus,Caulimoviridae,dsDNA-RT
Lymphocystis disease virus 4,Iridoviridae,dsDNA
Sida interveinal bright yellow virus,Geminiviridae,ssDNA(+/-)
Begonia flower breaking virus,Potyviridae,ssRNA(+)
Paris virus 1,Potyviridae,ssRNA(+)
Malus domestica virus A,Closteroviridae,ssRNA(+)
Camellia lemon glow virus,Caulimoviridae,dsDNA-RT
Tomato yellow spot alphasatellite 2,Alphasatellitidae,ssDNA
Pepper blistering leaf virus,Geminiviridae,ssDNA(+/-)
Mastomys natalensis polyomavirus 3,Polyomaviridae,dsDNA
Bean bushy stunt virus,Geminiviridae,ssDNA(+/-)
Ocimum mosaic virus,Geminiviridae,ssDNA(+/-)
Ocimum yellow vein virus,Geminiviridae,ssDNA(+/-)
Ocimum golden mosaic virus,Geminiviridae,ssDNA(+/-)
Penguin circovirus,Circoviridae,ssDNA(+/-)
Bean latent virus,Geminiviridae,ssDNA(+/-)
Epiphyllum virus 4,Caulimoviridae,dsDNA-RT
Tomato mosaic severe dwarf virus,Geminiviridae,ssDNA(+/-)
Tomato yellow leaf deformation dwarf virus,Geminiviridae,ssDNA(+/-)
Noni mosaic virus,Potyviridae,ssRNA(+)
Opuntia virus 1,Geminiviridae,ssDNA(+/-)
Primate bocaparvovirus 3,Parvoviridae,ssDNA(+/-)
Cucumber chlorotic leaf virus,Geminiviridae,ssDNA(+/-)
Sida chlorotic leaf virus,Geminiviridae,ssDNA(+/-)
Porcine circovirus 4,Circoviridae,ssDNA(+/-)
Chickpea redleaf virus 2,Geminiviridae,ssDNA(+/-)
Callosciurus prevostii polyomavirus 1,Polyomaviridae,dsDNA
Physalis rugose mosaic virus,Solemoviridae,ssRNA(+)
Sciurus carolinensis polyomavirus 1,Polyomaviridae,dsDNA
Callosciurus erythraeus polyomavirus 1,Polyomaviridae,dsDNA
Euonymus yellow mottle associated virus,Alphaflexiviridae,ssRNA(+)
Sorghum arundinaceum associated virus,Geminiviridae,ssDNA(+/-)
Eleusine indica associated virus,Geminiviridae,ssDNA(+/-)
Homarus gammarus nudivirus,Nudiviridae,dsDNA
Tomato vein clearing leaf deformation virus,Geminiviridae,ssDNA(+/-)
Caaingua virus,Togaviridae,ssRNA(+)
Costus stripe mosaic virus,Potyviridae,ssRNA(+)
Strawberry cytorhabdovirus 1,Rhabdoviridae,ssRNA(-)
Parsley severe stunt alphasatellite 4,Alphasatellitidae,ssDNA
Parsley severe stunt alphasatellite 3,Alphasatellitidae,ssDNA
Patrinia mild mottle virus,Tombusviridae,ssRNA(+)
Tomato leaf curl Anand alphasatellite,Alphasatellitidae,ssDNA
Polyscias mosaic virus,Caulimoviridae,dsDNA-RT
Cervid alphaherpesvirus 3,Orthoherpesviridae,dsDNA
Emilia yellow vein Fujian betasatellite,Tolecusatellitidae,ssDNA
Canis lupus polyomavirus 1,Polyomaviridae,dsDNA
Mastomys natalensis polyomavirus 2,Polyomaviridae,dsDNA
Capra aegagrus polyomavirus 1,Polyomaviridae,dsDNA
Apodemus flavicollis polyomavirus 1,Polyomaviridae,dsDNA
Phascolarctid gammaherpesvirus 1,Orthoherpesviridae,dsDNA
Vombatid gammaherpesvirus 1,Orthoherpesviridae,dsDNA
Coconut foliar decay alphasatellite 5,Alphasatellitidae,ssDNA
Coconut foliar decay alphasatellite 4,Alphasatellitidae,ssDNA
Coconut foliar decay alphasatellite 2,Alphasatellitidae,ssDNA
Codiaeum leaf curl betasatellite,Tolecusatellitidae,ssDNA
Sida yellow golden mosaic virus,Geminiviridae,ssDNA(+/-)
Hibiscus vein enation betasatellite,Tolecusatellitidae,ssDNA
Cnidium virus X,Alphaflexiviridae,ssRNA(+)
Jasmine virus H,Tombusviridae,ssRNA(+)
Verbena mottle virus,Geminiviridae,ssDNA(+/-)
Hybanthus yellow mosaic virus,Geminiviridae,ssDNA(+/-)
Ambrosia asymptomatic virus 1,Alphaflexiviridae,ssRNA(+)
Tomato leaf curl Ranchi betasatellite,Tolecusatellitidae,ssDNA
Bitter gourd yellow mosaic virus,Geminiviridae,ssDNA(+/-)
Botrylloides leachii nidovirus,Medioniviridae,ssRNA(+)
Apple rubbery wood virus 2,Phenuiviridae,RNA
Muir Springs virus,Rhabdoviridae,ssRNA(-)
Bahia Grande virus,Rhabdoviridae,ssRNA(-)
Garba virus,Rhabdoviridae,ssRNA(-)
Raspberry vein chlorosis virus,Rhabdoviridae,ssRNA(-)
Psittacine adenovirus 1,Adenoviridae,dsDNA
Syngnathus scovelli chapparvovirus,Parvoviridae,ssDNA(+/-)
Ovine adenovirus 8,Adenoviridae,dsDNA
Melon yellow mosaic virus,Geminiviridae,ssDNA(+/-)
Tomato twisted leaf virus,Geminiviridae,ssDNA(+/-)
Human lung-associated vientovirus FB,Redondoviridae,ssDNA
Hibiscus golden mosaic virus,Geminiviridae,ssDNA(+/-)
Dendrobium chlorotic mosaic virus,Potyviridae,ssRNA(+)
Maize streak dwarfing virus,Geminiviridae,ssDNA(+/-)
Roe deer copiparvovirus,Parvoviridae,ssDNA(+/-)
Pepper yellow leaf curl Aceh virus,Geminiviridae,ssDNA(+/-)
Tobacco leaf curl Dominican Republic virus,Geminiviridae,ssDNA(+/-)
Pumpkin polerovirus,Solemoviridae,ssRNA(+)
Morogoro maize-associated virus,Rhabdoviridae,ssRNA(-)
Emilia yellow vein Fujian virus,Geminiviridae,ssDNA(+/-)
Mengla dianlovirus,Filoviridae,ssRNA(-)
Cuiaba virus,Rhabdoviridae,ssRNA(-)
Alston virus,Paramyxoviridae,ssRNA(-)
Celery latent virus,Potyviridae,ssRNA(+)
Dioscorea mosaic virus,Potyviridae,ssRNA(+)
Yerba mate chlorosis-associated virus,Rhabdoviridae,ssRNA(-)
Papaya cytorhabdovirus,Rhabdoviridae,ssRNA(-)
Platycodon mild mottle virus,Potyviridae,ssRNA(+)
Spodoptera eridania nucleopolyhedrovirus,Baculoviridae,dsDNA
Areca palm necrotic ringspot virus,Potyviridae,ssRNA(+)
Cryptophlebia peltastica nucleopolyhedrovirus,Baculoviridae,dsDNA
Hollyhock yellow vein virus,Geminiviridae,ssDNA(+/-)
Tomato leaf curl Mahe virus,Geminiviridae,ssDNA(+/-)
Passiflora edulis symptomless virus,Potyviridae,ssRNA(+)
Mashua virus Y,Potyviridae,ssRNA(+)
Faba bean polerovirus 1,Solemoviridae,ssRNA(+)
Sweet potato leaf curl Hubei virus,Geminiviridae,ssDNA(+/-)
Alpinia oxyphylla mosaic virus,Potyviridae,ssRNA(+)
Ageratum leaf curl Sichuan virus,Geminiviridae,ssDNA(+/-)
Yam chlorotic necrosis virus,Potyviridae,ssRNA(+)
Cowpea bright yellow mosaic virus,Geminiviridae,ssDNA(+/-)
Mus musculus polyomavirus 3,Polyomaviridae,dsDNA
Murine bocavirus,Parvoviridae,ssDNA(+/-)
Murine adeno-associated virus 2,Parvoviridae,ssDNA(+/-)
Murine adeno-associated virus 1,Parvoviridae,ssDNA(+/-)
Wheat yellow striate virus,Rhabdoviridae,ssRNA(-)
East Asian Passiflora distortion virus,Potyviridae,ssRNA(+)
Pistachio ampelovirus A,Closteroviridae,ssRNA(+)
Grapevine badnavirus 1,Caulimoviridae,dsDNA-RT
Faba bean necrotic yellows virus associated alphasatellite 1,Alphasatellitidae,ssDNA
Cabbage cytorhabdovirus 1,Rhabdoviridae,ssRNA(-)
Tomato leaf curl Virudhunagar alphasatellite,Alphasatellitidae,ssDNA
Ohlsdorf virus,Rhabdoviridae,ssRNA(-)
Malvastrum yellow vein Lahore virus,Geminiviridae,ssDNA(+/-)
Eclipta yellow vein alphasatellite,Alphasatellitidae,ssDNA
Taiwan bat lyssavirus,Rhabdoviridae,ssRNA(-)
Holmes Jungle virus,Rhabdoviridae,ssRNA(-)
Tomato chlorotic leaf curl virus,Geminiviridae,ssDNA(+/-)
Gomphocarpus mosaic virus,Potyviridae,ssRNA(+)
