Organism_Name,Family,Genome.composition
Pacora virus,Peribunyaviridae,ssRNA(-)
Turnip ringspot virus,Secoviridae,ssRNA(+)
San Juan virus,Peribunyaviridae,ssRNA(-)
Tanga virus,Peribunyaviridae,ssRNA(-)
Telok Forest virus,Peribunyaviridae,ssRNA(-)
Termeil virus,Peribunyaviridae,ssRNA(-)
Timboteua virus,Peribunyaviridae,ssRNA(-)
Orthobunyavirus turlockense,Peribunyaviridae,ssRNA(-)
Lednice virus,Peribunyaviridae,ssRNA(-)
Umbre virus,Peribunyaviridae,ssRNA(-)
Balagodu virus,Peribunyaviridae,ssRNA(-)
hymenopteran phasma-related virus OKIAV227,Phasmaviridae,ssRNA(-)
hymenopteran phasma-related virus OKIAV228,Phasmaviridae,ssRNA(-)
hymenopteran phasma-related virus OKIAV250,Phasmaviridae,ssRNA(-)
hymenopteran phasma-related virus OKIAV252,Phasmaviridae,ssRNA(-)
Common oak ringspot-associated virus,Fimoviridae,ssRNA(-)
Aspen mosaic-associated virus,Fimoviridae,ssRNA(-)
Andean potato mottle virus,Secoviridae,ssRNA(+)
Cassava green mottle virus,Secoviridae,ssRNA(+)
Arracacha virus A,Secoviridae,ssRNA(+)
Arracacha virus B,Secoviridae,ssRNA(+)
Potato black ringspot virus,Secoviridae,ssRNA(+)
Blueberry leaf mottle virus,Secoviridae,ssRNA(+)
Sinu virus,Orthomyxoviridae,ssRNA(-)
Lettuce secovirus 1,Secoviridae,ssRNA(+)
Araguari virus,Orthomyxoviridae,ssRNA(-)
Kwanza virus,Arenaviridae,ssRNA(+/-)
Bitu virus,Arenaviridae,ssRNA(+/-)
Lychnis mottle virus,Secoviridae,ssRNA(+)
Maple mottle-associated virus,Fimoviridae,ssRNA(-)
Hibiscus yellow blotch virus,Kitaviridae,ssRNA(+)
Grapevine line pattern virus,Bromoviridae,ssRNA(+)
Chrysanthemum mosaic-associated virus,Fimoviridae,ssRNA(-)
Miglotas virus,Phasmaviridae,ssRNA(-)
Barstukas virus,Phasmaviridae,ssRNA(-)
Poaceae Liege nepovirus A,Secoviridae,ssRNA(+)
